,txt,label,distance,intent,annotated_txt
0,Há dois tias estou com dor na garganta,15,0.2328814820298157,inform_symptoms,Há dois tias estou com [dor](SINTOMA) na [garganta](SINTOMA)
1,Estou preocupado pois tenho asma,55,0.33947529136021,inform_symptoms,Estou preocupado pois tenho [asma](SINTOMA)
2,Só ontem,10,0.2593247463244569,inform,Só ontem
3,Sim,12,0.0999599671464366,inform,Sim
4,Chenil e aerodin spray,54,0.7008033967442837,inform_medicine,Chenil e aerodin spray
5,As duas da tarde,10,0.3473143569467455,inform,As duas da tarde
6,Estou um pouco ofegante,7,0.2851498263878563,inform,Estou um pouco ofegante
7,Não,18,0.191975613443159,inform,Não
8,Usei as duas semanas atrás,16,0.3690959893619752,inform,Usei as duas semanas atrás
9,Não tenho transporte,45,0.4332737269926229,inform,Não tenho transporte
10,Minha filha está comigo mais está no quarto separado pois ela tem asma também,32,0.3508932567338019,inform,Minha filha está comigo mais está no quarto separado pois ela tem [asma](SINTOMA) também
11,Não temos carro,18,0.4480387618241337,inform,Não temos carro
12,Ok,4,0.1510402078924346,greeting,Ok
13,Parada mesmo,57,0.3900730398883169,inform,Parada mesmo
14,Tá certo,4,0.1597671933958611,inform,Tá certo
15,Vou deita um pouco,46,0.2586046283403054,inform,Vou deita um pouco
16,Posso toma um maracugina  pra mi acalmar?,44,0.3055937042458753,request_inform,Posso toma um maracugina  pra mi acalmar?
17,Obrigada,50,0.1075176278857178,greeting,Obrigada
18,Bem,4,0.2274981065952032,inform,Bem
19,O Artolin fez efeito,58,0.6301373801222419,inform,O Artolin fez efeito
20,To respirando melhor  Só a garganta continua doendo,15,0.3033901391100406,inform_symptoms,To respirando melhor  Só a [garganta](SINTOMA) continua doendo
21,Tem posto de saúde aberto amanhã?,41,0.4027630432460941,request_inform,Tem posto de saúde aberto amanhã?
22,Obrigada  Que Jesus nos abençoe e nos proteja,20,0.3286016239250127,greeting,Obrigada  Que Jesus nos abençoe e nos proteja
23,"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",15,0.2433109261251954,inform_symptoms,"Sinto um pouco de [dor de cabeça](SINTOMA),um desconforto na [garganta](SINTOMA) e assim um calafrios"
24,Assim como se tivesse com um bolo na garganta,15,0.3811099817585992,inform_symptoms,Assim como se tivesse com um bolo na [garganta](SINTOMA)
25,Não tenho falta de ar,37,0.1625700006886163,inform_symptoms,Não tenho [falta de ar](SINTOMA)
26,uma tosse assim meio leve,40,0.2003241150412663,inform_symptoms,uma [tosse](SINTOMA) assim meio leve
27,senti dor no corpo mais passou,59,0.1818746733422463,inform_symptoms,senti [dor](SINTOMA) no corpo mais passou
28,sim,12,0.119121005662686,inform,sim
29,Mais tomo paracetamol e passa,0,0.1627046574404143,inform_medicine,Mais tomo paracetamol e passa
30,Todos os dias a tarde,10,0.3408525795313039,inform,Todos os dias a tarde
31,Tenho termômetro,34,0.2705533408402785,inform,Tenho termômetro
32,fico quente e com calafrios,19,0.5641161641171051,inform_symptoms,fico quente e com calafrios
33,passou a dor no corpo,59,0.2566666545681386,inform_symptoms,passou a [dor](SINTOMA) no corpo
34,Só aquele negocio na garganta,15,0.3414549211476602,inform,Só aquele negocio na [garganta](SINTOMA)
35,as vezes acho que pode até ser (desculpe )catarro,2,0.5659346666126289,request_inform,as vezes acho que pode até ser (desculpe )[catarro](SINTOMA)
36,Mais não consigo escarrar,45,0.3492975442518701,inform,Mais não consigo escarrar
37,"Hoje fiz vinagre, com limão e água morna",9,0.5619016941767745,inform,"Hoje fiz vinagre, com limão e água morna"
38,aliviou um pouco,35,0.3757265835957238,inform_symptoms,aliviou um pouco
39,obg.,57,0.4290561056902799,request_inform,obg.
40,uso paracetamol e chá,0,0.2538718166327747,inform_medicine,uso paracetamol e chá
41,e loratadina,54,0.3620689846858164,inform_medicine,e loratadina
42,Tá certo obg.,4,0.3520816338669796,greeting,Tá certo obg.
43,certo,12,0.2230824459858754,inform,certo
44,Pra mim fazer uma avaliação assim para minha mãe e meu pai só com os dados deles,30,0.5379177574275797,inform,Pra mim fazer uma avaliação assim para minha mãe e meu pai só com os dados deles
45,Estão os dois com febre a mais de cinco dias,13,0.2860914455820837,inform_symptoms,Estão os dois com [febre](SINTOMA) a mais de cinco dias
46,são idosos 84 e 74 ela,17,0.5570767642222061,inform,são idosos 84 e 74 ela
47,são hipertensos e tem cálculos renais,54,0.5797730609476679,inform_symptoms,são hipertensos e tem cálculos renais
48,"estão tendo febre toda tarde ,moleza no corpo",13,0.266863924801154,inform_symptoms,"estão tendo [febre](SINTOMA) toda tarde ,moleza no corpo"
49,Tem q ter o CPF?,41,0.5840026700433278,request_inform,Tem q ter o CPF?
50,Pode ser só o nome e CEP Da rua,31,0.675804253827455,inform,Pode ser só o nome e CEP Da rua
51,Vou abrir o da minha mãe,30,0.4622008824138545,inform,Vou abrir o da minha mãe
52,Tá,4,0.2342091943997024,inform,Tá
53,Boa noite como faço pra abrir pra minha mãe?,26,0.582671592428033,request_inform,Boa noite como faço pra abrir pra minha mãe?
54,Meu pai,30,0.3468228877764077,inform,Meu pai
55,Boa noite é porque  meu pai está com,24,0.5080070843746982,inform,Boa noite é porque  meu pai está com
56,"muita febre ,toma paracetamol passa e volta",0,0.2279693590548036,inform_medicine,"muita [febre](SINTOMA) ,toma paracetamol passa e volta"
57,"Ele tem 84 anos ,é hipertenso e tem cálculo renal",17,0.6050162821608195,inform_symptoms,"Ele tem 84 anos ,é [hipertenso](SINTOMA) e tem cálculo renal"
58,faz tratamento no cenec,54,0.5064918769458091,inform_medicine,faz tratamento no cenec
59,Pois é quero fazer pra ele agora,46,0.4867789327264707,inform,Pois é quero fazer pra ele agora
60,"Tenho que usar outro celular, como faço?",26,0.560869221819807,request_inform,"Tenho que usar outro celular, como faço?"
61,Me ajude por favor,51,0.1820264249401555,request_inform,Me ajude por favor
62,Tenho que pedir outra pessoa pra fazer isso?,41,0.5316380691428824,request_inform,Tenho que pedir outra pessoa pra fazer isso?
63,Tou com o CPF dele,58,0.605046861653038,inform,Tou com o CPF dele
64,"Desde o dia 25/04 que comecei a sentir moleza no corpo, febre e a garganta doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou rinossinusite. Passou 10 dias de amoxicilina + clavulanato e antialérgico.",56,0.276396820158696,inform_symptoms,"Desde o dia 25/04 que comecei a sentir moleza no corpo, [febre](SINTOMA) e a [garganta](SINTOMA) doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou [rinossinusite](SINTOMA). Passou 10 dias de amoxicilina + clavulanato e antialérgico."
65,"Só que não sinto melhora, perdi o olfato e o paladar",52,0.1790594754420018,inform_symptoms,"Só que não sinto melhora, perdi o olfato e o paladar"
66,"minha cabeça dói, sinto um peso",8,0.2621960831899778,inform_symptoms,"minha cabeça dói, sinto um peso"
67,então?,4,0.476427076971245,request_inform,então?
68,posso procurar fazer o teste particular? se der positivo?,25,0.2654327630768063,request_inform,posso procurar fazer o teste particular? se der positivo?
69,"dor de cabeça, dor no corpo, ausência de paladar e olfato, febre tenho mas poucas vezes",33,0.1994507597288555,inform_symptoms,"[dor de cabeça](SINTOMA), dor no corpo, ausência de paladar e olfato, [febre](SINTOMA) tenho mas poucas vezes"
70,"dipirona, sim",54,0.3631116624824378,inform_medicine,"dipirona, sim"
71,a médica prescreveu,53,0.4750908027336065,inform,a médica prescreveu
72,obrigada,50,0.140439806390587,greeting,obrigada
73,obrigada pelas dicas,50,0.2636538489579135,greeting,obrigada pelas dicas
74,boa noite!,24,0.1698954936135743,greeting,boa noite!
75,Boa noite,24,0.1489326115170711,greeting,Boa noite
76,Estou com meu pai adoentado,30,0.3078829195355791,inform,Estou com meu pai adoentado
77,Uns 3 dias de febre ou mais,13,0.251146955887362,inform_symptoms,Uns 3 dias de [febre](SINTOMA) ou mais
78,Talvez 4,17,0.6035893440261823,inform,Talvez 4
79,Todo dia tem febre,13,0.1641522704515816,inform_symptoms,Todo dia tem [febre](SINTOMA)
80,So que ele nao apresenta falta de ar,37,0.3114982771437666,inform_symptoms,So que ele nao apresenta [falta de ar](SINTOMA)
81,E depois que passa a febre fica normal... porem ele fica deitado em repouso,13,0.360681912688339,inform_symptoms,E depois que passa a [febre](SINTOMA) fica normal... porem ele fica deitado em repouso
82,Ele tosse de vez enquando,40,0.251401507016634,inform_symptoms,Ele [tosse](SINTOMA) de vez enquando
83,Ele chegou a passar mal,58,0.3817367717723018,inform,Ele chegou a passar mal
84,Mais foi 1 vez,27,0.4586872670623997,inform,Mais foi 1 vez
85,E n aconteceu mais,27,0.4215024339164069,inform,E n aconteceu mais
86,Ele reclamava de um mal estar no estomago e na cabeça,8,0.509024429335978,inform_symptoms,Ele reclamava de um [mal estar](SINTOMA) no estomago e na cabeça
87,E achava o corpo meio quebrado,58,0.616872678545535,inform_symptoms,E achava o corpo meio quebrado
88,Ele sempre foi doente da barriga,42,0.5545505722005677,inform_symptoms,Ele sempre foi doente da barriga
89,Dor de cabeça nao,8,0.1462488615002737,inform_symptoms,[Dor de cabeça](SINTOMA) nao
90,Na barriga se apertar e um pouco dolorido,59,0.3491390208709712,inform_symptoms,Na barriga se apertar e um pouco [dolorido](SINTOMA)
91,Sente dor nas pernas,59,0.2598532463218364,inform_symptoms,Sente [dor](SINTOMA) nas pernas
92,Vomitou 1 vez so,42,0.4362364499397745,inform_symptoms,Vomitou 1 vez so
93,Foi devido a um remedio,58,0.4403210018116291,inform,Foi devido a um remedio
94,2 dias atras,16,0.274886459158123,inform,2 dias atras
95,Ele tem sonolencia,58,0.4113041498419093,inform_symptoms,Ele tem sonolencia
96,Ele nao tem falta de ar,37,0.218988754916474,inform_symptoms,Ele nao tem [falta de ar](SINTOMA)
97,Entao como devo proceder?,26,0.2369731982722528,request_inform,Entao como devo proceder?
98,Fica em casa ainda?,1,0.4175655126794616,request_inform,Fica em casa ainda?
99,Ele tem 4 dias de febre,13,0.292191185179696,inform_symptoms,Ele tem 4 dias de [febre](SINTOMA)
100,Nao tem como algum medico fazer uma visita e fazer o teste?,25,0.267492595082654,request_inform,Nao tem como algum medico fazer uma visita e fazer o teste?
101,Ele hipertence,58,0.3736556988947207,inform_symptoms,Ele hipertence
102,Ele foi ao posto de saude... e mediram a oxigenaçao no sangue e informaram que estava em 96,53,0.6841919407706206,inform_symptoms,Ele foi ao posto de saude... e mediram a oxigenaçao no sangue e informaram que estava em 96
103,E disseram que estava normal,58,0.5330373653111202,inform,E disseram que estava normal
104,Isso a 2 dias atras,16,0.2765918450233415,inform,Isso a 2 dias atras
105,Vc acha que tem fortes indicios de covid?,29,0.4020968510874918,request_inform,Vc acha que tem fortes indicios de covid?
106,Com oque lhe falei esta grave?,47,0.5863577939356965,request_inform,Com oque lhe falei esta grave?
107,Ou da pra ir se recuperando em casa?,41,0.3912846356285046,request_inform,Ou da pra ir se recuperando em casa?
108,Voce recomenda algum remedio que possa melhorar a recuperaçao?,44,0.4625393544909392,request_inform,Voce recomenda algum remedio que possa melhorar a recuperaçao?
109,Resumindo... so procuro um hospital se estiver com falta de ar correto?,53,0.3440037828847657,request_inform,Resumindo... so procuro um hospital se estiver com [falta de ar](SINTOMA) correto?
110,Certo,12,0.1626964506888689,request_inform,Certo
111,E em caso se ele faltar o ar... para que nao ocorra o pior tem algum procedimento que eu possa fazer para amenizar?,41,0.4453664801910977,request_inform,E em caso se ele faltar o ar... para que nao ocorra o pior tem algum procedimento que eu possa fazer para amenizar?
112,Gostaria de saber para eu ficar precavido,46,0.4544470499321609,request_inform,Gostaria de saber para eu ficar precavido
113,Tem algum remedio para reforçar a fraqueza dele?,44,0.4452078944758462,request_inform,Tem algum remedio para reforçar a [fraqueza](SINTOMA) dele?
114,Muito obrigado,50,0.1030331290440733,greeting,Muito obrigado
115,Era so isso mesmo,4,0.4705809269083257,inform,Era so isso mesmo
116,Qualquer coisa volto a falar aqui,3,0.4410759637360256,inform,Qualquer coisa volto a falar aqui
117,Tem outra coisa,3,0.5081788248603253,inform,Tem outra coisa
118,Ele esta sem sentir cheiro e sabor de comida,52,0.3574861034338021,inform_symptoms,Ele esta sem sentir cheiro e sabor de comida
119,Obrigado,50,0.1250632753442915,greeting,Obrigado
120,Obg,57,0.256984530141085,inform,Obg
121,"19 dias atrás comecei a sentir uma quentura na cabeça, nariz escorrendo, dores de cabeça, sentia uma ardência horrível ao respirar, congestão nasal, e garanta inflamada, tomei alguns comprimidos anti gripais, mais nada resolvia, fiz o uso de nimesulida pra garganta não adiantava, comecei a fazer gargarejo de água morna com sal tive uma melhora. Agora atualmente estou com a quentura horrível por dentro, principalmente nas costas, tosse e dores nos braços. Medi minha saturação deu 90",56,0.2220075684227321,inform_symptoms,"19 dias atrás comecei a sentir uma quentura na cabeça, [nariz escorrendo](SINTOMA), [dores de cabeça](SINTOMA), sentia uma ardência horrível ao respirar, [congestão nasal](SINTOMA), e garanta inflamada, tomei alguns comprimidos anti gripais, mais nada resolvia, fiz o uso de nimesulida pra garganta não adiantava, comecei a fazer gargarejo de água morna com sal tive uma melhora. Agora atualmente estou com a quentura horrível por dentro, principalmente nas costas, [tosse](SINTOMA) e dores nos braços. Medi minha saturação deu 90"
122,Dias são 18 não 19,16,0.5190952312023969,inform,Dias são 18 não 19
123,38 no começo,17,0.3239629770401883,inform,38 no começo
124,Tenho calafrios ao anoitecer,7,0.4700397447858179,inform_medicine,Tenho calafrios ao anoitecer
125,Sinto como de minha respiração fosse quente,39,0.3146629989357669,inform_symptoms,Sinto como de minha respiração fosse quente
126,Me sino cansada se falo muito,22,0.4131931931285686,inform_symptoms,Me sino cansada se falo muito
127,"Não, ah momentos em q fica congestionado nariz",28,0.2748605581675204,inform_symptoms,"Não, ah momentos em q fica congestionado nariz"
128,Tipo Tampa,57,0.7422276094151841,inform,Tipo Tampa
129,Sem febre,13,0.1846548931165538,inform_symptoms,Sem [febre](SINTOMA)
130,Só uma quentura por dentro,31,0.3015421055470871,inform,Só uma quentura por dentro
131,Tive melhoras,54,0.5454258673043192,inform,Tive melhoras
132,"Só essa tosse que persiste a noite, dores nos braços, e essa quentura no corpo",56,0.3149150009649432,inform_symptoms,"Só essa [tosse](SINTOMA) que persiste a noite, dores nos braços, e essa quentura no corpo"
133,"Uma amiga tem, ontem ela estava em casa pedi p medir",34,0.5857446830233958,inform,"Uma amiga tem, ontem ela estava em casa pedi p medir"
134,Deu 90 sim,12,0.5502157462444156,inform,Deu 90 sim
135,Assim,4,0.3540745523778968,inform,Assim
136,Quentura por dentro,58,0.5833227242844143,inform,Quentura por dentro
137,Como se minha respiração tivesse quente,39,0.2765489214281689,inform_symptoms,Como se minha respiração tivesse quente
138,Quando falo muito me sinto um pouco cansada. Quando olhei estava assim,2,0.3530345907512811,inform_symptoms,Quando falo muito me sinto um pouco cansada. Quando olhei estava assim
139,Cansaço sim,12,0.5230061030279599,inform,[Cansaço](SINTOMA) sim
140,Saturação 90 isso é bom?,11,0.5535856630574123,request_inform,Saturação 90 isso é bom?
141,O Sr conseguiu ouvir o audio,58,0.6922167325360316,inform,O Sr conseguiu ouvir o audio
142,Atualmente nas costas,43,0.4727041913252446,inform,Atualmente nas costas
143,Só de um lado,31,0.2276813562457095,inform,Só de um lado
144,Direito,57,0.4736009733419243,inform,Direito
145,Incômoda um pouco,35,0.3059217522310599,inform,Incômoda um pouco
146,Oq posso tomar em relação essa quentura,44,0.3013426823874517,request_inform,Oq posso tomar em relação essa quentura
147,E a tosse,40,0.2634104007570272,inform_symptoms,E a [tosse](SINTOMA)
148,Em devo ir ao posto de saúde,53,0.3224633171880734,inform,Em devo ir ao posto de saúde
149,O pai da minha filha estava com sintomas parecidos aos meus porém mais leves e um companheiro de trabalho dele esta com covid,32,0.4192025445245264,inform_symptoms,O pai da minha filha estava com sintomas parecidos aos meus porém mais leves e um companheiro de trabalho dele esta com covid
150,OK,4,0.1775591778286872,greeting,OK
151,"Ao Sr também, que Deus te proteja e te guarde de todo mal.",20,0.5893051436131359,inform,"Ao Sr também, que Deus te proteja e te guarde de todo mal."
152,"Assim. A uns dias estou com uma quebradeira no corpo, desde segunda.",21,0.5071866886339755,inform_symptoms,"Assim. A uns dias estou com uma quebradeira no corpo, desde segunda."
153,De ontem para hoje me deu febre,13,0.2066085478451146,inform_symptoms,De ontem para hoje me deu [febre](SINTOMA)
154,E agora estou com um pouco de falta de ar,37,0.273141526498843,inform_symptoms,E agora estou com um pouco de [falta de ar](SINTOMA)
155,Não.,12,0.2340755165152308,inform,Não.
156,Usei 3,17,0.6383502021169443,inform_medicine,Usei 3
157,Dorona e paracetamol gotas.,0,0.4157676955517764,inform_medicine,Dorona e paracetamol gotas.
158,Inicialmente sim,12,0.3886811518748838,inform,Inicialmente sim
159,Me diga uma coisa. Ter um pouco de tontura pode ser sintoma também?,23,0.3207290564813323,request_inform,Me diga uma coisa. Ter um pouco de [tontura](SINTOMA) pode ser sintoma também?
160,Pois tive,7,0.3464653092061454,inform,Pois tive
161,Uma leve tontura quase levanto a cabeça rápido.,8,0.4186729126838729,inform_symptoms,Uma leve [tontura](SINTOMA) quase levanto a cabeça rápido.
162,Meus olhos estão quentes,7,0.4579800844386367,inform_symptoms,Meus olhos estão quentes
163,Foi pontual. Senti agora a noite. Eu estava normal dentro de casa,21,0.4539671575081503,inform,Foi pontual. Senti agora a noite. Eu estava normal dentro de casa
164,Quase,57,0.339021713138148,inform,Quase
165,Uma aticoade leve.,35,0.5547105925557296,inform_symptoms,Uma aticoade leve.
166,Tanto que eu não queria informar. Pois pensei ter sido uma gripe,38,0.3679675509438844,inform_symptoms,Tanto que eu não queria informar. Pois pensei ter sido uma gripe
167,Não melhorei. Apenas diminui,35,0.5007112755625527,inform,Não melhorei. Apenas diminui
168,Está bem fraca,35,0.342012150458809,inform,Está bem fraca
169,Agora está pouco,43,0.2226352469853009,inform,Agora está pouco
170,Diga,57,0.3191054981047215,inform,Diga
171,Ok. Muito obrigado pela atenção.,50,0.2418500589393842,greeting,Ok. Muito obrigado pela atenção.
172,Está tudo claro pra mim. Muito obrigado e bom trabalho.,50,0.4469861932738594,greeting,Está tudo claro pra mim. Muito obrigado e bom trabalho.
173,"Boa noite, estou bem melhor",24,0.1691918381692968,greeting,"Boa noite, estou bem melhor"
174,A minha mulher que ainda ta com alguns sintomas,23,0.2621936601007809,inform,A minha mulher que ainda ta com alguns sintomas
175,O meu domingo,10,0.3172994548346654,inform,O meu domingo
176,Só farmácia,31,0.4877046651644966,inform,Só farmácia
177,Pedi pelo celular,57,0.6328921976290668,inform,Pedi pelo celular
178,Tô isolada com minha mulher e minha filha de 3anos,32,0.391949011047186,inform,Tô isolada com minha mulher e minha filha de 3anos
179,Minha casa e pequena não tem como quartos não tem como fica distante das outras pessoas,1,0.3937242552412878,inform,Minha casa e pequena não tem como quartos não tem como fica distante das outras pessoas
180,Febre diarreia sentindo cansada e como se tivesse inchada,42,0.2855302397373664,inform_symptoms,Febre diarreia sentindo cansada e como se tivesse inchada
181,Dipirona 1miligrama,54,0.508774948485488,inform_medicine,Dipirona 1miligrama
182,Quando tomar mais depois de umas 3 4 horas volta a febre,13,0.3462165742025902,inform_medicine,Quando tomar mais depois de umas 3 4 horas volta a [febre](SINTOMA)
183,Quando fala muito e quando faz as atividades,2,0.4341326255454724,inform,Quando fala muito e quando faz as atividades
