txt,label,distance,intent
Há dois tias estou com dor na garganta,36,0.27791694843266557,inform_symptoms
Estou preocupado pois tenho asma,55,0.18012289197422893,inform_symptoms
Só ontem,10,0.13809199229977376,inform
Sim,58,0.22855882116592585,inform
As duas da tarde,16,0.3149660463514067,inform
Estou um pouco ofegante,3,0.16131423366582553,inform_symptoms
Não,18,0.21907294762524843,inform
Usei as duas semanas atrás,31,0.27649343296294704,inform
Não tenho transporte,78,0.19807354389477339,inform
Minha filha está comigo mais está no quarto separado pois ela tem asma também,32,0.31698904216213375,inform
Não temos carro,78,0.2307948501080167,inform
Ok,67,0.14990862417388162,inform
Tá certo,58,0.18453827149045599,inform
Vou deita um pouco,75,0.25522019812578545,inform
Posso toma um maracugina  pra mi acalmar?,72,0.25502480620983126,request_inform
Obrigada,63,0.1850628406057142,greeting
Bem,67,0.20210136771046672,inform
O Artolin fez efeito,42,0.4984291540648397,inform_medicine
To respirando melhor  Só a garganta continua doendo,60,0.2530545559217777,inform_symptoms
Tem posto de saúde aberto amanhã?,41,0.3265178628765011,request_inform
Sandra Moreira e Flávio Marcílio,34,0.47356573449079575,inform
Obrigada  Que Jesus nos abençoe e nos proteja,51,0.2786363045688599,greeting
"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",52,0.15555093615823767,inform_symptoms
Assim como se tivesse com um bolo na garganta,36,0.2666481137969636,inform_symptoms
Não tenho falta de ar,37,0.149821691140137,inform_symptoms
uma tosse assim meio leve,3,0.238771179840936,inform_symptoms
senti dor no corpo mais passou,59,0.2130248255577355,inform_symptoms
sim,58,0.22855882116592585,inform
Mais tomo paracetamol e passa,44,0.15486171175998042,inform_medicine
Todos os dias a tarde,10,0.22035196289023007,inform
Tenho termômetro,7,0.32669678867970064,inform_symptoms
fico quente e com calafrios,8,0.23799593735483737,inform_symptoms
passou a dor no corpo,65,0.19889292966219985,inform_symptoms
Só aquele negocio na garganta,36,0.35292400890156883,inform_symptoms
as vezes acho que pode até ser (desculpe )catarro,24,0.2761894878212683,inform
Mais não consigo escarrar,40,0.19237197315407772,inform_symptoms
"Hoje fiz vinagre, com limão e água morna",22,0.3277660913160255,inform_symptoms
aliviou um pouco,3,0.1745324570894502,inform_symptoms
obg.,12,0.41432086029046267,inform
uso paracetamol e chá,44,0.1641777269672654,inform_medicine
Tá certo obg.,58,0.39691451352184604,inform
certo,58,0.22906506092320056,inform
Pra mim fazer uma avaliação assim para minha mãe e meu pai só com os dados deles,32,0.4090518120600639,inform
Estão os dois com febre a mais de cinco dias,56,0.2295029420544794,inform_symptoms
são idosos 84 e 74 ela,17,0.48590457219335237,inform
são hipertensos e tem cálculos renais,73,0.240010724472823,inform_symptoms
"estão tendo febre toda tarde ,moleza no corpo",52,0.2887855297226083,inform_symptoms
Tem q ter o CPF?,61,0.27693791322193906,request_inform
Pode ser só o nome e CEP Da rua,72,0.3842535059087767,request_inform
Vou abrir o da minha mãe,26,0.2871597722189878,inform
Tá,12,0.24564584093481512,inform
Boa noite como faço pra abrir pra minha mãe?,11,0.3658647461334189,request_inform
Meu pai,4,0.25040774014667677,inform
