txt,label,distance,intent
Há dois tias estou com dor na garganta,45,0.1572830316793743,inform_symptoms
Estou preocupado pois tenho asma,45,0.1272363283914787,inform_symptoms
Só ontem,22,0.2898684560294955,inform_symptoms
Sim,12,0.1882465312802215,inform
Chenil e aerodin spray,34,0.29391112636707895,inform_medicine
As duas da tarde,10,0.28069447512160306,inform
Estou um pouco ofegante,7,0.16618108016524313,inform_symptoms
Não,74,0.12927886126912325,inform
Usei as duas semanas atrás,31,0.2910974889675426,inform
Não tenho transporte,83,0.17413439689331212,inform
Minha filha está comigo mais está no quarto separado pois ela tem asma também,32,0.10077204820840013,inform
Não temos carro,83,0.20730860632403425,inform
Ok,47,0.192948045815443,greeting
Parada mesmo,82,0.351597776077303,inform
Tá certo,58,0.1491288042841129,greeting
Vou deita um pouco,7,0.20656988769550766,inform_symptoms
Posso toma um maracugina  pra mi acalmar?,79,0.1708033093619522,request_inform
Obrigada,62,0.14130896623138134,greeting
Bem,51,0.26902524930686045,inform
O Artolin fez efeito,89,0.30789808600564317,inform
To respirando melhor  Só a garganta continua doendo,52,0.17687027778670827,inform_symptoms
Tem posto de saúde aberto amanhã?,87,0.11781576657098825,request_inform
Sandra Moreira e Flávio Marcílio,21,0.26274910503220983,inform
Lã é onde está funcionando o Odorico  de Morais,77,0.23214223578557358,inform
Obrigada  Que Jesus nos abençoe e nos proteja,20,0.12310902107956168,greeting
"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",90,0.11098154860688147,inform_symptoms
Assim como se tivesse com um bolo na garganta,39,0.15808327240851927,inform_symptoms
Não tenho falta de ar,37,0.10091350454286685,inform_symptoms
uma tosse assim meio leve,64,0.19752865729273572,inform_symptoms
senti dor no corpo mais passou,65,0.15682781745658692,inform_symptoms
sim,12,0.19584454241058313,inform
Mais tomo paracetamol e passa,42,0.1893674465962032,inform_medicine
Todos os dias a tarde,10,0.24371828248342087,inform
fico quente e com calafrios,45,0.2019532642489369,inform_symptoms
passou a dor no corpo,65,0.20228315205761627,inform_symptoms
Só aquele negocio na garganta,28,0.269516899819942,inform_symptoms
as vezes acho que pode até ser (desculpe )catarro,46,0.18100471625911208,inform
Mais não consigo escarrar,83,0.16661212710341455,inform
"Hoje fiz vinagre, com limão e água morna",15,0.13743456389851838,inform_medicine
aliviou um pouco,7,0.17067894308270692,inform_symptoms
obg.,51,0.3825062220809353,inform
uso paracetamol e chá,91,0.20374247547907087,inform_medicine
e loratadina,29,0.33999967309164925,inform_symptoms
Tá certo obg.,58,0.11089452629260965,greeting
certo,51,0.31311246092687695,inform
Pra mim fazer uma avaliação assim para minha mãe e meu pai só com os dados deles,32,0.16773606140662622,inform
Estão os dois com febre a mais de cinco dias,56,0.13227492084233994,inform_symptoms
são hipertensos e tem cálculos renais,38,0.25197857109627897,inform_symptoms
"estão tendo febre toda tarde ,moleza no corpo",65,0.14891677071837783,inform_symptoms
Tem q ter o CPF?,25,0.2601144172604556,request_inform
Pode ser só o nome e CEP Da rua,76,0.25681623838865353,request_inform
Vou abrir o da minha mãe,80,0.19925095107822144,inform
Tá,51,0.2905952866289978,inform
Boa noite como faço pra abrir pra minha mãe?,11,0.18721110007140374,request_inform
Meu pai,30,0.2456856727067197,inform
Boa noite é porque  meu pai está com,32,0.20944624341960005,inform
"muita febre ,toma paracetamol passa e volta",82,0.2440075050949675,inform
"Ele tem 84 anos ,é hipertenso e tem cálculo renal",17,0.1964842943613465,inform
faz tratamento no cenec,93,0.3043340814294542,request_inform
Pois é quero fazer pra ele agora,85,0.22848456110466253,inform_symptoms
"Tenho que usar outro celular, como faço?",11,0.15384213464537821,request_inform
Me ajude por favor,72,0.20164124818289852,inform
Tenho que pedir outra pessoa pra fazer isso?,80,0.2262369701384065,inform
Tou com o CPF dele,72,0.2672967005325644,inform
"Desde o dia 25/04 que comecei a sentir moleza no corpo, febre e a garganta doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou rinossinusite. Passou 10 dias de amoxicilina + clavulanato e antialérgico.",92,0.1015445181651995,inform_symptoms
"Só que não sinto melhora, perdi o olfato e o paladar",70,0.12475133219505319,inform_symptoms
"minha cabeça dói, sinto um peso",65,0.19293979965022456,inform_symptoms
ela me entregou um atestado de 3 dias voltei ao trabalho,92,0.24326342555117875,inform_symptoms
então?,76,0.3064965370288937,request_inform
posso procurar fazer o teste particular? se der positivo?,25,0.13186329966639176,request_inform
"dor de cabeça, dor no corpo, ausência de paladar e olfato, febre tenho mas poucas vezes",90,0.11851710656357828,inform_symptoms
"dipirona, sim",12,0.2640744390032296,inform
não tem como ficar em repouso por conta do trabalho,49,0.17105653337933802,inform_symptoms
obrigada,62,0.26438085778864195,greeting
obrigada pelas dicas,63,0.20247420669855432,greeting
boa noite!,67,0.08486376580030597,greeting
Boa noite,67,0.0894865414001792,greeting
Estou com meu pai adoentado,30,0.19946128161278465,inform
Uns 3 dias de febre ou mais,56,0.22595176764371017,inform_symptoms
Talvez 4,51,0.2925182638383722,inform
Todo dia tem febre,44,0.20094655835955166,inform_symptoms
So que ele nao apresenta falta de ar,37,0.13631140313073942,inform_symptoms
E depois que passa a febre fica normal... porem ele fica deitado em repouso,92,0.14864178702559616,inform_symptoms
Ele tosse de vez enquando,27,0.19965659558311555,inform_symptoms
Ele chegou a passar mal,19,0.2634796339751726,inform_symptoms
Mais foi 1 vez,27,0.2681069970997544,inform_symptoms
E n aconteceu mais,43,0.29443925244718705,inform
Ele reclamava de um mal estar no estomago e na cabeça,90,0.1515970702309909,inform_symptoms
E achava o corpo meio quebrado,85,0.27083665125422773,inform_symptoms
