txt,annotated_txt,label,distance,intent
Tô  muito nervosa Marcela com tudo isso,Tô  muito nervosa Marcela com tudo isso,4,0.1617263034743729,inform_symptoms
O meu problema  é  psicológico    nem dormi estou  conseguindo,O meu problema  é  psicológico    nem dormi estou  conseguindo,1,0.1239029709112609,inform_symptoms
Com muito medo,Com muito medo,64,0.27226262518902355,inform_symptoms
Sim,Sim,19,0.16213911890412747,others
A 3 meses atrás  quando o meu esposo faleceu,A 3 meses atrás  quando o meu esposo faleceu,8,0.21868475206056703,others
Não,Não,25,0.13460061409859925,others
Tem algum remédio  que a pessoa tome para se acalmar,Tem algum remédio  que a pessoa tome para se acalmar,81,0.1289112064331368,inform_symptoms
Pra  ficar tranquila,Pra  ficar tranquila,4,0.2639026418506224,inform_symptoms
Tá  certo,Tá  certo,84,0.11716619810097184,greeting
Tá  bom,Tá  bom,84,0.11011022807865756,greeting
"Obrigada , que Deus  te abençoe","Obrigada , que Deus  te abençoe",50,0.07692666048024055,greeting
Obrigada,Obrigada,45,0.1399154223335939,greeting
Estou com idosos correndo risco de se contaminar,Estou com idosos correndo risco de se contaminar,48,0.15752017964839315,inform_symptoms
"Boa tarde! Tenho uma idosa de 84 anos e vivi na rua ,na mesma casa tem mais 2 idosos e o restante são idosos que vão passear lá  Idosos que moram na casa são 3  Uma de 89,outra de 84 e a mais nova de 74. O marido da idosa de 89 tem 80 e está vindo de quixeramobim pra vela não usa máscara , a outra que vem passear também tem 75 também não segue os cuidados. Já falei, levei máscara , a idosa que sai direto de casa tem o hábito de abraçar , beijar e dá a mão pra todo mundo! Ela é lúcida mas às vezes tem algum momento de demência , rir de tudo e acha que o que tá acontecendo é besteira  Elas vivem só , não querem","Boa tarde! Tenho uma idosa de 84 anos e vivi na rua ,na mesma casa tem mais 2 idosos e o restante são idosos que vão passear lá  Idosos que moram na casa são 3  Uma de 89,outra de 84 e a mais nova de 74. O marido da idosa de 89 tem 80 e está vindo de quixeramobim pra vela não usa máscara , a outra que vem passear também tem 75 também não segue os cuidados. Já falei, levei máscara , a idosa que sai direto de casa tem o hábito de abraçar , beijar e dá a mão pra todo mundo! Ela é lúcida mas às vezes tem algum momento de [demência](SINTOMA) , rir de tudo e acha que o que tá acontecendo é besteira  Elas vivem só , não querem",16,0.11579881840917916,others
Acabei de enviar,Acabei de enviar,93,0.2616816963831965,others
"Mãe , tia que me criou, tio,","Mãe , tia que me criou, tio,",73,0.20672202820235208,others
Estamos abalados emocionalmente,Estamos abalados emocionalmente,90,0.2700817178213052,others
"Sim, meus dois irmão","Sim, meus dois irmão",2,0.1782884470340298,others
Não pelo contrário estão ajudando,Não pelo contrário estão ajudando,66,0.2506821776414532,others
"Não posso tá lá , meu genrro é. Médico e vem aqui em casa, por isso não posso ir","Não posso tá lá , meu genrro é. Médico e vem aqui em casa, por isso não posso ir",94,0.10633785455150369,others
"Já , elas ver os jornais, são orientadas","Já , elas ver os jornais, são orientadas",66,0.20240771485806108,others
Não sabemos mais o que fazer,Não sabemos mais o que fazer,14,0.24818288267353172,request_inform
Choro todos os dias!,Choro todos os dias!,76,0.2600192761512532,inform_symptoms
"Elas têm máscaras , falamos, mas aqui não tem os cuidados das autoridades de está colocando eles pra casa","Elas têm máscaras , falamos, mas aqui não tem os cuidados das autoridades de está colocando eles pra casa",66,0.1167182600893093,others
"Como assim doutora, cuidar de sí ?","Como assim doutora, cuidar de sí ?",6,0.1724336926094231,request_inform
"Triste, tenho medo de perder todos eles!","Triste, tenho medo de perder todos eles!",33,0.16305271655909181,inform_symptoms
"Essa semana vou passar 15 dias sem ver minha filha, mandei ela é meu genrro ficarem em casa porque o cunhado dela está com todos sintomas de covid","Essa semana vou passar 15 dias sem ver minha filha, mandei ela é meu genrro ficarem em casa porque o cunhado dela está com todos sintomas de covid",16,0.08064050358651131,others
Meu esposo já tem quase 60,Meu esposo já tem quase 60,36,0.22080288278466986,others
"Via, 2x por semana","Via, 2x por semana",20,0.24331084428101624,others
"Perdi um primo 46 anos Rompimento da aorta coronária , tento ser forte pois a esposa e o menino estão precisando de ajuda psicológica","Perdi um primo 46 anos Rompimento da aorta coronária , tento ser forte pois a esposa e o menino estão precisando de ajuda psicológica",16,0.1173517004913106,others
Eu preciso de um psicólogo pra eles O luto é patológico e o temor do Corona está acabando com eles,Eu preciso de um psicólogo pra eles O luto é patológico e o temor do Corona está acabando com eles,33,0.10325862985912881,inform_symptoms
Estou orientando quanto o vírus por que a viúva é diabética,Estou orientando quanto o vírus por que a viúva é diabética,33,0.17122156099302566,inform_symptoms
Estou aguardando vaga virtual com uma psicóloga pra eles,Estou aguardando vaga virtual com uma psicóloga pra eles,16,0.18476184742455082,others
Preciso de alguém pra ir na casa das minhas bichinhas,Preciso de alguém pra ir na casa das minhas bichinhas,94,0.18738270351921194,others
Sou técnica de enfermagem  Aguardando a um ano aposentadoria,Sou técnica de enfermagem  Aguardando a um ano aposentadoria,72,0.18701654918847255,others
Nossa família toda é assim!,Nossa família toda é assim!,73,0.21453749560793667,others
Gosta de ajudar outras pessoas,Gosta de ajudar outras pessoas,81,0.2641596063147871,inform_symptoms
"Queria  a polícia pra dar uma orientação , possa ser que eles acreditem, pois já que não conhecem","Queria  a polícia pra dar uma orientação , possa ser que eles acreditem, pois já que não conhecem",94,0.1296773519562262,others
Não! Porque eles se acostumaram com minha tia sendo a cabeça da família,Não! Porque eles se acostumaram com minha tia sendo a cabeça da família,73,0.12731869014115238,others
Sim! Sim,Sim! Sim,19,0.1224304602182017,others
"Se precisar financeiramente sim! Mas atitudes como levar a médico acompanhar, orienta pra procurar os serviços de saúde ""somos  nós""","Se precisar financeiramente sim! Mas atitudes como levar a médico acompanhar, orienta pra procurar os serviços de saúde ""somos  nós""",81,0.1482278956843448,inform_symptoms
Ela ainda hoje leva os outros irmãos para os médicos. Ela acha que todos nós iremos ter que morrer ou de uma coisa ou de outra! Ela era da saúde,Ela ainda hoje leva os outros irmãos para os médicos. Ela acha que todos nós iremos ter que morrer ou de uma coisa ou de outra! Ela era da saúde,33,0.12725531716005178,inform_symptoms
É minha única esperança,É minha única esperança,57,0.23586812608139507,request_inform
Ela é tão forte que é ela que abre a cova pra enterrar nossos mortos e acha natural e não chora,Ela é tão forte que é ela que abre a cova pra enterrar nossos mortos e acha natural e não chora,35,0.14165785751134485,others
Diz que assim mesmo a vida! Uns nascendo outros morrendo,Diz que assim mesmo a vida! Uns nascendo outros morrendo,33,0.17670360833370002,inform_symptoms
"São sutomos mesmo, por isso não tiro eles pra vir morar comigo, apenas faço adaptações pra que eles sintam se bem na casinha deles","São sutomos mesmo, por isso não tiro eles pra vir morar comigo, apenas faço adaptações pra que eles sintam se bem na casinha deles",94,0.08174256078185804,others
Faz sim! Mas eu temo perde los todos de uma vez! Eu amo meus idosos. Elas choram e vão buscar as outras pra passar lá na casa delas!,Faz sim! Mas eu temo perde los todos de uma vez! Eu amo meus idosos. Elas choram e vão buscar as outras pra passar lá na casa delas!,94,0.1377111612277243,others
Obrigada assim mesmo por a atenção e Jesus te lave com o sangue do cordeiro e te cubra de saúde,Obrigada assim mesmo por a atenção e Jesus te lave com o sangue do cordeiro e te cubra de saúde,63,0.2031414964188547,inform_symptoms
Tem não! Foi difícil eu até fazer o controle no velório,Tem não! Foi difícil eu até fazer o controle no velório,21,0.12593871549453683,others
Fica com Deus! Thau!,Fica com Deus! Thau!,61,0.21475978376960025,greeting
Boa tarde!,Boa tarde!,55,0.10313604837990642,greeting
"Estou a 03 dias com febre e tosse seca, muitas dores nas costas","Estou a 03 dias com [febre](SINTOMA) e [tosse seca](SINTOMA), muitas dores nas costas",47,0.09740651243930831,inform_symptoms
Sim.,Sim.,19,0.1564857125072422,others
"Durante esse período de febre tomei Dipirona monoidratada, porém a febre vai e volta.","Durante esse período de [febre](SINTOMA) tomei Dipirona monoidratada, porém a [febre](SINTOMA) vai e volta.",8,0.14226667858164466,others
"Um pouco, acho que por conta da tosse","Um pouco, acho que por conta da [tosse](SINTOMA)",33,0.16324737415270862,inform_symptoms
Só quando tusso,Só quando tusso,26,0.16815721961000374,inform_symptoms
O problema é encontrar um posto de Saúde funcionando,O problema é encontrar um posto de Saúde funcionando,72,0.19302377298055096,others
Rua 922 casa 136 conjunto Ceará.,Rua 922 casa 136 conjunto Ceará.,10,0.15810567247316032,others
Tô saindo procurar recursos,Tô saindo procurar recursos,93,0.21728765025152874,others
Febre controlada com Dipirona 1g,[Febre](SINTOMA) controlada com Dipirona 1g,31,0.17065320935907724,inform_medicine
"Tosse, coisa e espirros controlados com Alexofedrin D.","[Tosse](SINTOMA), coisa e espirros controlados com Alexofedrin D.",15,0.17312841059737483,inform_symptoms
No sábado passado.,No sábado passado.,44,0.25007912062097626,others
Corisa*,Corisa*,28,0.15631032178961635,others
Sim!,Sim!,61,0.15949377441418233,greeting
"Não foi feito nenhum exame. O médico passou Dipirona 1g, se febre. Alexofedrin D, pra Corisa e espirros. Sekí xarope pra tosse. Pediu pra me manter em casa.","Não foi feito nenhum exame. O médico passou Dipirona 1g, se [febre](SINTOMA). Alexofedrin D, pra Corisa e [espirros](SINTOMA). Sekí xarope pra [tosse](SINTOMA). Pediu pra me manter em casa.",16,0.1313403922123585,others
Todos esses sintomas consigo controlar com os medicamentos.,Todos esses sintomas consigo controlar com os medicamentos.,80,0.11962515396186468,others
Minha preocupação é ter uma pneumonia silenciosa.,Minha preocupação é ter uma [pneumonia](SINTOMA) silenciosa.,49,0.17488539488159494,inform_symptoms
Sim! Estou separado das outras pessoas da casa.,Sim! Estou separado das outras pessoas da casa.,72,0.20209216994484958,others
Ok. Entendí.,Ok. Entendí.,61,0.13294096492803742,greeting
Tou tomando Alexofedrin pros espirros e Corisa. É pra eu suspender?,Tou tomando Alexofedrin pros [espirros](SINTOMA) e Corisa. É pra eu suspender?,6,0.14829572959372672,request_inform
Voi recomendação médica.,Voi recomendação médica.,38,0.30290343724319047,inform_symptoms
Ótimo.,Ótimo.,61,0.24369760773699534,greeting
Obrigada!,Obrigada!,45,0.121461971011807,greeting
"Sintomas hoje:  * dor de cabeça, mal estar estomacal e falta de apetite. * Dia 24/04, sentí os primeiros sintomas. Espirros e corisa. Dia 20, tive contato com covid positivado. * Fui ao médico. Receitou: -Dipirona 1g, se febre ou dor. -Seki, se tosse. -Alegra D, se espirros. * Não fiz nenhum teste.","Sintomas hoje:  * [dor de cabeça](SINTOMA), [mal estar](SINTOMA) estomacal e falta de apetite. * Dia 24/04, sentí os primeiros sintomas. [Espirros](SINTOMA) e corisa. Dia 20, tive contato com covid positivado. * Fui ao médico. Receitou: -Dipirona 1g, se [febre](SINTOMA) ou dor. -Seki, se [tosse](SINTOMA). -Alegra D, se [espirros](SINTOMA). * Não fiz nenhum teste.",47,0.17935102132994507,inform_symptoms
Desde ontem que me sinto mais ruim.,Desde ontem que me sinto mais ruim.,1,0.1481843603917138,inform_symptoms
"Falta de ar, não. E à noite, fico febril. Tou conseguindo controlar a febre com a Dipirona. É durante o dia, a temperatura é normal.","[Falta de ar](SINTOMA), não. E à noite, fico febril. Tou conseguindo controlar a [febre](SINTOMA) com a Dipirona. É durante o dia, a temperatura é normal.",33,0.10672902812931206,inform_symptoms
"Já cheguei a 38⁰. Essas últimas noites, 37,8⁰ e 37,9⁰.","Já cheguei a 38⁰. Essas últimas noites, 37,8⁰ e 37,9⁰.",36,0.24994298188628172,others
"Consigo me manter bem com a Dipirona. Mas hoje, tive dor de cabeça e mal estar. Uma gastura no estômago. Sem vontade de comer.","Consigo me manter bem com a Dipirona. Mas hoje, tive [dor de cabeça](SINTOMA) e [mal estar](SINTOMA). Uma gastura no estômago. Sem vontade de comer.",30,0.08290312392145394,inform_symptoms
Não.,Não.,25,0.14581775023093546,others
Entendí!,Entendí!,61,0.24877702940861013,greeting
Obrigado!,Obrigado!,45,0.1320224002012821,greeting
Boa noite!,Boa noite!,55,0.08156320199942191,greeting
Estou com alguns sintomas desde segunda e queria saber se são sintomas de covid,Estou com alguns sintomas desde segunda e queria saber se são sintomas de covid,33,0.15907116184794545,inform_symptoms
E como devo proceder,E como devo proceder,93,0.21537603269653394,others
