txt,label,distance,intent
Há dois tias estou com dor na garganta,45,0.13292152095864407,inform_symptoms
Estou preocupado pois tenho asma,19,0.16228509510158495,inform_symptoms
Só ontem,27,0.21399997264376613,inform
Sim,58,0.161684065036529,inform
Chenil e aerodin spray,42,0.17289468269245878,inform_medicine
As duas da tarde,10,0.31100394341877047,inform
Estou um pouco ofegante,19,0.1413804189625758,inform_symptoms
Não,74,0.13726317163547586,inform
Usei as duas semanas atrás,31,0.29039200483936445,inform_symptoms
Não tenho transporte,33,0.14709124710095578,inform
Minha filha está comigo mais está no quarto separado pois ela tem asma também,32,0.12645275507065235,inform_symptoms
Não temos carro,33,0.17539308408604704,inform
Ok,12,0.1965904350782829,greeting
Parada mesmo,57,0.33093188989385747,inform
Tá certo,50,0.1210823768271061,greeting
Vou deita um pouco,3,0.19106791504187326,inform_symptoms
Posso toma um maracugina  pra mi acalmar?,25,0.11762757526849543,request_inform
Obrigada,62,0.15936318522335347,greeting
O Artolin fez efeito,28,0.235723387543602,inform_symptoms
To respirando melhor  Só a garganta continua doendo,6,0.14132264554213148,inform_symptoms
Tem posto de saúde aberto amanhã?,79,0.17548977412528644,request_inform
Sandra Moreira e Flávio Marcílio,29,0.2567187531729914,inform
Lã é onde está funcionando o Odorico  de Morais,77,0.20302754419077862,inform
Obrigada  Que Jesus nos abençoe e nos proteja,20,0.11295787593923334,greeting
"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",52,0.0924464827074819,inform_symptoms
Assim como se tivesse com um bolo na garganta,84,0.12680901200551653,inform_symptoms
Não tenho falta de ar,37,0.10768342267494457,inform_symptoms
uma tosse assim meio leve,64,0.21309449033640415,inform_symptoms
sim,58,0.14928988191413672,inform
Mais tomo paracetamol e passa,43,0.18539883542250202,inform
Todos os dias a tarde,31,0.2588586456451084,inform_symptoms
Tenho termômetro,8,0.11850838653489537,inform_symptoms
fico quente e com calafrios,45,0.16376782039202498,inform_symptoms
passou a dor no corpo,64,0.16965998767137125,inform_symptoms
Só aquele negocio na garganta,64,0.15628923108234938,inform_symptoms
as vezes acho que pode até ser (desculpe )catarro,24,0.1752956482122221,inform_symptoms
Mais não consigo escarrar,4,0.15985387327273348,inform
"Hoje fiz vinagre, com limão e água morna",15,0.16094388953296068,inform_medicine
aliviou um pouco,3,0.19001435798741217,inform_symptoms
obg.,12,0.14083069033338635,greeting
uso paracetamol e chá,65,0.26233157743864466,inform_symptoms
e loratadina,42,0.2608666556037853,inform_medicine
Tá certo obg.,50,0.12076577583420567,greeting
Pra mim fazer uma avaliação assim para minha mãe e meu pai só com os dados deles,49,0.1366313981272631,inform_symptoms
Estão os dois com febre a mais de cinco dias,31,0.1389806747816692,inform_symptoms
são idosos 84 e 74 ela,0,0.25089372860214654,inform_symptoms
são hipertensos e tem cálculos renais,38,0.23406020612871914,inform_symptoms
"estão tendo febre toda tarde ,moleza no corpo",52,0.13404596666672952,inform_symptoms
Tem q ter o CPF?,25,0.17453206980250147,request_inform
Pode ser só o nome e CEP Da rua,41,0.21131135766202624,inform
Vou abrir o da minha mãe,5,0.1964367459595877,inform
Tá,50,0.2708955081878559,greeting
Boa noite como faço pra abrir pra minha mãe?,25,0.16902058792045582,request_inform
Meu pai,30,0.15197915043672594,inform
Boa noite é porque  meu pai está com,30,0.1804188427428981,inform
"muita febre ,toma paracetamol passa e volta",82,0.1886289464977009,inform_symptoms
"Ele tem 84 anos ,é hipertenso e tem cálculo renal",32,0.1876777296694454,inform_symptoms
