txt,annotated_txt,label,distance,intent
Tô  muito nervosa Marcela com tudo isso,Tô  muito nervosa Marcela com tudo isso,14,0.30351425252906317,inform_symptoms
O meu problema  é  psicológico    nem dormi estou  conseguindo,O meu problema  é  psicológico    nem dormi estou  conseguindo,37,0.3154054526079437,others
Com muito medo,Com muito medo,65,0.2457152347092355,others
Sim,Sim,19,0.22057183486656018,others
A 3 meses atrás  quando o meu esposo faleceu,A 3 meses atrás  quando o meu esposo faleceu,78,0.30156280069838703,others
Não,Não,58,0.1870958021481126,others
Tem algum remédio  que a pessoa tome para se acalmar,Tem algum remédio  que a pessoa tome para se acalmar,24,0.34807010960911644,request_inform
Pra  ficar tranquila,Pra  ficar tranquila,79,0.3647358425883621,others
Tá  certo,Tá  certo,60,0.19795167855129636,greeting
Tá  bom,Tá  bom,43,0.25082220691585866,greeting
"Obrigada , que Deus  te abençoe","Obrigada , que Deus  te abençoe",50,0.1580739202842797,greeting
Obrigada,Obrigada,45,0.18555861051506795,greeting
Estou com idosos correndo risco de se contaminar,Estou com idosos correndo risco de se contaminar,65,0.28962540006384685,others
"Boa tarde! Tenho uma idosa de 84 anos e vivi na rua ,na mesma casa tem mais 2 idosos e o restante são idosos que vão passear lá  Idosos que moram na casa são 3  Uma de 89,outra de 84 e a mais nova de 74. O marido da idosa de 89 tem 80 e está vindo de quixeramobim pra vela não usa máscara , a outra que vem passear também tem 75 também não segue os cuidados. Já falei, levei máscara , a idosa que sai direto de casa tem o hábito de abraçar , beijar e dá a mão pra todo mundo! Ela é lúcida mas às vezes tem algum momento de demência , rir de tudo e acha que o que tá acontecendo é besteira  Elas vivem só , não querem","Boa tarde! Tenho uma idosa de 84 anos e vivi na rua ,na mesma casa tem mais 2 idosos e o restante são idosos que vão passear lá  Idosos que moram na casa são 3  Uma de 89,outra de 84 e a mais nova de 74. O marido da idosa de 89 tem 80 e está vindo de quixeramobim pra vela não usa máscara , a outra que vem passear também tem 75 também não segue os cuidados. Já falei, levei máscara , a idosa que sai direto de casa tem o hábito de abraçar , beijar e dá a mão pra todo mundo! Ela é lúcida mas às vezes tem algum momento de [demência](SINTOMA) , rir de tudo e acha que o que tá acontecendo é besteira  Elas vivem só , não querem",73,0.39187898374475205,others
Acabei de enviar,Acabei de enviar,61,0.327149845704114,others
"Mãe , tia que me criou, tio,","Mãe , tia que me criou, tio,",78,0.48578144161888137,others
Estamos abalados emocionalmente,Estamos abalados emocionalmente,48,0.2985633174302764,inform_symptoms
"Sim, meus dois irmão","Sim, meus dois irmão",19,0.24587117048030083,others
