txt,label,distance,intent
Há dois tias estou com dor na garganta,45,0.13292152095864407,inform_symptoms
Só ontem,27,0.21399997264376613,inform
Sim,58,0.161684065036529,inform
Chenil e aerodin spray,42,0.17289468269245878,inform_medicine
Estou um pouco ofegante,19,0.1413804189625758,inform_symptoms
Não,74,0.13726317163547586,inform
Não tenho transporte,33,0.14709124710095578,inform
Minha filha está comigo mais está no quarto separado pois ela tem asma também,32,0.12645275507065235,inform_symptoms
Ok,12,0.1965904350782829,greeting
Tá certo,50,0.1210823768271061,greeting
Posso toma um maracugina  pra mi acalmar?,25,0.11762757526849543,request_inform
To respirando melhor  Só a garganta continua doendo,6,0.14132264554213148,inform_symptoms
Sandra Moreira e Flávio Marcílio,29,0.2567187531729914,inform
Lã é onde está funcionando o Odorico  de Morais,77,0.20302754419077862,inform
Obrigada  Que Jesus nos abençoe e nos proteja,20,0.11295787593923334,greeting
"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",52,0.0924464827074819,inform_symptoms
Assim como se tivesse com um bolo na garganta,84,0.12680901200551653,inform_symptoms
Não tenho falta de ar,37,0.10768342267494457,inform_symptoms
sim,58,0.14928988191413672,inform
Mais tomo paracetamol e passa,43,0.18539883542250202,inform
Tenho termômetro,8,0.11850838653489537,inform_symptoms
Mais não consigo escarrar,4,0.15985387327273348,inform
"Hoje fiz vinagre, com limão e água morna",15,0.16094388953296068,inform_medicine
obg.,12,0.14083069033338635,greeting
Tá certo obg.,50,0.12076577583420567,greeting
Pra mim fazer uma avaliação assim para minha mãe e meu pai só com os dados deles,49,0.1366313981272631,inform_symptoms
Estão os dois com febre a mais de cinco dias,31,0.1389806747816692,inform_symptoms
Meu pai,30,0.15197915043672594,inform
Boa noite é porque  meu pai está com,30,0.1804188427428981,inform
Tenho que pedir outra pessoa pra fazer isso?,25,0.11534306921334891,request_inform
"Só que não sinto melhora, perdi o olfato e o paladar",68,0.11239516267183947,inform_symptoms
então?,44,0.14709864037814668,request_inform
posso procurar fazer o teste particular? se der positivo?,25,0.0862395728031371,request_inform
"dor de cabeça, dor no corpo, ausência de paladar e olfato, febre tenho mas poucas vezes",52,0.10589849018750008,inform_symptoms
"dipirona, sim",58,0.18771018330440303,inform
não tem como ficar em repouso por conta do trabalho,55,0.1630428064571614,inform_symptoms
obrigada pelas dicas,63,0.1615975511765364,greeting
Estou com meu pai adoentado,30,0.17132930334472263,inform
Todo dia tem febre,70,0.2116155515677718,inform_symptoms
E depois que passa a febre fica normal... porem ele fica deitado em repouso,24,0.1134329862024055,inform_symptoms
E n aconteceu mais,43,0.2004534455319984,inform
Ele reclamava de um mal estar no estomago e na cabeça,64,0.10943303423922057,inform_symptoms
Ele sempre foi doente da barriga,82,0.17527560924609298,inform_symptoms
Dor de cabeça nao,59,0.11658263524435108,inform_symptoms
Na barriga se apertar e um pouco dolorido,64,0.147594349757195,inform_symptoms
2 dias atras,16,0.20619356560829372,inform
Ele tem sonolencia,8,0.18879823824346686,inform_symptoms
Ele nao tem falta de ar,37,0.12378210687863378,inform_symptoms
Ele tem 4 dias de febre,31,0.15503110311248003,inform_symptoms
E disseram que estava normal,43,0.17667623777590669,inform
Vc acha que tem fortes indicios de covid?,76,0.15075896190866467,request_inform
Com oque lhe falei esta grave?,76,0.15158415752831655,request_inform
Resumindo... so procuro um hospital se estiver com falta de ar correto?,23,0.08943745917472445,request_inform
E em caso se ele faltar o ar... para que nao ocorra o pior tem algum procedimento que eu possa fazer para amenizar?,23,0.08874665975778595,request_inform
Gostaria de saber para eu ficar precavido,61,0.09400639118675824,request_inform
Tem algum remedio para reforçar a fraqueza dele?,79,0.10200575225627406,request_inform
Muito obrigado,62,0.13202674733103426,greeting
Era so isso mesmo,18,0.13818771924039996,greeting
Tem outra coisa,81,0.21027949648161426,request_inform
Ele esta sem sentir cheiro e sabor de comida,64,0.13604013291945316,inform_symptoms
Obg,12,0.18280934244961888,greeting
"19 dias atrás comecei a sentir uma quentura na cabeça, nariz escorrendo, dores de cabeça, sentia uma ardência horrível ao respirar, congestão nasal, e garanta inflamada, tomei alguns comprimidos anti gripais, mais nada resolvia, fiz o uso de nimesulida pra garganta não adiantava, comecei a fazer gargarejo de água morna com sal tive uma melhora. Agora atualmente estou com a quentura horrível por dentro, principalmente nas costas, tosse e dores nos braços. Medi minha saturação deu 90",60,0.07324677388245082,inform_symptoms
Dias são 18 não 19,0,0.1952218423992107,inform_symptoms
Me sino cansada se falo muito,7,0.18971855739085597,inform_symptoms
Tipo Tampa,57,0.2585170441696003,inform
Só uma quentura por dentro,81,0.18866253595546123,request_inform
Tive melhoras,8,0.19524866576617805,inform_symptoms
"Só essa tosse que persiste a noite, dores nos braços, e essa quentura no corpo",52,0.10425819531210223,inform_symptoms
Deu 90 sim,0,0.23603298731339084,inform_symptoms
Cansaço sim,58,0.15901110317564793,inform
Atualmente nas costas,69,0.24154724286718832,inform_symptoms
Só de um lado,2,0.2548370055224851,inform
Incômoda um pouco,3,0.07326574962929089,inform_symptoms
E a tosse,13,0.2058657157831706,inform_symptoms
Em devo ir ao posto de saúde,87,0.1213048837004993,request_inform
O pai da minha filha estava com sintomas parecidos aos meus porém mais leves e um companheiro de trabalho dele esta com covid,32,0.11633207802559586,inform_symptoms
"Assim. A uns dias estou com uma quebradeira no corpo, desde segunda.",56,0.09225711335463171,inform_symptoms
E agora estou com um pouco de falta de ar,37,0.09649011558656706,inform_symptoms
Não.,74,0.15133804716192045,inform
Dorona e paracetamol gotas.,42,0.16656395522323963,inform_medicine
Inicialmente sim,58,0.15066936689193977,inform
Me diga uma coisa. Ter um pouco de tontura pode ser sintoma também?,23,0.09937404010412987,request_inform
Uma leve tontura quase levanto a cabeça rápido.,64,0.14081356893467012,inform_symptoms
Meus olhos estão quentes,69,0.22039160142776182,inform_symptoms
Foi pontual. Senti agora a noite. Eu estava normal dentro de casa,56,0.120746975304594,inform_symptoms
Tanto que eu não queria informar. Pois pensei ter sido uma gripe,46,0.11200062835260516,inform
Não melhorei. Apenas diminui,4,0.18932048418172465,inform
Está bem fraca,40,0.1725049425079519,inform_symptoms
Ok. Muito obrigado pela atenção.,63,0.08343773370008556,greeting
Está tudo claro pra mim. Muito obrigado e bom trabalho.,63,0.14356582778332205,greeting
A minha mulher que ainda ta com alguns sintomas,32,0.15081197908844046,inform_symptoms
Só farmácia,13,0.2268683671307209,inform_symptoms
Tô isolada com minha mulher e minha filha de 3anos,5,0.08976192116943638,inform
Dipirona 1miligrama,42,0.13627497970379066,inform_medicine
Quando tomar mais depois de umas 3 4 horas volta a febre,56,0.15563595068330782,inform_symptoms
Muito obrigada,62,0.12675509882337332,greeting
Que deus abençoe vc e sua família,20,0.11141718636449138,greeting
"Olá!  Me chamo Maria Bianca, moro com esposo e um filho de um ano e meio. Há uma semana meu esposo e eu começamos a sentir febre (que vai e volta), dor de garganta e de cabeça. Há 2 dias começamos a sentir um mau estar no peito! Nosso bebê tbm sentiu febre, mas passou. O que devemos fazer?",60,0.08760490301459889,inform_symptoms
"Não, não",74,0.07926621607029205,inform
Febre que vai e volta Dor de cabeça intensa Dor de garganta Incômodo no peito aumentando aos poucos,59,0.11659174425045649,inform_symptoms
"Travessa Grande Otelo, 34, Vila-velha 2",34,0.11852521306599217,inform
O bebê,2,0.23473490851472423,inform
1 ano e 6 meses,16,0.21568589140386396,inform
Gemido expiratório somente ontem,35,0.21836369223288254,inform_symptoms
