txt,label,distance,intent,annotated_txt
Só ontem,63,0.0436833177191386,inform,Só ontem
Sim,22,0.0350468025822792,inform,Sim
As duas da tarde,38,0.282976834102999,inform,As duas da tarde
Estou um pouco ofegante,11,0.040175017788776,inform_symptoms,Estou um pouco ofegante
Não,30,0.0297429515727141,inform_symptoms,Não
Minha filha está comigo mais está no quarto separado pois ela tem asma também,68,0.1384652903710415,inform_symptoms,Minha filha está comigo mais está no quarto separado pois ela tem [asma](SINTOMA) também
Não temos carro,30,0.138307733710951,inform_symptoms,Não temos carro
Ok,88,0.0671084134238165,greeting,Ok
Tá certo,51,0.039435294467111,greeting,Tá certo
Vou deita um pouco,11,0.1842882181541268,inform_symptoms,Vou deita um pouco
Bem,18,0.0662580191039835,inform,Bem
"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",86,0.1327672640440551,inform_symptoms,"Sinto um pouco de [dor de cabeça](SINTOMA),um desconforto na [garganta](SINTOMA) e assim um calafrios"
Não tenho falta de ar,41,0.0530615947038168,inform_symptoms,Não tenho [falta de ar](SINTOMA)
sim,22,0.0350468025822792,inform,sim
Todos os dias a tarde,7,0.180105729446284,inform,Todos os dias a tarde
Mais não consigo escarrar,30,0.0874079427024904,inform_symptoms,Mais não consigo escarrar
aliviou um pouco,11,0.0401750174938571,inform_symptoms,aliviou um pouco
e loratadina,4,0.0177138236731921,inform_medicine,e loratadina
Tá certo obg.,51,0.1258406157917647,greeting,Tá certo obg.
Pra mim fazer uma avaliação assim para minha mãe e meu pai só com os dados deles,62,0.1841753039702831,inform_symptoms,Pra mim fazer uma avaliação assim para minha mãe e meu pai só com os dados deles
Estão os dois com febre a mais de cinco dias,7,0.1970128540357403,inform,Estão os dois com [febre](SINTOMA) a mais de cinco dias
Vou abrir o da minha mãe,62,0.1292526513825964,inform_symptoms,Vou abrir o da minha mãe
Tá,51,0.1412853278265223,greeting,Tá
Boa noite como faço pra abrir pra minha mãe?,62,0.1818267898868633,inform_symptoms,Boa noite como faço pra abrir pra minha mãe?
Boa noite é porque  meu pai está com,82,0.1547605240552069,inform_symptoms,Boa noite é porque  meu pai está com
"Ele tem 84 anos ,é hipertenso e tem cálculo renal",25,0.1172161345611261,inform,"Ele tem 84 anos ,é [hipertenso](SINTOMA) e tem cálculo renal"
"Tenho que usar outro celular, como faço?",81,0.1668983579837546,inform_symptoms,"Tenho que usar outro celular, como faço?"
Me ajude por favor,31,0.2438214248469923,request_inform,Me ajude por favor
Tenho que pedir outra pessoa pra fazer isso?,75,0.1688688938257411,inform,Tenho que pedir outra pessoa pra fazer isso?
"Desde o dia 25/04 que comecei a sentir moleza no corpo, febre e a garganta doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou rinossinusite. Passou 10 dias de amoxicilina + clavulanato e antialérgico.",59,0.0916040088454954,inform_symptoms,"Desde o dia 25/04 que comecei a sentir moleza no corpo, [febre](SINTOMA) e a [garganta](SINTOMA) doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou [rinossinusite](SINTOMA). Passou 10 dias de amoxicilina + clavulanato e antialérgico."
"Só que não sinto melhora, perdi o olfato e o paladar",60,0.0863822534151251,request_inform,"Só que não sinto melhora, perdi o olfato e o paladar"
então?,47,0.0988675925025678,request_inform,então?
"dor de cabeça, dor no corpo, ausência de paladar e olfato, febre tenho mas poucas vezes",86,0.0997201815976639,inform_symptoms,"[dor de cabeça](SINTOMA), dor no corpo, ausência de paladar e olfato, [febre](SINTOMA) tenho mas poucas vezes"
"dipirona, sim",61,0.0345924930183599,inform,"dipirona, sim"
a médica prescreveu,84,0.1192181390547468,inform_symptoms,a médica prescreveu
não tem como ficar em repouso por conta do trabalho,75,0.1565853993706171,inform,não tem como ficar em repouso por conta do trabalho
boa noite!,80,0.1246442562717122,greeting,boa noite!
Boa noite,80,0.0896391738710161,greeting,Boa noite
Talvez 4,39,0.2027305342481329,inform_medicine,Talvez 4
Todo dia tem febre,35,0.2152577059881776,inform_symptoms,Todo dia tem [febre](SINTOMA)
So que ele nao apresenta falta de ar,41,0.1013842533473911,inform_symptoms,So que ele nao apresenta [falta de ar](SINTOMA)
E n aconteceu mais,72,0.1782617495237883,inform_symptoms,E n aconteceu mais
E achava o corpo meio quebrado,15,0.2065428652229111,inform_symptoms,E achava o corpo meio quebrado
Dor de cabeça nao,86,0.1238023018191967,inform_symptoms,[Dor de cabeça](SINTOMA) nao
Na barriga se apertar e um pouco dolorido,37,0.1813761522203409,inform_symptoms,Na barriga se apertar e um pouco [dolorido](SINTOMA)
2 dias atras,55,0.1990855601715783,inform_medicine,2 dias atras
Ele tem sonolencia,35,0.1811779890237544,inform_symptoms,Ele tem sonolencia
Fica em casa ainda?,46,0.2164603687498524,request_inform,Fica em casa ainda?
Ele tem 4 dias de febre,25,0.2299476663831071,inform,Ele tem 4 dias de [febre](SINTOMA)
Nao tem como algum medico fazer uma visita e fazer o teste?,60,0.1644829043315606,request_inform,Nao tem como algum medico fazer uma visita e fazer o teste?
Ele foi ao posto de saude... e mediram a oxigenaçao no sangue e informaram que estava em 96,5,0.0910101485065268,inform_symptoms,Ele foi ao posto de saude... e mediram a oxigenaçao no sangue e informaram que estava em 96
E disseram que estava normal,5,0.1504988260701921,inform_symptoms,E disseram que estava normal
Vc acha que tem fortes indicios de covid?,25,0.2194223506827808,inform,Vc acha que tem fortes indicios de covid?
Ou da pra ir se recuperando em casa?,46,0.1609459444611071,request_inform,Ou da pra ir se recuperando em casa?
Resumindo... so procuro um hospital se estiver com falta de ar correto?,59,0.0966039067388766,inform_symptoms,Resumindo... so procuro um hospital se estiver com [falta de ar](SINTOMA) correto?
E em caso se ele faltar o ar... para que nao ocorra o pior tem algum procedimento que eu possa fazer para amenizar?,89,0.0758019720343095,inform_symptoms,E em caso se ele faltar o ar... para que nao ocorra o pior tem algum procedimento que eu possa fazer para amenizar?
Muito obrigado,69,0.0813349602911203,greeting,Muito obrigado
Tem outra coisa,35,0.1575625997398841,inform_symptoms,Tem outra coisa
Obrigado,69,0.1190748691570308,greeting,Obrigado
"19 dias atrás comecei a sentir uma quentura na cabeça, nariz escorrendo, dores de cabeça, sentia uma ardência horrível ao respirar, congestão nasal, e garanta inflamada, tomei alguns comprimidos anti gripais, mais nada resolvia, fiz o uso de nimesulida pra garganta não adiantava, comecei a fazer gargarejo de água morna com sal tive uma melhora. Agora atualmente estou com a quentura horrível por dentro, principalmente nas costas, tosse e dores nos braços. Medi minha saturação deu 90",77,0.0770483739760503,inform_symptoms,"19 dias atrás comecei a sentir uma quentura na cabeça, [nariz escorrendo](SINTOMA), [dores de cabeça](SINTOMA), sentia uma ardência horrível ao respirar, [congestão nasal](SINTOMA), e garanta inflamada, tomei alguns comprimidos anti gripais, mais nada resolvia, fiz o uso de nimesulida pra garganta não adiantava, comecei a fazer gargarejo de água morna com sal tive uma melhora. Agora atualmente estou com a quentura horrível por dentro, principalmente nas costas, [tosse](SINTOMA) e dores nos braços. Medi minha saturação deu 90"
Tenho calafrios ao anoitecer,2,0.2428549615657858,inform,Tenho calafrios ao anoitecer
*sinto,21,0.0169930722435861,inform,*sinto
Sem febre,13,0.1693714817044088,inform_symptoms,Sem [febre](SINTOMA)
Só uma quentura por dentro,75,0.1679956384987423,inform,Só uma quentura por dentro
Tive melhoras,33,0.2173586818827143,inform_symptoms,Tive melhoras
Como se minha respiração tivesse quente,81,0.1508269322441843,inform_symptoms,Como se minha respiração tivesse quente
Cansaço sim,22,0.0350468025822792,inform,[Cansaço](SINTOMA) sim
Saturação 90 isso é bom?,48,0.2212689749929469,request_inform,Saturação 90 isso é bom?
Atualmente nas costas,83,0.1885671002175799,inform_symptoms,Atualmente nas costas
Incômoda um pouco,11,0.0401750174938571,inform_symptoms,Incômoda um pouco
E a tosse,4,0.195071015383588,inform_medicine,E a [tosse](SINTOMA)
O pai da minha filha estava com sintomas parecidos aos meus porém mais leves e um companheiro de trabalho dele esta com covid,9,0.1127154139415008,inform_symptoms,O pai da minha filha estava com sintomas parecidos aos meus porém mais leves e um companheiro de trabalho dele esta com covid
OK,88,0.0671084134238165,greeting,OK
"Assim. A uns dias estou com uma quebradeira no corpo, desde segunda.",59,0.1798145659481141,inform_symptoms,"Assim. A uns dias estou com uma quebradeira no corpo, desde segunda."
De ontem para hoje me deu febre,43,0.1785449968862108,inform_symptoms,De ontem para hoje me deu [febre](SINTOMA)
E agora estou com um pouco de falta de ar,50,0.0761118802228751,inform_symptoms,E agora estou com um pouco de [falta de ar](SINTOMA)
Usei 3,39,0.2149683058160034,inform_medicine,Usei 3
Dorona e paracetamol gotas.,20,0.1125037301551931,inform_medicine,Dorona e paracetamol gotas.
Inicialmente sim,22,0.0350468025822792,inform,Inicialmente sim
Pois tive,33,0.2416709274954768,inform_symptoms,Pois tive
Meus olhos estão quentes,28,0.3699908623647805,inform_symptoms,Meus olhos estão quentes
Uma aticoade leve.,54,0.3267237649778851,inform_medicine,Uma aticoade leve.
Tanto que eu não queria informar. Pois pensei ter sido uma gripe,75,0.1547876607647462,inform,Tanto que eu não queria informar. Pois pensei ter sido uma gripe
Está bem fraca,18,0.182732429175019,inform,Está bem fraca
Agora está pouco,36,0.1829649786558759,inform,Agora está pouco
Está tudo claro pra mim. Muito obrigado e bom trabalho.,15,0.2102406385760807,inform_symptoms,Está tudo claro pra mim. Muito obrigado e bom trabalho.
"Boa noite, estou bem melhor",80,0.1591891799705921,greeting,"Boa noite, estou bem melhor"
A minha mulher que ainda ta com alguns sintomas,62,0.1993808348699539,inform_symptoms,A minha mulher que ainda ta com alguns sintomas
Só farmácia,63,0.0436833177191386,inform,Só farmácia
Pedi pelo celular,28,0.4120064332938494,inform_symptoms,Pedi pelo celular
Tô isolada com minha mulher e minha filha de 3anos,62,0.1554378878936995,inform_symptoms,Tô isolada com minha mulher e minha filha de 3anos
Febre diarreia sentindo cansada e como se tivesse inchada,81,0.1150401083860407,inform_symptoms,Febre diarreia sentindo cansada e como se tivesse inchada
Muito obrigada,40,0.0352694455151978,greeting,Muito obrigada
"Olá!  Me chamo Maria Bianca, moro com esposo e um filho de um ano e meio. Há uma semana meu esposo e eu começamos a sentir febre (que vai e volta), dor de garganta e de cabeça. Há 2 dias começamos a sentir um mau estar no peito! Nosso bebê tbm sentiu febre, mas passou. O que devemos fazer?",77,0.0597925582159265,inform_symptoms,"Olá!  Me chamo Maria Bianca, moro com esposo e um filho de um ano e meio. Há uma semana meu esposo e eu começamos a sentir [febre](SINTOMA) (que vai e volta), [dor de garganta](SINTOMA) e de cabeça. Há 2 dias começamos a sentir um mau estar no peito! Nosso bebê tbm sentiu [febre](SINTOMA), mas passou. O que devemos fazer?"
"Não, não",30,0.0871052579281144,inform_symptoms,"Não, não"
Febre que vai e volta Dor de cabeça intensa Dor de garganta Incômodo no peito aumentando aos poucos,86,0.0654086186935871,inform_symptoms,[Febre](SINTOMA) que vai e volta [Dor de cabeça](SINTOMA) intensa [Dor de garganta](SINTOMA) Incômodo no peito aumentando aos poucos
Desde sexta passada e há dois dias os incômodos no peito,7,0.171940255872273,inform,Desde sexta passada e há dois dias os incômodos no peito
"Travessa Grande Otelo, 34, Vila-velha 2",39,0.2553087587180742,inform_medicine,"Travessa Grande Otelo, 34, Vila-velha 2"
O bebê,60,0.1358521867789601,request_inform,O bebê
1 ano e 6 meses,39,0.1791101278757702,inform_medicine,1 ano e 6 meses
"Ontem sentiu febre e estava com a respiração mais profunda, mas hoje não apresentou nenhum sintoma",49,0.1177382305070242,inform_symptoms,"Ontem sentiu [febre](SINTOMA) e estava com a respiração mais profunda, mas hoje não apresentou nenhum sintoma"
Febre ontem,28,0.389626512073005,inform_symptoms,[Febre](SINTOMA) ontem
Eu,32,0.0552220876230593,inform_symptoms,Eu
