txt,label,distance,intent,annotated_txt
Estou preocupado pois tenho asma,55,0.1801228919742289,inform_symptoms,Estou preocupado pois tenho [asma](SINTOMA)
Só ontem,10,0.1380919922997737,inform,Só ontem
Sim,58,0.2285588211659258,inform,Sim
As duas da tarde,16,0.3149660463514067,inform,As duas da tarde
Estou um pouco ofegante,3,0.1613142336658255,inform_symptoms,Estou um pouco ofegante
Não,18,0.2190729476252484,inform,Não
Não tenho transporte,78,0.1980735438947733,inform,Não tenho transporte
Não temos carro,78,0.2307948501080167,inform,Não temos carro
Ok,67,0.1499086241738816,inform,Ok
Tá certo,58,0.1845382714904559,inform,Tá certo
Vou deita um pouco,75,0.2552201981257854,inform,Vou deita um pouco
Posso toma um maracugina  pra mi acalmar?,72,0.2550248062098312,request_inform,Posso toma um maracugina  pra mi acalmar?
Bem,67,0.2021013677104667,inform,Bem
To respirando melhor  Só a garganta continua doendo,60,0.2530545559217777,inform_symptoms,To respirando melhor  Só a [garganta](SINTOMA) continua doendo
Tem posto de saúde aberto amanhã?,41,0.3265178628765011,request_inform,Tem posto de saúde aberto amanhã?
Sandra Moreira e Flávio Marcílio,34,0.4735657344907957,inform,Sandra Moreira e Flávio Marcílio
"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",52,0.1555509361582376,inform_symptoms,"Sinto um pouco de [dor de cabeça](SINTOMA),um desconforto na [garganta](SINTOMA) e assim um calafrios"
Não tenho falta de ar,37,0.149821691140137,inform_symptoms,Não tenho [falta de ar](SINTOMA)
senti dor no corpo mais passou,59,0.2130248255577355,inform_symptoms,senti [dor](SINTOMA) no corpo mais passou
sim,58,0.2285588211659258,inform,sim
Mais tomo paracetamol e passa,44,0.1548617117599804,inform_medicine,Mais tomo paracetamol e passa
Todos os dias a tarde,10,0.22035196289023,inform,Todos os dias a tarde
fico quente e com calafrios,8,0.2379959373548373,inform_symptoms,fico quente e com calafrios
passou a dor no corpo,65,0.1988929296621998,inform_symptoms,passou a [dor](SINTOMA) no corpo
as vezes acho que pode até ser (desculpe )catarro,24,0.2761894878212683,inform,as vezes acho que pode até ser (desculpe )[catarro](SINTOMA)
Mais não consigo escarrar,40,0.1923719731540777,inform_symptoms,Mais não consigo escarrar
aliviou um pouco,3,0.1745324570894502,inform_symptoms,aliviou um pouco
uso paracetamol e chá,44,0.1641777269672654,inform_medicine,uso paracetamol e chá
Estão os dois com febre a mais de cinco dias,56,0.2295029420544794,inform_symptoms,Estão os dois com [febre](SINTOMA) a mais de cinco dias
são hipertensos e tem cálculos renais,73,0.240010724472823,inform_symptoms,são hipertensos e tem cálculos renais
Tem q ter o CPF?,61,0.276937913221939,request_inform,Tem q ter o CPF?
Vou abrir o da minha mãe,26,0.2871597722189878,inform,Vou abrir o da minha mãe
Tá,12,0.2456458409348151,inform,Tá
"muita febre ,toma paracetamol passa e volta",44,0.2423996195618403,inform_medicine,"muita [febre](SINTOMA) ,toma paracetamol passa e volta"
"Ele tem 84 anos ,é hipertenso e tem cálculo renal",73,0.2374463350626072,inform_symptoms,"Ele tem 84 anos ,é [hipertenso](SINTOMA) e tem cálculo renal"
"Tenho que usar outro celular, como faço?",61,0.3061450214863511,request_inform,"Tenho que usar outro celular, como faço?"
Tenho que pedir outra pessoa pra fazer isso?,61,0.2549682950722266,request_inform,Tenho que pedir outra pessoa pra fazer isso?
"Só que não sinto melhora, perdi o olfato e o paladar",70,0.1627721340101272,inform_symptoms,"Só que não sinto melhora, perdi o olfato e o paladar"
então?,76,0.1651900271984506,request_inform,então?
posso procurar fazer o teste particular? se der positivo?,25,0.2237159628942224,request_inform,posso procurar fazer o teste particular? se der positivo?
"dor de cabeça, dor no corpo, ausência de paladar e olfato, febre tenho mas poucas vezes",52,0.1106119122045851,inform_symptoms,"[dor de cabeça](SINTOMA), dor no corpo, ausência de paladar e olfato, [febre](SINTOMA) tenho mas poucas vezes"
não tem como ficar em repouso por conta do trabalho,49,0.3378295275381303,inform,não tem como ficar em repouso por conta do trabalho
obrigada pelas dicas,20,0.1715209082174035,greeting,obrigada pelas dicas
boa noite!,14,0.1500880873759288,greeting,boa noite!
Boa noite,14,0.1232124327835308,greeting,Boa noite
Estou com meu pai adoentado,7,0.2524063291648452,inform_symptoms,Estou com meu pai adoentado
Uns 3 dias de febre ou mais,56,0.2176951528668973,inform_symptoms,Uns 3 dias de [febre](SINTOMA) ou mais
Talvez 4,16,0.2948903654482487,inform,Talvez 4
Todo dia tem febre,8,0.1945900991549338,inform_symptoms,Todo dia tem [febre](SINTOMA)
So que ele nao apresenta falta de ar,37,0.2147320407874204,inform_symptoms,So que ele nao apresenta [falta de ar](SINTOMA)
Ele chegou a passar mal,50,0.3108024304052325,inform_symptoms,Ele chegou a passar mal
Mais foi 1 vez,5,0.2775602424600608,inform,Mais foi 1 vez
E n aconteceu mais,30,0.253905575258875,inform,E n aconteceu mais
Dor de cabeça nao,65,0.1926479950553123,inform_symptoms,[Dor de cabeça](SINTOMA) nao
Na barriga se apertar e um pouco dolorido,59,0.1955866471904878,inform_symptoms,Na barriga se apertar e um pouco [dolorido](SINTOMA)
Sente dor nas pernas,65,0.1739293536271218,inform_symptoms,Sente [dor](SINTOMA) nas pernas
2 dias atras,31,0.19559051800254,inform,2 dias atras
Ele tem sonolencia,69,0.3442481757562806,inform,Ele tem sonolencia
Ele nao tem falta de ar,37,0.1541838828305602,inform_symptoms,Ele nao tem [falta de ar](SINTOMA)
Entao como devo proceder?,11,0.1418592355804433,request_inform,Entao como devo proceder?
Fica em casa ainda?,1,0.2039205732843461,inform,Fica em casa ainda?
Ele tem 4 dias de febre,56,0.177913544626783,inform_symptoms,Ele tem 4 dias de [febre](SINTOMA)
