txt,annotated_txt,label,distance,intent
Tô  muito nervosa Marcela com tudo isso,Tô  muito nervosa Marcela com tudo isso,11,0.14594415270795214,inform_symptoms
O meu problema  é  psicológico    nem dormi estou  conseguindo,O meu problema  é  psicológico    nem dormi estou  conseguindo,34,0.20402359704799566,inform_symptoms
Com muito medo,Com muito medo,64,0.2717748190597048,inform_symptoms
Sim,Sim,19,0.18255861684649066,others
A 3 meses atrás  quando o meu esposo faleceu,A 3 meses atrás  quando o meu esposo faleceu,73,0.17834567552443725,others
Não,Não,7,0.12957679191826788,greeting
Tem algum remédio  que a pessoa tome para se acalmar,Tem algum remédio  que a pessoa tome para se acalmar,6,0.1763216910458404,request_inform
Pra  ficar tranquila,Pra  ficar tranquila,26,0.33024832913777924,others
Tá  certo,Tá  certo,84,0.11324969123202377,greeting
Tá  bom,Tá  bom,84,0.16863035110207214,greeting
"Obrigada , que Deus  te abençoe","Obrigada , que Deus  te abençoe",50,0.05832178981926428,greeting
Obrigada,Obrigada,32,0.09814897661231525,greeting
Estou com idosos correndo risco de se contaminar,Estou com idosos correndo risco de se contaminar,37,0.2922601402922863,inform_symptoms
"Boa tarde! Tenho uma idosa de 84 anos e vivi na rua ,na mesma casa tem mais 2 idosos e o restante são idosos que vão passear lá  Idosos que moram na casa são 3  Uma de 89,outra de 84 e a mais nova de 74. O marido da idosa de 89 tem 80 e está vindo de quixeramobim pra vela não usa máscara , a outra que vem passear também tem 75 também não segue os cuidados. Já falei, levei máscara , a idosa que sai direto de casa tem o hábito de abraçar , beijar e dá a mão pra todo mundo! Ela é lúcida mas às vezes tem algum momento de demência , rir de tudo e acha que o que tá acontecendo é besteira  Elas vivem só , não querem","Boa tarde! Tenho uma idosa de 84 anos e vivi na rua ,na mesma casa tem mais 2 idosos e o restante são idosos que vão passear lá  Idosos que moram na casa são 3  Uma de 89,outra de 84 e a mais nova de 74. O marido da idosa de 89 tem 80 e está vindo de quixeramobim pra vela não usa máscara , a outra que vem passear também tem 75 também não segue os cuidados. Já falei, levei máscara , a idosa que sai direto de casa tem o hábito de abraçar , beijar e dá a mão pra todo mundo! Ela é lúcida mas às vezes tem algum momento de [demência](SINTOMA) , rir de tudo e acha que o que tá acontecendo é besteira  Elas vivem só , não querem",21,0.1533494566654302,inform_symptoms
Acabei de enviar,Acabei de enviar,57,0.2978366055760814,others
"Mãe , tia que me criou, tio,","Mãe , tia que me criou, tio,",2,0.29022631113181885,others
Estamos abalados emocionalmente,Estamos abalados emocionalmente,29,0.341866193863983,others
"Sim, meus dois irmão","Sim, meus dois irmão",2,0.2329928775725203,others
Não pelo contrário estão ajudando,Não pelo contrário estão ajudando,25,0.27173216156499735,inform_symptoms
"Não posso tá lá , meu genrro é. Médico e vem aqui em casa, por isso não posso ir","Não posso tá lá , meu genrro é. Médico e vem aqui em casa, por isso não posso ir",1,0.1326707367177049,others
"Já , elas ver os jornais, são orientadas","Já , elas ver os jornais, são orientadas",25,0.2791372160693042,inform_symptoms
Não sabemos mais o que fazer,Não sabemos mais o que fazer,24,0.2300761362850937,request_inform
Choro todos os dias!,Choro todos os dias!,78,0.3406115895619586,others
"Elas têm máscaras , falamos, mas aqui não tem os cuidados das autoridades de está colocando eles pra casa","Elas têm máscaras , falamos, mas aqui não tem os cuidados das autoridades de está colocando eles pra casa",1,0.16211986893914554,others
"Como assim doutora, cuidar de sí ?","Como assim doutora, cuidar de sí ?",12,0.29644193277064934,request_inform
"Triste, tenho medo de perder todos eles!","Triste, tenho medo de perder todos eles!",37,0.19127837603776787,inform_symptoms
"Essa semana vou passar 15 dias sem ver minha filha, mandei ela é meu genrro ficarem em casa porque o cunhado dela está com todos sintomas de covid","Essa semana vou passar 15 dias sem ver minha filha, mandei ela é meu genrro ficarem em casa porque o cunhado dela está com todos sintomas de covid",73,0.09734763164613225,others
Meu esposo já tem quase 60,Meu esposo já tem quase 60,77,0.22933974042771121,others
"Via, 2x por semana","Via, 2x por semana",75,0.28296789968472613,others
"Perdi um primo 46 anos Rompimento da aorta coronária , tento ser forte pois a esposa e o menino estão precisando de ajuda psicológica","Perdi um primo 46 anos Rompimento da aorta coronária , tento ser forte pois a esposa e o menino estão precisando de ajuda psicológica",73,0.13674463603753906,others
Eu preciso de um psicólogo pra eles O luto é patológico e o temor do Corona está acabando com eles,Eu preciso de um psicólogo pra eles O luto é patológico e o temor do Corona está acabando com eles,21,0.12315188407006783,inform_symptoms
Estou orientando quanto o vírus por que a viúva é diabética,Estou orientando quanto o vírus por que a viúva é diabética,14,0.19545366319152768,others
Estou aguardando vaga virtual com uma psicóloga pra eles,Estou aguardando vaga virtual com uma psicóloga pra eles,66,0.30237816423291675,others
Preciso de alguém pra ir na casa das minhas bichinhas,Preciso de alguém pra ir na casa das minhas bichinhas,78,0.19230752598589196,others
Sou técnica de enfermagem  Aguardando a um ano aposentadoria,Sou técnica de enfermagem  Aguardando a um ano aposentadoria,76,0.2490056870480749,others
