txt,annotated_txt,label,distance,intent
Tô  muito nervosa Marcela com tudo isso,Tô  muito nervosa Marcela com tudo isso,46,0.24645131562701073,inform_symptoms
O meu problema  é  psicológico    nem dormi estou  conseguindo,O meu problema  é  psicológico    nem dormi estou  conseguindo,78,0.14034825530795192,others
Com muito medo,Com muito medo,88,0.18985852809079828,inform_symptoms
Sim,Sim,28,0.028384506194840564,others
A 3 meses atrás  quando o meu esposo faleceu,A 3 meses atrás  quando o meu esposo faleceu,78,0.25309348369661155,others
Não,Não,7,0.02492771317217124,others
Tem algum remédio  que a pessoa tome para se acalmar,Tem algum remédio  que a pessoa tome para se acalmar,3,0.1958017808035104,others
Pra  ficar tranquila,Pra  ficar tranquila,65,0.11836414015522057,others
Tá  certo,Tá  certo,45,0.10337371098167336,greeting
Tá  bom,Tá  bom,62,0.10417116700182005,greeting
"Obrigada , que Deus  te abençoe","Obrigada , que Deus  te abençoe",49,0.1947044905587889,inform_symptoms
Estou com idosos correndo risco de se contaminar,Estou com idosos correndo risco de se contaminar,97,0.16566002233323884,inform_symptoms
