txt,annotated_txt,label,distance,intent
Tô  muito nervosa Marcela com tudo isso,Tô  muito nervosa Marcela com tudo isso,14,0.5378763165616702,inform_symptoms
O meu problema  é  psicológico    nem dormi estou  conseguindo,O meu problema  é  psicológico    nem dormi estou  conseguindo,14,0.397215874673568,inform_symptoms
Com muito medo,Com muito medo,65,0.22683257405386315,others
Sim,Sim,43,0.10256676786140106,others
A 3 meses atrás  quando o meu esposo faleceu,A 3 meses atrás  quando o meu esposo faleceu,2,0.48996532813739735,others
Não,Não,7,0.10496236224167,others
Tem algum remédio  que a pessoa tome para se acalmar,Tem algum remédio  que a pessoa tome para se acalmar,71,0.3305996511138334,inform_medicine
Pra  ficar tranquila,Pra  ficar tranquila,11,0.4635676528254481,others
Tá  certo,Tá  certo,25,0.22057821483137263,greeting
Tá  bom,Tá  bom,25,0.1563781310713791,greeting
"Obrigada , que Deus  te abençoe","Obrigada , que Deus  te abençoe",45,0.14405508949924806,greeting
Obrigada,Obrigada,45,0.10608911604274462,greeting
Estou com idosos correndo risco de se contaminar,Estou com idosos correndo risco de se contaminar,65,0.5317376935169351,others
"Boa tarde! Tenho uma idosa de 84 anos e vivi na rua ,na mesma casa tem mais 2 idosos e o restante são idosos que vão passear lá  Idosos que moram na casa são 3  Uma de 89,outra de 84 e a mais nova de 74. O marido da idosa de 89 tem 80 e está vindo de quixeramobim pra vela não usa máscara , a outra que vem passear também tem 75 também não segue os cuidados. Já falei, levei máscara , a idosa que sai direto de casa tem o hábito de abraçar , beijar e dá a mão pra todo mundo! Ela é lúcida mas às vezes tem algum momento de demência , rir de tudo e acha que o que tá acontecendo é besteira  Elas vivem só , não querem","Boa tarde! Tenho uma idosa de 84 anos e vivi na rua ,na mesma casa tem mais 2 idosos e o restante são idosos que vão passear lá  Idosos que moram na casa são 3  Uma de 89,outra de 84 e a mais nova de 74. O marido da idosa de 89 tem 80 e está vindo de quixeramobim pra vela não usa máscara , a outra que vem passear também tem 75 também não segue os cuidados. Já falei, levei máscara , a idosa que sai direto de casa tem o hábito de abraçar , beijar e dá a mão pra todo mundo! Ela é lúcida mas às vezes tem algum momento de [demência](SINTOMA) , rir de tudo e acha que o que tá acontecendo é besteira  Elas vivem só , não querem",77,0.6184374393045418,others
Acabei de enviar,Acabei de enviar,29,0.4250076071042248,others
"Mãe , tia que me criou, tio,","Mãe , tia que me criou, tio,",2,0.42647787662356507,others
Estamos abalados emocionalmente,Estamos abalados emocionalmente,56,0.5304570230120709,inform_symptoms
