txt,annotated_txt,label,distance,intent
Tô  muito nervosa Marcela com tudo isso,Tô  muito nervosa Marcela com tudo isso,11,0.14594415270795214,inform_symptoms
Com muito medo,Com muito medo,64,0.2717748190597048,inform_symptoms
Sim,Sim,19,0.18255861684649066,others
Não,Não,7,0.12957679191826788,greeting
Tem algum remédio  que a pessoa tome para se acalmar,Tem algum remédio  que a pessoa tome para se acalmar,6,0.1763216910458404,request_inform
Tá  certo,Tá  certo,84,0.11324969123202377,greeting
Tá  bom,Tá  bom,84,0.16863035110207214,greeting
"Obrigada , que Deus  te abençoe","Obrigada , que Deus  te abençoe",50,0.05832178981926428,greeting
Obrigada,Obrigada,32,0.09814897661231525,greeting
"Sim, meus dois irmão","Sim, meus dois irmão",2,0.2329928775725203,others
"Não posso tá lá , meu genrro é. Médico e vem aqui em casa, por isso não posso ir","Não posso tá lá , meu genrro é. Médico e vem aqui em casa, por isso não posso ir",1,0.1326707367177049,others
"Elas têm máscaras , falamos, mas aqui não tem os cuidados das autoridades de está colocando eles pra casa","Elas têm máscaras , falamos, mas aqui não tem os cuidados das autoridades de está colocando eles pra casa",1,0.16211986893914554,others
"Essa semana vou passar 15 dias sem ver minha filha, mandei ela é meu genrro ficarem em casa porque o cunhado dela está com todos sintomas de covid","Essa semana vou passar 15 dias sem ver minha filha, mandei ela é meu genrro ficarem em casa porque o cunhado dela está com todos sintomas de covid",73,0.09734763164613225,others
"Perdi um primo 46 anos Rompimento da aorta coronária , tento ser forte pois a esposa e o menino estão precisando de ajuda psicológica","Perdi um primo 46 anos Rompimento da aorta coronária , tento ser forte pois a esposa e o menino estão precisando de ajuda psicológica",73,0.13674463603753906,others
Eu preciso de um psicólogo pra eles O luto é patológico e o temor do Corona está acabando com eles,Eu preciso de um psicólogo pra eles O luto é patológico e o temor do Corona está acabando com eles,21,0.12315188407006783,inform_symptoms
Estou orientando quanto o vírus por que a viúva é diabética,Estou orientando quanto o vírus por que a viúva é diabética,14,0.19545366319152768,others
Preciso de alguém pra ir na casa das minhas bichinhas,Preciso de alguém pra ir na casa das minhas bichinhas,78,0.19230752598589196,others
Nossa família toda é assim!,Nossa família toda é assim!,25,0.19017823747608376,inform_symptoms
"Queria  a polícia pra dar uma orientação , possa ser que eles acreditem, pois já que não conhecem","Queria  a polícia pra dar uma orientação , possa ser que eles acreditem, pois já que não conhecem",1,0.14869178688543794,others
Sim! Sim,Sim! Sim,19,0.15206303527515175,others
Ela é tão forte que é ela que abre a cova pra enterrar nossos mortos e acha natural e não chora,Ela é tão forte que é ela que abre a cova pra enterrar nossos mortos e acha natural e não chora,1,0.1417511737254734,others
Faz sim! Mas eu temo perde los todos de uma vez! Eu amo meus idosos. Elas choram e vão buscar as outras pra passar lá na casa delas!,Faz sim! Mas eu temo perde los todos de uma vez! Eu amo meus idosos. Elas choram e vão buscar as outras pra passar lá na casa delas!,1,0.154668312325,others
Tem não! Foi difícil eu até fazer o controle no velório,Tem não! Foi difícil eu até fazer o controle no velório,1,0.17853658278897944,others
Boa tarde!,Boa tarde!,52,0.05978348935352884,greeting
"Estou a 03 dias com febre e tosse seca, muitas dores nas costas","Estou a 03 dias com [febre](SINTOMA) e [tosse seca](SINTOMA), muitas dores nas costas",47,0.08356884803418618,inform_symptoms
Sim.,Sim.,19,0.1508233330661788,others
"Durante esse período de febre tomei Dipirona monoidratada, porém a febre vai e volta.","Durante esse período de [febre](SINTOMA) tomei Dipirona monoidratada, porém a [febre](SINTOMA) vai e volta.",16,0.11180353724203618,inform_medicine
"Um pouco, acho que por conta da tosse","Um pouco, acho que por conta da [tosse](SINTOMA)",59,0.1726894765495829,inform_symptoms
Rua 922 casa 136 conjunto Ceará.,Rua 922 casa 136 conjunto Ceará.,68,0.17424677788665488,others
Febre controlada com Dipirona 1g,[Febre](SINTOMA) controlada com Dipirona 1g,40,0.2266783549535003,inform_medicine
