txt,annotated_txt,label,distance,intent
Tô  muito nervosa Marcela com tudo isso,Tô  muito nervosa Marcela com tudo isso,4,0.1617263034743729,inform_symptoms
O meu problema  é  psicológico    nem dormi estou  conseguindo,O meu problema  é  psicológico    nem dormi estou  conseguindo,1,0.1239029709112609,inform_symptoms
Sim,Sim,19,0.16213911890412747,others
Não,Não,25,0.13460061409859925,others
Tem algum remédio  que a pessoa tome para se acalmar,Tem algum remédio  que a pessoa tome para se acalmar,81,0.1289112064331368,inform_symptoms
Tá  certo,Tá  certo,84,0.11716619810097184,greeting
Tá  bom,Tá  bom,84,0.11011022807865756,greeting
"Obrigada , que Deus  te abençoe","Obrigada , que Deus  te abençoe",50,0.07692666048024055,greeting
"Boa tarde! Tenho uma idosa de 84 anos e vivi na rua ,na mesma casa tem mais 2 idosos e o restante são idosos que vão passear lá  Idosos que moram na casa são 3  Uma de 89,outra de 84 e a mais nova de 74. O marido da idosa de 89 tem 80 e está vindo de quixeramobim pra vela não usa máscara , a outra que vem passear também tem 75 também não segue os cuidados. Já falei, levei máscara , a idosa que sai direto de casa tem o hábito de abraçar , beijar e dá a mão pra todo mundo! Ela é lúcida mas às vezes tem algum momento de demência , rir de tudo e acha que o que tá acontecendo é besteira  Elas vivem só , não querem","Boa tarde! Tenho uma idosa de 84 anos e vivi na rua ,na mesma casa tem mais 2 idosos e o restante são idosos que vão passear lá  Idosos que moram na casa são 3  Uma de 89,outra de 84 e a mais nova de 74. O marido da idosa de 89 tem 80 e está vindo de quixeramobim pra vela não usa máscara , a outra que vem passear também tem 75 também não segue os cuidados. Já falei, levei máscara , a idosa que sai direto de casa tem o hábito de abraçar , beijar e dá a mão pra todo mundo! Ela é lúcida mas às vezes tem algum momento de [demência](SINTOMA) , rir de tudo e acha que o que tá acontecendo é besteira  Elas vivem só , não querem",16,0.11579881840917916,others
"Sim, meus dois irmão","Sim, meus dois irmão",2,0.1782884470340298,others
"Não posso tá lá , meu genrro é. Médico e vem aqui em casa, por isso não posso ir","Não posso tá lá , meu genrro é. Médico e vem aqui em casa, por isso não posso ir",94,0.10633785455150369,others
"Elas têm máscaras , falamos, mas aqui não tem os cuidados das autoridades de está colocando eles pra casa","Elas têm máscaras , falamos, mas aqui não tem os cuidados das autoridades de está colocando eles pra casa",66,0.1167182600893093,others
"Essa semana vou passar 15 dias sem ver minha filha, mandei ela é meu genrro ficarem em casa porque o cunhado dela está com todos sintomas de covid","Essa semana vou passar 15 dias sem ver minha filha, mandei ela é meu genrro ficarem em casa porque o cunhado dela está com todos sintomas de covid",16,0.08064050358651131,others
"Via, 2x por semana","Via, 2x por semana",20,0.24331084428101624,others
"Perdi um primo 46 anos Rompimento da aorta coronária , tento ser forte pois a esposa e o menino estão precisando de ajuda psicológica","Perdi um primo 46 anos Rompimento da aorta coronária , tento ser forte pois a esposa e o menino estão precisando de ajuda psicológica",16,0.1173517004913106,others
Eu preciso de um psicólogo pra eles O luto é patológico e o temor do Corona está acabando com eles,Eu preciso de um psicólogo pra eles O luto é patológico e o temor do Corona está acabando com eles,33,0.10325862985912881,inform_symptoms
Sou técnica de enfermagem  Aguardando a um ano aposentadoria,Sou técnica de enfermagem  Aguardando a um ano aposentadoria,72,0.18701654918847255,others
"Queria  a polícia pra dar uma orientação , possa ser que eles acreditem, pois já que não conhecem","Queria  a polícia pra dar uma orientação , possa ser que eles acreditem, pois já que não conhecem",94,0.1296773519562262,others
Não! Porque eles se acostumaram com minha tia sendo a cabeça da família,Não! Porque eles se acostumaram com minha tia sendo a cabeça da família,73,0.12731869014115238,others
Sim! Sim,Sim! Sim,19,0.1224304602182017,others
"Se precisar financeiramente sim! Mas atitudes como levar a médico acompanhar, orienta pra procurar os serviços de saúde ""somos  nós""","Se precisar financeiramente sim! Mas atitudes como levar a médico acompanhar, orienta pra procurar os serviços de saúde ""somos  nós""",81,0.1482278956843448,inform_symptoms
Ela ainda hoje leva os outros irmãos para os médicos. Ela acha que todos nós iremos ter que morrer ou de uma coisa ou de outra! Ela era da saúde,Ela ainda hoje leva os outros irmãos para os médicos. Ela acha que todos nós iremos ter que morrer ou de uma coisa ou de outra! Ela era da saúde,33,0.12725531716005178,inform_symptoms
Ela é tão forte que é ela que abre a cova pra enterrar nossos mortos e acha natural e não chora,Ela é tão forte que é ela que abre a cova pra enterrar nossos mortos e acha natural e não chora,35,0.14165785751134485,others
"São sutomos mesmo, por isso não tiro eles pra vir morar comigo, apenas faço adaptações pra que eles sintam se bem na casinha deles","São sutomos mesmo, por isso não tiro eles pra vir morar comigo, apenas faço adaptações pra que eles sintam se bem na casinha deles",94,0.08174256078185804,others
Faz sim! Mas eu temo perde los todos de uma vez! Eu amo meus idosos. Elas choram e vão buscar as outras pra passar lá na casa delas!,Faz sim! Mas eu temo perde los todos de uma vez! Eu amo meus idosos. Elas choram e vão buscar as outras pra passar lá na casa delas!,94,0.1377111612277243,others
Tem não! Foi difícil eu até fazer o controle no velório,Tem não! Foi difícil eu até fazer o controle no velório,21,0.12593871549453683,others
Boa tarde!,Boa tarde!,55,0.10313604837990642,greeting
"Estou a 03 dias com febre e tosse seca, muitas dores nas costas","Estou a 03 dias com [febre](SINTOMA) e [tosse seca](SINTOMA), muitas dores nas costas",47,0.09740651243930831,inform_symptoms
Sim.,Sim.,19,0.1564857125072422,others
"Durante esse período de febre tomei Dipirona monoidratada, porém a febre vai e volta.","Durante esse período de [febre](SINTOMA) tomei Dipirona monoidratada, porém a [febre](SINTOMA) vai e volta.",8,0.14226667858164466,others
Só quando tusso,Só quando tusso,26,0.16815721961000374,inform_symptoms
O problema é encontrar um posto de Saúde funcionando,O problema é encontrar um posto de Saúde funcionando,72,0.19302377298055096,others
Rua 922 casa 136 conjunto Ceará.,Rua 922 casa 136 conjunto Ceará.,10,0.15810567247316032,others
Febre controlada com Dipirona 1g,[Febre](SINTOMA) controlada com Dipirona 1g,31,0.17065320935907724,inform_medicine
"Tosse, coisa e espirros controlados com Alexofedrin D.","[Tosse](SINTOMA), coisa e espirros controlados com Alexofedrin D.",15,0.17312841059737483,inform_symptoms
Corisa*,Corisa*,28,0.15631032178961635,others
Sim!,Sim!,61,0.15949377441418233,greeting
Todos esses sintomas consigo controlar com os medicamentos.,Todos esses sintomas consigo controlar com os medicamentos.,80,0.11962515396186468,others
Sim! Estou separado das outras pessoas da casa.,Sim! Estou separado das outras pessoas da casa.,72,0.20209216994484958,others
Ok. Entendí.,Ok. Entendí.,61,0.13294096492803742,greeting
Obrigada!,Obrigada!,45,0.121461971011807,greeting
"Falta de ar, não. E à noite, fico febril. Tou conseguindo controlar a febre com a Dipirona. É durante o dia, a temperatura é normal.","[Falta de ar](SINTOMA), não. E à noite, fico febril. Tou conseguindo controlar a [febre](SINTOMA) com a Dipirona. É durante o dia, a temperatura é normal.",33,0.10672902812931206,inform_symptoms
"Consigo me manter bem com a Dipirona. Mas hoje, tive dor de cabeça e mal estar. Uma gastura no estômago. Sem vontade de comer.","Consigo me manter bem com a Dipirona. Mas hoje, tive [dor de cabeça](SINTOMA) e [mal estar](SINTOMA). Uma gastura no estômago. Sem vontade de comer.",30,0.08290312392145394,inform_symptoms
Não.,Não.,25,0.14581775023093546,others
Obrigado!,Obrigado!,45,0.1320224002012821,greeting
Boa noite!,Boa noite!,55,0.08156320199942191,greeting
Hoje de manhã senti um pouco de falta de ar. Sinto uma das narinas entupidas,Hoje de manhã senti um pouco de [falta de ar](SINTOMA). Sinto uma das narinas entupidas,89,0.08852205692807236,inform_symptoms
Tenho rinite e sinusite,Tenho rinite e [sinusite](SINTOMA),27,0.14108927921063474,inform_symptoms
"Ontem me senti melhor com Tylenol. Mas, o efeito não durou muito","Ontem me senti melhor com Tylenol. Mas, o efeito não durou muito",8,0.10328042741865218,others
6/6 horas,6/6 horas,20,0.19395056124025256,others
Dor na nuca e nas costas bem acentuada. É um pouco de pigarro na garganta.. Eu tossi durante a aula,Dor na nuca e nas costas bem acentuada. É um pouco de pigarro na [garganta](SINTOMA).. Eu tossi durante a aula,47,0.10657247363771027,inform_symptoms
Um pouco só,Um pouco só,59,0.12051660306829592,others
"Como se eu tivesse dormido de mal jeito, machucado. Fica tensionada e dói quando mexo a cabeça","Como se eu tivesse dormido de mal jeito, machucado. Fica tensionada e dói quando mexo a cabeça",63,0.08039828285687889,inform_symptoms
Nariz entupido é considerado sintoma de covid? Ou só a sensação de falta de ar?,[Nariz](SINTOMA) entupido é considerado sintoma de covid? Ou só a sensação de [falta de ar](SINTOMA)?,75,0.1035808384421234,inform_symptoms
"Sim. Como eu tenho alergia a muitas coisas, penso que pode ser uma crise alérgica","Sim. Como eu tenho [alergia](SINTOMA) a muitas coisas, penso que pode ser uma crise alérgica",33,0.08436278227919802,inform_symptoms
Tylenol ou paracetamol,Tylenol ou paracetamol,31,0.13153211531857567,inform_medicine
No nariz uso Neosoro,No nariz uso Neosoro,78,0.22481930215423385,others
Posso retomar o uso do Alektos? Me sinto bem quando uso,Posso retomar o uso do Alektos? Me sinto bem quando uso,6,0.12375438289883056,request_inform
Ou soro mesmo?,Ou soro mesmo?,12,0.13221633245910347,request_inform
Ok,Ok,60,0.20257816227001735,greeting
Não. Ficarei me observando,Não. Ficarei me observando,4,0.16693579371571177,inform_symptoms
Falta de apetite perda do alfato labios e boca seca boca amarga,Falta de apetite perda do alfato labios e [boca seca boca amarga](SINTOMA),15,0.12842927380113067,inform_symptoms
Entalo na garganta e dor no estomago,Entalo na [garganta](SINTOMA) e dor no estomago,85,0.09474634971321738,inform_symptoms
Da vontade de tosse e eu respiro pela boca pra voltar a respirar normal,Da vontade de [tosse](SINTOMA) e eu respiro pela boca pra voltar a respirar normal,63,0.11133825380640316,inform_symptoms
Já estou a 18 dias,Já estou a 18 dias,77,0.15645989117117587,others
"Ola, boa noite!","Ola, boa noite!",55,0.1122945020935886,greeting
"Os sintomas que venho sentido hj é dor de cabeca, nariz entupido e desde ontem venho sentindo dor de barriga, tudo que como vem me dando dor de barrigas","Os sintomas que venho sentido hj é dor de cabeca, nariz entupido e desde ontem venho sentindo [dor de](SINTOMA) barriga, tudo que como vem me dando dor de barrigas",30,0.08216597302839246,inform_symptoms
Barriga*,Barriga*,28,0.16801734982165717,others
"A gripe vai fzr duas semanas, no início me deu febre e dores no corpo, hj não sinto mais febre e nem dor no corpo, mas dar um pouco de dor de cabeça e ontem comecei a ter dor de barriga.","A gripe vai fzr duas semanas, no início me deu [febre](SINTOMA) e dores no corpo, hj não sinto mais [febre](SINTOMA) e nem [dor](SINTOMA) no corpo, mas dar um pouco de [dor de cabeça](SINTOMA) e ontem comecei a ter [dor de barriga](SINTOMA).",30,0.05503470705337288,inform_symptoms
Tá bom Dra.,Tá bom Dra.,84,0.18055480919336597,greeting
Somente isso mesmo.,Somente isso mesmo.,91,0.1144384568499831,greeting
Estou sentindo um pouco de falta de ar,Estou sentindo um pouco de [falta de ar](SINTOMA),13,0.12622273363245073,inform_symptoms
Repouso,Repouso,42,0.22139412601939346,inform_symptoms
Nao,Nao,25,0.17794372901308808,others
Como tô chorando o nariz fica ruim. Pq tenho renite,Como tô chorando o nariz fica ruim. Pq tenho renite,1,0.1023560681111585,inform_symptoms
E a falta de ar??,E a [falta de ar](SINTOMA)??,12,0.15996502319598338,request_inform
Só o coração acelerado,Só o coração acelerado,78,0.19530911042556642,others
Tem algum exercício para a falta de ar?,Tem algum exercício para a [falta de ar](SINTOMA)?,75,0.11898380439368761,inform_symptoms
Tá bom,Tá bom,84,0.11011022807865756,greeting
Tô sozinha,Tô sozinha,90,0.17759894474287885,others
Ta bem,Ta bem,84,0.16363105066305128,greeting
É pelo whatsapp tbm?,É pelo whatsapp tbm?,12,0.16206932077745706,request_inform
Como posso melhorar,Como posso melhorar,93,0.18856731877924693,others
Nunca fiquei com falta de ar,Nunca fiquei com [falta de ar](SINTOMA),13,0.10037231471226216,inform_symptoms
O coração acelerado desde ontem. Mas a falta de ar hj,O coração acelerado desde ontem. Mas a [falta de ar](SINTOMA) hj,49,0.1561002118368614,inform_symptoms
Hj não fiz nada,Hj não fiz nada,37,0.144708319042273,inform_symptoms
Mas hj meu coração tá muito acelerado,Mas hj meu coração tá muito acelerado,87,0.14624356424763973,inform_symptoms
Tenho medo,Tenho medo,27,0.14837317731191235,inform_symptoms
