txt,annotated_txt,label,distance,intent
O meu problema  é  psicológico    nem dormi estou  conseguindo,O meu problema  é  psicológico    nem dormi estou  conseguindo,78,0.14034825530795192,others
Com muito medo,Com muito medo,88,0.18985852809079828,inform_symptoms
Sim,Sim,28,0.028384506194840564,others
Não,Não,7,0.02492771317217124,others
Pra  ficar tranquila,Pra  ficar tranquila,65,0.11836414015522057,others
Tá  certo,Tá  certo,45,0.10337371098167336,greeting
Tá  bom,Tá  bom,62,0.10417116700182005,greeting
"Boa tarde! Tenho uma idosa de 84 anos e vivi na rua ,na mesma casa tem mais 2 idosos e o restante são idosos que vão passear lá  Idosos que moram na casa são 3  Uma de 89,outra de 84 e a mais nova de 74. O marido da idosa de 89 tem 80 e está vindo de quixeramobim pra vela não usa máscara , a outra que vem passear também tem 75 também não segue os cuidados. Já falei, levei máscara , a idosa que sai direto de casa tem o hábito de abraçar , beijar e dá a mão pra todo mundo! Ela é lúcida mas às vezes tem algum momento de demência , rir de tudo e acha que o que tá acontecendo é besteira  Elas vivem só , não querem","Boa tarde! Tenho uma idosa de 84 anos e vivi na rua ,na mesma casa tem mais 2 idosos e o restante são idosos que vão passear lá  Idosos que moram na casa são 3  Uma de 89,outra de 84 e a mais nova de 74. O marido da idosa de 89 tem 80 e está vindo de quixeramobim pra vela não usa máscara , a outra que vem passear também tem 75 também não segue os cuidados. Já falei, levei máscara , a idosa que sai direto de casa tem o hábito de abraçar , beijar e dá a mão pra todo mundo! Ela é lúcida mas às vezes tem algum momento de [demência](SINTOMA) , rir de tudo e acha que o que tá acontecendo é besteira  Elas vivem só , não querem",97,0.04782345504702423,inform_symptoms
Acabei de enviar,Acabei de enviar,26,0.18819577347609273,inform_symptoms
Não pelo contrário estão ajudando,Não pelo contrário estão ajudando,32,0.13070567542711986,inform_symptoms
"Não posso tá lá , meu genrro é. Médico e vem aqui em casa, por isso não posso ir","Não posso tá lá , meu genrro é. Médico e vem aqui em casa, por isso não posso ir",37,0.11267996251127488,inform_symptoms
Não sabemos mais o que fazer,Não sabemos mais o que fazer,37,0.07292355805375395,inform_symptoms
Choro todos os dias!,Choro todos os dias!,75,0.14680438243876792,others
"Elas têm máscaras , falamos, mas aqui não tem os cuidados das autoridades de está colocando eles pra casa","Elas têm máscaras , falamos, mas aqui não tem os cuidados das autoridades de está colocando eles pra casa",95,0.11239081087680636,inform_symptoms
"Essa semana vou passar 15 dias sem ver minha filha, mandei ela é meu genrro ficarem em casa porque o cunhado dela está com todos sintomas de covid","Essa semana vou passar 15 dias sem ver minha filha, mandei ela é meu genrro ficarem em casa porque o cunhado dela está com todos sintomas de covid",95,0.0999689723586461,inform_symptoms
