txt,annotated_txt,label,distance,intent
Tô  muito nervosa Marcela com tudo isso,Tô  muito nervosa Marcela com tudo isso,14,0.30351425252906317,inform_symptoms
O meu problema  é  psicológico    nem dormi estou  conseguindo,O meu problema  é  psicológico    nem dormi estou  conseguindo,37,0.3154054526079437,others
Com muito medo,Com muito medo,65,0.2457152347092355,others
Sim,Sim,19,0.22057183486656018,others
Não,Não,58,0.1870958021481126,others
Tá  certo,Tá  certo,60,0.19795167855129636,greeting
Tá  bom,Tá  bom,43,0.25082220691585866,greeting
"Obrigada , que Deus  te abençoe","Obrigada , que Deus  te abençoe",50,0.1580739202842797,greeting
"Triste, tenho medo de perder todos eles!","Triste, tenho medo de perder todos eles!",65,0.26253664511623165,others
"Essa semana vou passar 15 dias sem ver minha filha, mandei ela é meu genrro ficarem em casa porque o cunhado dela está com todos sintomas de covid","Essa semana vou passar 15 dias sem ver minha filha, mandei ela é meu genrro ficarem em casa porque o cunhado dela está com todos sintomas de covid",73,0.2717065541843856,others
Meu esposo já tem quase 60,Meu esposo já tem quase 60,78,0.22377868807271872,others
Sim! Sim,Sim! Sim,19,0.1736180105985914,others
É minha única esperança,É minha única esperança,80,0.30151245915716607,inform_symptoms
Boa tarde!,Boa tarde!,52,0.13812249261824106,greeting
"Estou a 03 dias com febre e tosse seca, muitas dores nas costas","Estou a 03 dias com [febre](SINTOMA) e [tosse seca](SINTOMA), muitas dores nas costas",76,0.1996045652187881,inform_symptoms
Sim.,Sim.,19,0.20032165034498106,others
Só quando tusso,Só quando tusso,23,0.23540760080936962,others
No sábado passado.,No sábado passado.,3,0.23167372849633694,others
Sim!,Sim!,19,0.21883653221386212,others
Todos esses sintomas consigo controlar com os medicamentos.,Todos esses sintomas consigo controlar com os medicamentos.,75,0.25258482958553785,inform_symptoms
Ok. Entendí.,Ok. Entendí.,60,0.21015141358543177,greeting
Voi recomendação médica.,Voi recomendação médica.,72,0.32895926924340324,others
Obrigada!,Obrigada!,45,0.15911796565460046,greeting
