txt,annotated_txt,label,distance,intent
Com muito medo,Com muito medo,65,0.22683257405386315,others
Sim,Sim,43,0.10256676786140106,others
Não,Não,7,0.10496236224167,others
Tem algum remédio  que a pessoa tome para se acalmar,Tem algum remédio  que a pessoa tome para se acalmar,71,0.3305996511138334,inform_medicine
Tá  certo,Tá  certo,25,0.22057821483137263,greeting
Tá  bom,Tá  bom,25,0.1563781310713791,greeting
"Obrigada , que Deus  te abençoe","Obrigada , que Deus  te abençoe",45,0.14405508949924806,greeting
Obrigada,Obrigada,45,0.10608911604274462,greeting
"Mãe , tia que me criou, tio,","Mãe , tia que me criou, tio,",2,0.42647787662356507,others
"Sim, meus dois irmão","Sim, meus dois irmão",2,0.41622008179249226,others
Meu esposo já tem quase 60,Meu esposo já tem quase 60,77,0.37578250089593757,others
Preciso de alguém pra ir na casa das minhas bichinhas,Preciso de alguém pra ir na casa das minhas bichinhas,21,0.47415634475861645,others
Sim! Sim,Sim! Sim,43,0.12254717753079702,others
Boa tarde!,Boa tarde!,52,0.1843335382820227,greeting
"Estou a 03 dias com febre e tosse seca, muitas dores nas costas","Estou a 03 dias com [febre](SINTOMA) e [tosse seca](SINTOMA), muitas dores nas costas",13,0.20488274814283236,inform_symptoms
Sim.,Sim.,43,0.11292809777296908,others
"Um pouco, acho que por conta da tosse","Um pouco, acho que por conta da [tosse](SINTOMA)",17,0.18999090254869722,inform_symptoms
Só quando tusso,Só quando tusso,44,0.3088368412571494,others
Rua 922 casa 136 conjunto Ceará.,Rua 922 casa 136 conjunto Ceará.,68,0.4322075930078312,others
No sábado passado.,No sábado passado.,8,0.30036326226215926,others
Sim!,Sim!,43,0.17408915798545233,others
Sim! Estou separado das outras pessoas da casa.,Sim! Estou separado das outras pessoas da casa.,73,0.40127273196816193,others
Ótimo.,Ótimo.,25,0.2780834150975876,greeting
Obrigada!,Obrigada!,45,0.13240625712692222,greeting
"Sintomas hoje:  * dor de cabeça, mal estar estomacal e falta de apetite. * Dia 24/04, sentí os primeiros sintomas. Espirros e corisa. Dia 20, tive contato com covid positivado. * Fui ao médico. Receitou: -Dipirona 1g, se febre ou dor. -Seki, se tosse. -Alegra D, se espirros. * Não fiz nenhum teste.","Sintomas hoje:  * [dor de cabeça](SINTOMA), [mal estar](SINTOMA) estomacal e falta de apetite. * Dia 24/04, sentí os primeiros sintomas. [Espirros](SINTOMA) e corisa. Dia 20, tive contato com covid positivado. * Fui ao médico. Receitou: -Dipirona 1g, se [febre](SINTOMA) ou dor. -Seki, se [tosse](SINTOMA). -Alegra D, se [espirros](SINTOMA). * Não fiz nenhum teste.",30,0.26789815400757155,inform_symptoms
"Consigo me manter bem com a Dipirona. Mas hoje, tive dor de cabeça e mal estar. Uma gastura no estômago. Sem vontade de comer.","Consigo me manter bem com a Dipirona. Mas hoje, tive [dor de cabeça](SINTOMA) e [mal estar](SINTOMA). Uma gastura no estômago. Sem vontade de comer.",70,0.39580235056284263,inform_symptoms
Não.,Não.,7,0.13806364194848475,others
Obrigado!,Obrigado!,45,0.1658490559198762,greeting
Boa noite!,Boa noite!,52,0.11059964668522082,greeting
Estou com alguns sintomas desde segunda e queria saber se são sintomas de covid,Estou com alguns sintomas desde segunda e queria saber se são sintomas de covid,75,0.10890910569417134,others
E como devo proceder,E como devo proceder,61,0.26366015993332126,request_inform
