txt,intent
Quase 39,others
Meu nariz tá entupido né mas não tá me incomodando como antes só o cansaço que tá me incomodando,inform_symptoms
Vou avisar ao meu filho da upa granha Lisboa,others
"Boa noite, Valéria. Desde sexta que estou com febre, só ontem que n tive",inform_symptoms
estava espirrando muito,inform_symptoms
Dipirona não vai tratar,inform_medicine
E como a tossi desaparece? Sem tomar remédio?,request_inform
"Não, obrigadaa",greeting
Pensei logo que naquele dia peguei chuva,others
Aquele de farmácia eu preciso de solicitação,others
Sandra Moreira e Flávio Marcílio,others
Tá muito complicado,others
Nessa??,request_inform
Sim  Mas tipo  Minha febre fica por pouco tempo e passa rápido  Não estou tendo falta de ar  Nem tosse seca,inform_symptoms
justamente por imaginar que seja ansiedade,inform_symptoms
"Suor frio, cansaço e falta de ar, taquicardia",inform_symptoms
Hoje faz 3 dias tomando o remedio e ainda nao sinto muita melhora nao,inform_medicine
"Tosse,mal estar",inform_symptoms
Parei,others
"Pode sim, vamos aguardar",others
"Algumas horas atrás era de 37,7***",others
"A Sra faz o encaminhamento, ou não precisa, é só ir até a UPA",request_inform
Almenta,others
"Caso continue no decorrer no dia, faço isso sim",others
Qual hospital possa me atender,request_inform
E não está bem,others
"Depois que tiver febre, perdi paladar,olfato deixei de sair",inform_symptoms
Tenho um poço de tosse mas pausadamente,inform_symptoms
"Tosse sim,mas não  seca explelindo secreção.Nariz entupido sim,febre sim.",inform_symptoms
Nesse momento estou em Quixeré,others
É porque sinto febre e dor de cabeça à 3dias e também com a garganta inflamada e ainda não procurei nem um hospital. Venho tomando Dipirona de 1g.,inform_symptoms
Melhorei da do dicabeca,inform_symptoms
Não  Obrigada pela atenção,greeting
"Então, eu tenho tossido há muito tempo, mais de um mês. Como se fosse uma tosse alérgica mesmo.",inform_symptoms
"Eu tenho sinusite, então achei que fosse",inform_symptoms
A senhora acha que não é covid,request_inform
Meu esposo hj estava com perda de paladar dor no corpo e febre de 37.6,inform_symptoms
Não gostei pq parece que algo me sufocava,others
E meio fanhosa,inform_symptoms
Nao teve febre nem falta de ar nem tosse graça  a Deus  so o nariz que arde muito uma coisa inesplicavel,inform_symptoms
