txt,intent
Desculpa qualquer coisa,others
"Sim,Dipirona 1g e vitamina c",inform_medicine
Ate hoje nao sinto cheiro de nada ... Por msis forte que seja,inform_symptoms
Aqui se eu tiver contaminada é só as pessoas que estão cuidando de mim ter cuidado né lavar as mãos e tudo e eu tô isolada mas mas tem gente que não pode ficar isolada essa minha amiga lá na casa dela é um ovo aí é triste,others
Meu nome é Regina Nascimento Mesquita tenho 57 anos trabalho no hgf aqui em Fortaleza e tá com mais ou menos uma semana que eu tô sentindo vem sentindo só aquela morrinho no meu corpo não tenho febre mas fico febril fico mole né Agora eu tenho problema de rinite alérgica e eu nunca sei se eu tô com Inicial com essa doença porque eu sinto assim eu espirro pouco não é muito espirro pouco né sinto assim a minha garganta ardendo um pouquinho não tenho dor de garganta né e assim eu tô sentindo muita dor na minhas costas aqui na minhas costas trabalho sentada também no hospital trabalhando sentada não sei se é isso né o,others
A dor já tem uns dois dias que sinto,inform_symptoms
Aqui na região o foco tá grande,others
Moro no bairro Itaoca,others
Um pouco de coriza,inform_symptoms
Prazer dr João meu nome e Wellington Coelho,others
Sandra Moreira e Flávio Marcílio,others
Ok.fico muito agradecida.,greeting
So se eu tiver me movimentando,others
Quando me deito,others
Não  foi so esse dia,others
Mandaram eu tomar ele de 8h em 8h.,others
Ontem às 22,others
Tempo,others
Estou isolado na parte inferior da casa,others
Tipp,others
Ainda n fui no hospital,others
Vou seguir observando ela,others
Ou esse é o nome do posto,others
E quando resolver ir ao médico não ter mais jeito,others
Vai dar certo em nome de Jesus,others
Certo vou fazer isso,others
Não está tudo certo  obrigado  tenha uma boa tarde,greeting
No primeiro dia,others
Com corona? Como eu vou saber,request_inform
Corisa*,inform_symptoms
Nao pq nunca tinha sentido isso,others
3* *4 dias,others
Mas ainda não fizeram o teste pra covid! Essa é a terceira vez que venho ao pronto-socorro,others
"Diante do quadro,  q é desde quarta-feira  passada, será necessário  procurar um médico?",request_inform
Nao fui ao médico,others
Médico falou que eu estava muito ancioso,inform_symptoms
Acho que continuam do mesmo jeito,others
E o proteja,others
Comecei com espirro no dia 25,inform_symptoms
Porque faço tratamento pra controlar,others
Só teste de temperatura no dedo,others
"Então minha mãe ela está vomitando, com dor de barriga, os sintomas começaram fraco no começo mas estão aumentando",inform_symptoms
Normal sempre 36°,others
Estou em casa eu e minha mãe.,others
Obrigada  No momento não.,greeting
Amanhã termina o tratamento que a médica tinha passado e esses 2 sintomas ainda persistem,others
No momento  ñ,others
Não sei se estão aberto aos sábados,others
Doflex,inform_medicine
Acha melhor eu aguardar amanhecer o dia?,request_inform
Sim. Mas estava muito lotado. Optei por retornar amanhã.,others
Se assim fizermos ficaremos curado,others
As vezes tosse,inform_symptoms
Você conversando comigo acha que eu tenho algum problema piscilogico?,request_inform
Não constantemente mais tem e ontem ela começou com um mal estar,inform_symptoms
Ja tomei cha,inform_medicine
Passo mal no banheiro,inform_medicine
Mais acho que vou num posto amanha,others
Ou nem alguma farmácia,others
Faço todos procedimento,others
Estou achando,others
eu pensava que tava pergunta se tava isolada no quarto,others
