txt,intent
Meu nariz tá entupido né mas não tá me incomodando como antes só o cansaço que tá me incomodando,inform_symptoms
"Boa noite, Valéria. Desde sexta que estou com febre, só ontem que n tive",inform_symptoms
estava espirrando muito,inform_symptoms
Dipirona não vai tratar,inform_medicine
E como a tossi desaparece? Sem tomar remédio?,request_inform
"Não, obrigadaa",greeting
Nessa??,request_inform
Sim  Mas tipo  Minha febre fica por pouco tempo e passa rápido  Não estou tendo falta de ar  Nem tosse seca,inform_symptoms
justamente por imaginar que seja ansiedade,inform_symptoms
"Suor frio, cansaço e falta de ar, taquicardia",inform_symptoms
Hoje faz 3 dias tomando o remedio e ainda nao sinto muita melhora nao,inform_medicine
"Tosse,mal estar",inform_symptoms
"A Sra faz o encaminhamento, ou não precisa, é só ir até a UPA",request_inform
Qual hospital possa me atender,request_inform
"Depois que tiver febre, perdi paladar,olfato deixei de sair",inform_symptoms
Tenho um poço de tosse mas pausadamente,inform_symptoms
"Tosse sim,mas não  seca explelindo secreção.Nariz entupido sim,febre sim.",inform_symptoms
É porque sinto febre e dor de cabeça à 3dias e também com a garganta inflamada e ainda não procurei nem um hospital. Venho tomando Dipirona de 1g.,inform_symptoms
Melhorei da do dicabeca,inform_symptoms
Não  Obrigada pela atenção,greeting
"Então, eu tenho tossido há muito tempo, mais de um mês. Como se fosse uma tosse alérgica mesmo.",inform_symptoms
"Eu tenho sinusite, então achei que fosse",inform_symptoms
A senhora acha que não é covid,request_inform
Meu esposo hj estava com perda de paladar dor no corpo e febre de 37.6,inform_symptoms
E meio fanhosa,inform_symptoms
Nao teve febre nem falta de ar nem tosse graça  a Deus  so o nariz que arde muito uma coisa inesplicavel,inform_symptoms
Paracetamol e soro fisiológico no nariz,inform_medicine
Esse mesmo que estou tomando,inform_medicine
Faz tratamento no posto de saúde pressão alta e colesterol,inform_symptoms
Tá certo muito obrigada,greeting
"Somente dor de cabeça que não passa com remédio, indisposição e corisa",inform_symptoms
Hoje eu estou com uma dor atrás do peito e uma pequena falta de ar,inform_symptoms
Estou me sentindo apenas com leve cansaço em alguns momentos,inform_symptoms
"Minha dúvida era do medicamento, Porque é uma irritação que não passa, avermelhada.",inform_symptoms
Que Deus te abençoe nesta luta,greeting
Boa Tarde Luciana!,greeting
"Doença crônica não , mais sou fumante",inform_symptoms
"Dor no corpo, garganta inflamada e não consigo sentir cheiro ou gosto de absolutamente nada :(",inform_symptoms
Boa noite Dr.,greeting
E eu senti isso a pouco tempo,inform_symptoms
Será q n vão falar a mesma coisa que a Senhora,request_inform
Tosse um pouco e para,inform_symptoms
Ok doutor,greeting
Sempre tive enxaqueca e minha dor de cabeça sempre foi no olho Jamais na cabeça  E achei estranho,inform_symptoms
Obrigada pela atenção,greeting
Ela não sente fome tbm.,inform_symptoms
Muita secreção ela tomou azitromicina durante 5 dias passado pela médica do UPA,inform_medicine
"Minha mãe é hipertensa, e tá isolada no quarto.. Pq meu pai está com vários sintomas..",inform_symptoms
Os sintomas desaparecem em quanto tempo?,request_inform
E faz uns 8 dias que sinto uma dor de cabeça muito forte na nuca,inform_symptoms
Olá Dr.,greeting
e cansa aos mínimos esforços,inform_symptoms
pelo o fato de eu ser hipertensa,inform_symptoms
uma boa tarde,greeting
Oi vc ainda esta ai,request_inform
"E a dor na garganta, é uma dor mto intensa q causa dor nos meus ouvidos tbm",inform_symptoms
Eu comecei com a garganta coçando,inform_symptoms
Não sinto dor de cabeça,inform_symptoms
Na sexta sentia falta de ar durante todo o dia.,inform_symptoms
Desânimo.  As vezes ardência  ao urinar,inform_symptoms
tô çom um pouco de diarréia e a garganta querendo tossir de vez em quando,inform_symptoms
"Aí eu poderei chegar perto , é isso ?",request_inform
Boa noite. O que faço?,request_inform
Dor de cabeça e muita dor no corpo,inform_symptoms
Não entupido,inform_symptoms
"Com os sintomas q estou tendo, na emergência será feito o teste de covid?",request_inform
Tive gripe,inform_symptoms
Ontem tive febre direto. Tomo remedio passa e depois do efeito do remédio ela volta.,inform_symptoms
Meu caso é  transmissível  ?,request_inform
"Tem tosse seca, não sente cheiro e nem sabor",inform_symptoms
"Sim. Multi gripe, depois tomei dipirona, porém ambos não fizeram efeitos e por último tomei dicoflenaco de potássio, por que a dor no corpo tá intensa. Porém não serviu também",inform_medicine
Tive outra noite de febre,inform_symptoms
Estou tomando Redoxon e Benegripe de 8 em 8 horas.,inform_medicine
Aos meus 13 anos de idade tive início de asma,inform_symptoms
"Me sinto disposta, não tive febre esses dias, e nem indisposição.",inform_symptoms
Diarreia é dor de cabeça,inform_symptoms
E umas pontadas entre o peito e as costas,inform_symptoms
"Nariz escorrendo e congestionado, espirros",inform_symptoms
E uma moleza no corpo...ontem a noite senti um pouco de dificuldade pra respirar,inform_symptoms
Diarréia,inform_symptoms
E o meu esposo Q ta sentindo dores no corpo todo quebrado  faz uns 3 dias febre o nais q deu foi 37.3,inform_symptoms
Nem mandar mensagem?,request_inform
Crise mesmo acho que faz um mês e meio. Quase sempre tenho quando tenho crise de rinite. Aí junta tudo e piora. Poi isso estou com medo :),inform_symptoms
"Tbm tem algum secreçao, ms tvz seja pq é ex fumante",inform_symptoms
"Não é uma dor que dificulte minha respiração ou que me impeça de andar ou de fazer algo, mas é incomoda",inform_symptoms
Mais tem uns 6 dias que venho sentindo muita dor de cabeça dor na garganta e um mal estar intenso,inform_symptoms
"A tosse já passou, só estou com o mal o estar (com o corpo todo mole)",inform_symptoms
Eu estou tossendo muito também,inform_symptoms
"Eu tô revoltada, tomei aerosol hoje porque estava muito cansada porque sou asmática e fui pra upa cedo porque estou há 5 dias muito mal e fui mandada pra casa por não estar com falta de ar",inform_medicine
Quando subo a escada da minha casa sinto muito cansaço,inform_symptoms
No momento ele diz que está sentindo mal está e calafrios,inform_symptoms
Boa noite!  Estou com alguns sintomas e estou preocupada,greeting
