txt,annotated_txt,label,distance,intent
Tô  muito nervosa Marcela com tudo isso,Tô  muito nervosa Marcela com tudo isso,11,0.14594415270795214,inform_symptoms
O meu problema  é  psicológico    nem dormi estou  conseguindo,O meu problema  é  psicológico    nem dormi estou  conseguindo,34,0.20402359704799566,inform_symptoms
Com muito medo,Com muito medo,64,0.2717748190597048,inform_symptoms
Não,Não,7,0.12957679191826788,greeting
Tem algum remédio  que a pessoa tome para se acalmar,Tem algum remédio  que a pessoa tome para se acalmar,6,0.1763216910458404,request_inform
Tá  certo,Tá  certo,84,0.11324969123202377,greeting
Tá  bom,Tá  bom,84,0.16863035110207214,greeting
"Obrigada , que Deus  te abençoe","Obrigada , que Deus  te abençoe",50,0.05832178981926428,greeting
Obrigada,Obrigada,32,0.09814897661231525,greeting
Estou com idosos correndo risco de se contaminar,Estou com idosos correndo risco de se contaminar,37,0.2922601402922863,inform_symptoms
"Boa tarde! Tenho uma idosa de 84 anos e vivi na rua ,na mesma casa tem mais 2 idosos e o restante são idosos que vão passear lá  Idosos que moram na casa são 3  Uma de 89,outra de 84 e a mais nova de 74. O marido da idosa de 89 tem 80 e está vindo de quixeramobim pra vela não usa máscara , a outra que vem passear também tem 75 também não segue os cuidados. Já falei, levei máscara , a idosa que sai direto de casa tem o hábito de abraçar , beijar e dá a mão pra todo mundo! Ela é lúcida mas às vezes tem algum momento de demência , rir de tudo e acha que o que tá acontecendo é besteira  Elas vivem só , não querem","Boa tarde! Tenho uma idosa de 84 anos e vivi na rua ,na mesma casa tem mais 2 idosos e o restante são idosos que vão passear lá  Idosos que moram na casa são 3  Uma de 89,outra de 84 e a mais nova de 74. O marido da idosa de 89 tem 80 e está vindo de quixeramobim pra vela não usa máscara , a outra que vem passear também tem 75 também não segue os cuidados. Já falei, levei máscara , a idosa que sai direto de casa tem o hábito de abraçar , beijar e dá a mão pra todo mundo! Ela é lúcida mas às vezes tem algum momento de [demência](SINTOMA) , rir de tudo e acha que o que tá acontecendo é besteira  Elas vivem só , não querem",21,0.1533494566654302,inform_symptoms
Não pelo contrário estão ajudando,Não pelo contrário estão ajudando,25,0.27173216156499735,inform_symptoms
"Já , elas ver os jornais, são orientadas","Já , elas ver os jornais, são orientadas",25,0.2791372160693042,inform_symptoms
Não sabemos mais o que fazer,Não sabemos mais o que fazer,24,0.2300761362850937,request_inform
"Como assim doutora, cuidar de sí ?","Como assim doutora, cuidar de sí ?",12,0.29644193277064934,request_inform
"Triste, tenho medo de perder todos eles!","Triste, tenho medo de perder todos eles!",37,0.19127837603776787,inform_symptoms
Eu preciso de um psicólogo pra eles O luto é patológico e o temor do Corona está acabando com eles,Eu preciso de um psicólogo pra eles O luto é patológico e o temor do Corona está acabando com eles,21,0.12315188407006783,inform_symptoms
Nossa família toda é assim!,Nossa família toda é assim!,25,0.19017823747608376,inform_symptoms
"Se precisar financeiramente sim! Mas atitudes como levar a médico acompanhar, orienta pra procurar os serviços de saúde ""somos  nós""","Se precisar financeiramente sim! Mas atitudes como levar a médico acompanhar, orienta pra procurar os serviços de saúde ""somos  nós""",42,0.217790949758767,request_inform
Ela ainda hoje leva os outros irmãos para os médicos. Ela acha que todos nós iremos ter que morrer ou de uma coisa ou de outra! Ela era da saúde,Ela ainda hoje leva os outros irmãos para os médicos. Ela acha que todos nós iremos ter que morrer ou de uma coisa ou de outra! Ela era da saúde,21,0.16525757940413965,inform_symptoms
É minha única esperança,É minha única esperança,25,0.2562397572104038,inform_symptoms
"São sutomos mesmo, por isso não tiro eles pra vir morar comigo, apenas faço adaptações pra que eles sintam se bem na casinha deles","São sutomos mesmo, por isso não tiro eles pra vir morar comigo, apenas faço adaptações pra que eles sintam se bem na casinha deles",21,0.15278407449642206,inform_symptoms
Obrigada assim mesmo por a atenção e Jesus te lave com o sangue do cordeiro e te cubra de saúde,Obrigada assim mesmo por a atenção e Jesus te lave com o sangue do cordeiro e te cubra de saúde,50,0.1770350830411498,greeting
Fica com Deus! Thau!,Fica com Deus! Thau!,50,0.24131613190989387,greeting
Boa tarde!,Boa tarde!,52,0.05978348935352884,greeting
"Estou a 03 dias com febre e tosse seca, muitas dores nas costas","Estou a 03 dias com [febre](SINTOMA) e [tosse seca](SINTOMA), muitas dores nas costas",47,0.08356884803418618,inform_symptoms
"Durante esse período de febre tomei Dipirona monoidratada, porém a febre vai e volta.","Durante esse período de [febre](SINTOMA) tomei Dipirona monoidratada, porém a [febre](SINTOMA) vai e volta.",16,0.11180353724203618,inform_medicine
"Um pouco, acho que por conta da tosse","Um pouco, acho que por conta da [tosse](SINTOMA)",59,0.1726894765495829,inform_symptoms
Só quando tusso,Só quando tusso,65,0.2834092868302426,inform_symptoms
O problema é encontrar um posto de Saúde funcionando,O problema é encontrar um posto de Saúde funcionando,42,0.16776333682905553,request_inform
Febre controlada com Dipirona 1g,[Febre](SINTOMA) controlada com Dipirona 1g,40,0.2266783549535003,inform_medicine
