txt,annotated_txt,label,distance,intent
Tô  muito nervosa Marcela com tudo isso,Tô  muito nervosa Marcela com tudo isso,4,0.1617263034743729,inform_symptoms
O meu problema  é  psicológico    nem dormi estou  conseguindo,O meu problema  é  psicológico    nem dormi estou  conseguindo,1,0.1239029709112609,inform_symptoms
Com muito medo,Com muito medo,64,0.27226262518902355,inform_symptoms
Tem algum remédio  que a pessoa tome para se acalmar,Tem algum remédio  que a pessoa tome para se acalmar,81,0.1289112064331368,inform_symptoms
Pra  ficar tranquila,Pra  ficar tranquila,4,0.2639026418506224,inform_symptoms
Tá  certo,Tá  certo,84,0.11716619810097184,greeting
Tá  bom,Tá  bom,84,0.11011022807865756,greeting
"Obrigada , que Deus  te abençoe","Obrigada , que Deus  te abençoe",50,0.07692666048024055,greeting
Obrigada,Obrigada,45,0.1399154223335939,greeting
Estou com idosos correndo risco de se contaminar,Estou com idosos correndo risco de se contaminar,48,0.15752017964839315,inform_symptoms
Não sabemos mais o que fazer,Não sabemos mais o que fazer,14,0.24818288267353172,request_inform
Choro todos os dias!,Choro todos os dias!,76,0.2600192761512532,inform_symptoms
"Como assim doutora, cuidar de sí ?","Como assim doutora, cuidar de sí ?",6,0.1724336926094231,request_inform
"Triste, tenho medo de perder todos eles!","Triste, tenho medo de perder todos eles!",33,0.16305271655909181,inform_symptoms
Eu preciso de um psicólogo pra eles O luto é patológico e o temor do Corona está acabando com eles,Eu preciso de um psicólogo pra eles O luto é patológico e o temor do Corona está acabando com eles,33,0.10325862985912881,inform_symptoms
Estou orientando quanto o vírus por que a viúva é diabética,Estou orientando quanto o vírus por que a viúva é diabética,33,0.17122156099302566,inform_symptoms
Gosta de ajudar outras pessoas,Gosta de ajudar outras pessoas,81,0.2641596063147871,inform_symptoms
"Se precisar financeiramente sim! Mas atitudes como levar a médico acompanhar, orienta pra procurar os serviços de saúde ""somos  nós""","Se precisar financeiramente sim! Mas atitudes como levar a médico acompanhar, orienta pra procurar os serviços de saúde ""somos  nós""",81,0.1482278956843448,inform_symptoms
Ela ainda hoje leva os outros irmãos para os médicos. Ela acha que todos nós iremos ter que morrer ou de uma coisa ou de outra! Ela era da saúde,Ela ainda hoje leva os outros irmãos para os médicos. Ela acha que todos nós iremos ter que morrer ou de uma coisa ou de outra! Ela era da saúde,33,0.12725531716005178,inform_symptoms
É minha única esperança,É minha única esperança,57,0.23586812608139507,request_inform
Diz que assim mesmo a vida! Uns nascendo outros morrendo,Diz que assim mesmo a vida! Uns nascendo outros morrendo,33,0.17670360833370002,inform_symptoms
Obrigada assim mesmo por a atenção e Jesus te lave com o sangue do cordeiro e te cubra de saúde,Obrigada assim mesmo por a atenção e Jesus te lave com o sangue do cordeiro e te cubra de saúde,63,0.2031414964188547,inform_symptoms
Fica com Deus! Thau!,Fica com Deus! Thau!,61,0.21475978376960025,greeting
Boa tarde!,Boa tarde!,55,0.10313604837990642,greeting
"Estou a 03 dias com febre e tosse seca, muitas dores nas costas","Estou a 03 dias com [febre](SINTOMA) e [tosse seca](SINTOMA), muitas dores nas costas",47,0.09740651243930831,inform_symptoms
"Um pouco, acho que por conta da tosse","Um pouco, acho que por conta da [tosse](SINTOMA)",33,0.16324737415270862,inform_symptoms
Só quando tusso,Só quando tusso,26,0.16815721961000374,inform_symptoms
Febre controlada com Dipirona 1g,[Febre](SINTOMA) controlada com Dipirona 1g,31,0.17065320935907724,inform_medicine
"Tosse, coisa e espirros controlados com Alexofedrin D.","[Tosse](SINTOMA), coisa e espirros controlados com Alexofedrin D.",15,0.17312841059737483,inform_symptoms
Sim!,Sim!,61,0.15949377441418233,greeting
Minha preocupação é ter uma pneumonia silenciosa.,Minha preocupação é ter uma [pneumonia](SINTOMA) silenciosa.,49,0.17488539488159494,inform_symptoms
Ok. Entendí.,Ok. Entendí.,61,0.13294096492803742,greeting
Tou tomando Alexofedrin pros espirros e Corisa. É pra eu suspender?,Tou tomando Alexofedrin pros [espirros](SINTOMA) e Corisa. É pra eu suspender?,6,0.14829572959372672,request_inform
Voi recomendação médica.,Voi recomendação médica.,38,0.30290343724319047,inform_symptoms
Ótimo.,Ótimo.,61,0.24369760773699534,greeting
Obrigada!,Obrigada!,45,0.121461971011807,greeting
"Sintomas hoje:  * dor de cabeça, mal estar estomacal e falta de apetite. * Dia 24/04, sentí os primeiros sintomas. Espirros e corisa. Dia 20, tive contato com covid positivado. * Fui ao médico. Receitou: -Dipirona 1g, se febre ou dor. -Seki, se tosse. -Alegra D, se espirros. * Não fiz nenhum teste.","Sintomas hoje:  * [dor de cabeça](SINTOMA), [mal estar](SINTOMA) estomacal e falta de apetite. * Dia 24/04, sentí os primeiros sintomas. [Espirros](SINTOMA) e corisa. Dia 20, tive contato com covid positivado. * Fui ao médico. Receitou: -Dipirona 1g, se [febre](SINTOMA) ou dor. -Seki, se [tosse](SINTOMA). -Alegra D, se [espirros](SINTOMA). * Não fiz nenhum teste.",47,0.17935102132994507,inform_symptoms
Desde ontem que me sinto mais ruim.,Desde ontem que me sinto mais ruim.,1,0.1481843603917138,inform_symptoms
"Falta de ar, não. E à noite, fico febril. Tou conseguindo controlar a febre com a Dipirona. É durante o dia, a temperatura é normal.","[Falta de ar](SINTOMA), não. E à noite, fico febril. Tou conseguindo controlar a [febre](SINTOMA) com a Dipirona. É durante o dia, a temperatura é normal.",33,0.10672902812931206,inform_symptoms
"Consigo me manter bem com a Dipirona. Mas hoje, tive dor de cabeça e mal estar. Uma gastura no estômago. Sem vontade de comer.","Consigo me manter bem com a Dipirona. Mas hoje, tive [dor de cabeça](SINTOMA) e [mal estar](SINTOMA). Uma gastura no estômago. Sem vontade de comer.",30,0.08290312392145394,inform_symptoms
Entendí!,Entendí!,61,0.24877702940861013,greeting
Obrigado!,Obrigado!,45,0.1320224002012821,greeting
Boa noite!,Boa noite!,55,0.08156320199942191,greeting
Estou com alguns sintomas desde segunda e queria saber se são sintomas de covid,Estou com alguns sintomas desde segunda e queria saber se são sintomas de covid,33,0.15907116184794545,inform_symptoms
"Dor no corpo, dor nos olhos, sensação de febre, espirros bem esporádicos e sensação de cansaço","Dor no corpo, [dor nos olhos](SINTOMA), [sensação de febre](SINTOMA), [espirros](SINTOMA) bem esporádicos e sensação de [cansaço](SINTOMA)",47,0.1349533311529829,inform_symptoms
Hoje de manhã senti um pouco de falta de ar. Sinto uma das narinas entupidas,Hoje de manhã senti um pouco de [falta de ar](SINTOMA). Sinto uma das narinas entupidas,89,0.08852205692807236,inform_symptoms
Certo,Certo,40,0.4078325654474857,inform_symptoms
Tenho rinite e sinusite,Tenho rinite e [sinusite](SINTOMA),27,0.14108927921063474,inform_symptoms
Sinto como se o nariz tivesse entupido. Fui dar aula on-line hoje de manhã e me senti ofegante ao falar,Sinto como se o nariz tivesse entupido. Fui dar aula on-line hoje de manhã e me senti ofegante ao falar,30,0.10309587917051177,inform_symptoms
"Eu to com sensação de febre. Mas, não tenho termômetro em casa","Eu to com [sensação de febre](SINTOMA). Mas, não tenho termômetro em casa",30,0.09683705752716565,inform_symptoms
Tomei Tylenol ontem,Tomei Tylenol ontem,88,0.20237873221961944,inform_medicine
Dor na nuca e nas costas bem acentuada. É um pouco de pigarro na garganta.. Eu tossi durante a aula,Dor na nuca e nas costas bem acentuada. É um pouco de pigarro na [garganta](SINTOMA).. Eu tossi durante a aula,47,0.10657247363771027,inform_symptoms
Muito leve,Muito leve,11,0.2495857702597989,greeting
"Como se eu tivesse dormido de mal jeito, machucado. Fica tensionada e dói quando mexo a cabeça","Como se eu tivesse dormido de mal jeito, machucado. Fica tensionada e dói quando mexo a cabeça",63,0.08039828285687889,inform_symptoms
É,É,43,0.2929238879160396,inform_symptoms
Nariz entupido é considerado sintoma de covid? Ou só a sensação de falta de ar?,[Nariz](SINTOMA) entupido é considerado sintoma de covid? Ou só a sensação de [falta de ar](SINTOMA)?,75,0.1035808384421234,inform_symptoms
"Sim. Como eu tenho alergia a muitas coisas, penso que pode ser uma crise alérgica","Sim. Como eu tenho [alergia](SINTOMA) a muitas coisas, penso que pode ser uma crise alérgica",33,0.08436278227919802,inform_symptoms
Só fico preocupada em relação aos medicamentos,Só fico preocupada em relação aos medicamentos,33,0.16855818378881504,inform_symptoms
Quais posso tomar para melhorar a dor e a obstrução nasal,Quais posso tomar para melhorar a dor e a obstrução nasal,81,0.18097387604315984,inform_symptoms
Tylenol ou paracetamol,Tylenol ou paracetamol,31,0.13153211531857567,inform_medicine
Posso retomar o uso do Alektos? Me sinto bem quando uso,Posso retomar o uso do Alektos? Me sinto bem quando uso,6,0.12375438289883056,request_inform
Não costumo ter crise alérgica,Não costumo ter crise alérgica,37,0.19684705466855257,inform_symptoms
Eu tenho Maresis aqui. Pode ser ele?,Eu tenho Maresis aqui. Pode ser ele?,6,0.13286342466936596,request_inform
Ou soro mesmo?,Ou soro mesmo?,12,0.13221633245910347,request_inform
Ok,Ok,60,0.20257816227001735,greeting
Não. Ficarei me observando,Não. Ficarei me observando,4,0.16693579371571177,inform_symptoms
Brigadaa,Brigadaa,69,0.32118624238565274,inform_medicine
Falta de apetite perda do alfato labios e boca seca boca amarga,Falta de apetite perda do alfato labios e [boca seca boca amarga](SINTOMA),15,0.12842927380113067,inform_symptoms
Dor não sei se é nas costas a pressa que dá é na costela   Dificuldade na respiração    Falta de apetite  Tosse  Náuseas  Congestão nasal nariz entupido,Dor não sei se é nas costas a pressa que dá é na costela   Dificuldade na respiração    Falta de apetite  Tosse  Náuseas  [Congestão nasal](SINTOMA) [nariz](SINTOMA) entupido,47,0.13780616559708403,inform_symptoms
Lábios secos boca seca,Lábios secos [boca seca](SINTOMA),15,0.26017014801575533,inform_symptoms
Entalo na garganta e dor no estomago,Entalo na [garganta](SINTOMA) e dor no estomago,85,0.09474634971321738,inform_symptoms
Respiração pra dentro profunda e solta o pouco não sei explicar as vezes tenho muito ar outra vezes pouca,Respiração pra dentro profunda e solta o pouco não sei explicar as vezes tenho muito ar outra vezes pouca,30,0.1418095961131357,inform_symptoms
Da vontade de tosse e eu respiro pela boca pra voltar a respirar normal,Da vontade de [tosse](SINTOMA) e eu respiro pela boca pra voltar a respirar normal,63,0.11133825380640316,inform_symptoms
Tá,Tá,84,0.23001079949249947,greeting
"Ola, boa noite!","Ola, boa noite!",55,0.1122945020935886,greeting
"Os sintomas que venho sentido hj é dor de cabeca, nariz entupido e desde ontem venho sentindo dor de barriga, tudo que como vem me dando dor de barrigas","Os sintomas que venho sentido hj é dor de cabeca, nariz entupido e desde ontem venho sentindo [dor de](SINTOMA) barriga, tudo que como vem me dando dor de barrigas",30,0.08216597302839246,inform_symptoms
"A gripe vai fzr duas semanas, no início me deu febre e dores no corpo, hj não sinto mais febre e nem dor no corpo, mas dar um pouco de dor de cabeça e ontem comecei a ter dor de barriga.","A gripe vai fzr duas semanas, no início me deu [febre](SINTOMA) e dores no corpo, hj não sinto mais [febre](SINTOMA) e nem [dor](SINTOMA) no corpo, mas dar um pouco de [dor de cabeça](SINTOMA) e ontem comecei a ter [dor de barriga](SINTOMA).",30,0.05503470705337288,inform_symptoms
Tá bom Dra.,Tá bom Dra.,84,0.18055480919336597,greeting
Detalhe eu to sem o olfato e paladar.,Detalhe eu to sem o olfato e paladar.,33,0.1734750115529854,inform_symptoms
Entendi.,Entendi.,61,0.270038038542609,greeting
Ficarei me hidratando e seguirei suas orientações.,Ficarei me hidratando e seguirei suas orientações.,32,0.21037887138768763,greeting
Somente isso mesmo.,Somente isso mesmo.,91,0.1144384568499831,greeting
Estou sentindo um pouco de falta de ar,Estou sentindo um pouco de [falta de ar](SINTOMA),13,0.12622273363245073,inform_symptoms
Só falta de ar,Só [falta de ar](SINTOMA),13,0.13536421477235094,inform_symptoms
Repouso,Repouso,42,0.22139412601939346,inform_symptoms
Até agora não coloquei o termômetro agora,Até agora não coloquei o termômetro agora,14,0.18625113760575496,request_inform
Como tô chorando o nariz fica ruim. Pq tenho renite,Como tô chorando o nariz fica ruim. Pq tenho renite,1,0.1023560681111585,inform_symptoms
E a falta de ar??,E a [falta de ar](SINTOMA)??,12,0.15996502319598338,request_inform
Como faço?,Como faço?,41,0.1814695222279612,request_inform
Tem algum exercício para a falta de ar?,Tem algum exercício para a [falta de ar](SINTOMA)?,75,0.11898380439368761,inform_symptoms
