txt,annotated_txt,label,distance,intent
Tô  muito nervosa Marcela com tudo isso,Tô  muito nervosa Marcela com tudo isso,14,0.30351425252906317,inform_symptoms
Tem algum remédio  que a pessoa tome para se acalmar,Tem algum remédio  que a pessoa tome para se acalmar,24,0.34807010960911644,request_inform
Tá  certo,Tá  certo,60,0.19795167855129636,greeting
Tá  bom,Tá  bom,43,0.25082220691585866,greeting
"Obrigada , que Deus  te abençoe","Obrigada , que Deus  te abençoe",50,0.1580739202842797,greeting
Obrigada,Obrigada,45,0.18555861051506795,greeting
Estamos abalados emocionalmente,Estamos abalados emocionalmente,48,0.2985633174302764,inform_symptoms
Não pelo contrário estão ajudando,Não pelo contrário estão ajudando,7,0.33085320542895236,greeting
"Como assim doutora, cuidar de sí ?","Como assim doutora, cuidar de sí ?",6,0.37868683494068045,request_inform
Estou orientando quanto o vírus por que a viúva é diabética,Estou orientando quanto o vírus por que a viúva é diabética,49,0.3897785029195764,request_inform
Gosta de ajudar outras pessoas,Gosta de ajudar outras pessoas,62,0.3439962104663178,request_inform
"Queria  a polícia pra dar uma orientação , possa ser que eles acreditem, pois já que não conhecem","Queria  a polícia pra dar uma orientação , possa ser que eles acreditem, pois já que não conhecem",62,0.4182396230398552,request_inform
É minha única esperança,É minha única esperança,80,0.30151245915716607,inform_symptoms
Obrigada assim mesmo por a atenção e Jesus te lave com o sangue do cordeiro e te cubra de saúde,Obrigada assim mesmo por a atenção e Jesus te lave com o sangue do cordeiro e te cubra de saúde,67,0.441195126416732,greeting
Fica com Deus! Thau!,Fica com Deus! Thau!,50,0.3383276626795434,greeting
Boa tarde!,Boa tarde!,52,0.13812249261824106,greeting
"Estou a 03 dias com febre e tosse seca, muitas dores nas costas","Estou a 03 dias com [febre](SINTOMA) e [tosse seca](SINTOMA), muitas dores nas costas",76,0.1996045652187881,inform_symptoms
"Durante esse período de febre tomei Dipirona monoidratada, porém a febre vai e volta.","Durante esse período de [febre](SINTOMA) tomei Dipirona monoidratada, porém a [febre](SINTOMA) vai e volta.",53,0.3788366768368424,inform_medicine
"Um pouco, acho que por conta da tosse","Um pouco, acho que por conta da [tosse](SINTOMA)",59,0.34425231945346546,inform_symptoms
O problema é encontrar um posto de Saúde funcionando,O problema é encontrar um posto de Saúde funcionando,21,0.39967679040968807,request_inform
Febre controlada com Dipirona 1g,[Febre](SINTOMA) controlada com Dipirona 1g,53,0.4648174637694671,inform_medicine
"Tosse, coisa e espirros controlados com Alexofedrin D.","[Tosse](SINTOMA), coisa e espirros controlados com Alexofedrin D.",33,0.4234755012282414,inform_symptoms
"Não foi feito nenhum exame. O médico passou Dipirona 1g, se febre. Alexofedrin D, pra Corisa e espirros. Sekí xarope pra tosse. Pediu pra me manter em casa.","Não foi feito nenhum exame. O médico passou Dipirona 1g, se [febre](SINTOMA). Alexofedrin D, pra Corisa e [espirros](SINTOMA). Sekí xarope pra [tosse](SINTOMA). Pediu pra me manter em casa.",53,0.36784116165673997,inform_medicine
Todos esses sintomas consigo controlar com os medicamentos.,Todos esses sintomas consigo controlar com os medicamentos.,75,0.25258482958553785,inform_symptoms
Minha preocupação é ter uma pneumonia silenciosa.,Minha preocupação é ter uma [pneumonia](SINTOMA) silenciosa.,34,0.3311195252768304,inform_symptoms
Ok. Entendí.,Ok. Entendí.,60,0.21015141358543177,greeting
Tou tomando Alexofedrin pros espirros e Corisa. É pra eu suspender?,Tou tomando Alexofedrin pros [espirros](SINTOMA) e Corisa. É pra eu suspender?,53,0.4099974576916363,inform_medicine
Ótimo.,Ótimo.,43,0.3878850916572565,greeting
Obrigada!,Obrigada!,45,0.15911796565460046,greeting
"Sintomas hoje:  * dor de cabeça, mal estar estomacal e falta de apetite. * Dia 24/04, sentí os primeiros sintomas. Espirros e corisa. Dia 20, tive contato com covid positivado. * Fui ao médico. Receitou: -Dipirona 1g, se febre ou dor. -Seki, se tosse. -Alegra D, se espirros. * Não fiz nenhum teste.","Sintomas hoje:  * [dor de cabeça](SINTOMA), [mal estar](SINTOMA) estomacal e falta de apetite. * Dia 24/04, sentí os primeiros sintomas. [Espirros](SINTOMA) e corisa. Dia 20, tive contato com covid positivado. * Fui ao médico. Receitou: -Dipirona 1g, se [febre](SINTOMA) ou dor. -Seki, se [tosse](SINTOMA). -Alegra D, se [espirros](SINTOMA). * Não fiz nenhum teste.",30,0.2462257347598631,inform_symptoms
Desde ontem que me sinto mais ruim.,Desde ontem que me sinto mais ruim.,47,0.27596222655591784,inform_symptoms
"Falta de ar, não. E à noite, fico febril. Tou conseguindo controlar a febre com a Dipirona. É durante o dia, a temperatura é normal.","[Falta de ar](SINTOMA), não. E à noite, fico febril. Tou conseguindo controlar a [febre](SINTOMA) com a Dipirona. É durante o dia, a temperatura é normal.",30,0.2976058188238546,inform_symptoms
"Já cheguei a 38⁰. Essas últimas noites, 37,8⁰ e 37,9⁰.","Já cheguei a 38⁰. Essas últimas noites, 37,8⁰ e 37,9⁰.",36,0.23861499086232263,inform_symptoms
"Consigo me manter bem com a Dipirona. Mas hoje, tive dor de cabeça e mal estar. Uma gastura no estômago. Sem vontade de comer.","Consigo me manter bem com a Dipirona. Mas hoje, tive [dor de cabeça](SINTOMA) e [mal estar](SINTOMA). Uma gastura no estômago. Sem vontade de comer.",30,0.2832811205006426,inform_symptoms
Obrigado!,Obrigado!,45,0.15974803716557506,greeting
Boa noite!,Boa noite!,52,0.1497099482480987,greeting
Estou com alguns sintomas desde segunda e queria saber se são sintomas de covid,Estou com alguns sintomas desde segunda e queria saber se são sintomas de covid,75,0.23571415166861875,inform_symptoms
E como devo proceder,E como devo proceder,41,0.19454362312523799,request_inform
"Dor no corpo, dor nos olhos, sensação de febre, espirros bem esporádicos e sensação de cansaço","Dor no corpo, [dor nos olhos](SINTOMA), [sensação de febre](SINTOMA), [espirros](SINTOMA) bem esporádicos e sensação de [cansaço](SINTOMA)",15,0.17426485221033916,inform_symptoms
Hoje de manhã senti um pouco de falta de ar. Sinto uma das narinas entupidas,Hoje de manhã senti um pouco de [falta de ar](SINTOMA). Sinto uma das narinas entupidas,47,0.20761575062420534,inform_symptoms
Certo,Certo,60,0.2048395090798215,greeting
Tenho rinite e sinusite,Tenho rinite e [sinusite](SINTOMA),34,0.1277717919752719,inform_symptoms
Sinto como se o nariz tivesse entupido. Fui dar aula on-line hoje de manhã e me senti ofegante ao falar,Sinto como se o nariz tivesse entupido. Fui dar aula on-line hoje de manhã e me senti ofegante ao falar,33,0.2974038771601918,inform_symptoms
Tomei Tylenol ontem,Tomei Tylenol ontem,8,0.33348457843996326,inform_medicine
Hoje só tomei o antialérgico Alektos  Já vinha tomado ele desde antes do isolamento,Hoje só tomei o antialérgico Alektos  Já vinha tomado ele desde antes do isolamento,53,0.31976792220618977,inform_medicine
"Ontem me senti melhor com Tylenol. Mas, o efeito não durou muito","Ontem me senti melhor com Tylenol. Mas, o efeito não durou muito",47,0.34118286677523213,inform_symptoms
Dor na nuca e nas costas bem acentuada. É um pouco de pigarro na garganta.. Eu tossi durante a aula,Dor na nuca e nas costas bem acentuada. É um pouco de pigarro na [garganta](SINTOMA).. Eu tossi durante a aula,63,0.25772235061651083,inform_symptoms
Um pouco só,Um pouco só,59,0.138695261152171,inform_symptoms
É,É,43,0.27646686851727476,greeting
Nariz entupido é considerado sintoma de covid? Ou só a sensação de falta de ar?,[Nariz](SINTOMA) entupido é considerado sintoma de covid? Ou só a sensação de [falta de ar](SINTOMA)?,33,0.3464329874651557,inform_symptoms
"Sim. Como eu tenho alergia a muitas coisas, penso que pode ser uma crise alérgica","Sim. Como eu tenho [alergia](SINTOMA) a muitas coisas, penso que pode ser uma crise alérgica",14,0.3264029691955772,inform_symptoms
Só fico preocupada em relação aos medicamentos,Só fico preocupada em relação aos medicamentos,14,0.290084833830654,inform_symptoms
Quais posso tomar para melhorar a dor e a obstrução nasal,Quais posso tomar para melhorar a dor e a obstrução nasal,24,0.28794708018319615,request_inform
Tylenol ou paracetamol,Tylenol ou paracetamol,40,0.23295709969136058,inform_medicine
No nariz uso Neosoro,No nariz uso Neosoro,1,0.30819251009428006,inform_symptoms
Posso retomar o uso do Alektos? Me sinto bem quando uso,Posso retomar o uso do Alektos? Me sinto bem quando uso,24,0.30335117849850823,request_inform
Não costumo ter crise alérgica,Não costumo ter crise alérgica,34,0.25193678085928606,inform_symptoms
Eu tenho Maresis aqui. Pode ser ele?,Eu tenho Maresis aqui. Pode ser ele?,24,0.42907012891366614,request_inform
Ou soro mesmo?,Ou soro mesmo?,6,0.23930612486667013,request_inform
Ok,Ok,60,0.1427720444851711,greeting
Falta de apetite perda do alfato labios e boca seca boca amarga,Falta de apetite perda do alfato labios e [boca seca boca amarga](SINTOMA),26,0.3153124250518411,inform_symptoms
Dor não sei se é nas costas a pressa que dá é na costela   Dificuldade na respiração    Falta de apetite  Tosse  Náuseas  Congestão nasal nariz entupido,Dor não sei se é nas costas a pressa que dá é na costela   Dificuldade na respiração    Falta de apetite  Tosse  Náuseas  [Congestão nasal](SINTOMA) [nariz](SINTOMA) entupido,15,0.2602526493269578,inform_symptoms
Lábios secos boca seca,Lábios secos [boca seca](SINTOMA),1,0.3543097975971744,inform_symptoms
Entalo na garganta e dor no estomago,Entalo na [garganta](SINTOMA) e dor no estomago,46,0.23009759910165362,inform_symptoms
Respiração pra dentro profunda e solta o pouco não sei explicar as vezes tenho muito ar outra vezes pouca,Respiração pra dentro profunda e solta o pouco não sei explicar as vezes tenho muito ar outra vezes pouca,28,0.321969268809182,inform_symptoms
Da vontade de tosse e eu respiro pela boca pra voltar a respirar normal,Da vontade de [tosse](SINTOMA) e eu respiro pela boca pra voltar a respirar normal,28,0.2701425796311354,inform_symptoms
Tá,Tá,43,0.24695255911397818,greeting
"Ola, boa noite!","Ola, boa noite!",52,0.09149109458235305,greeting
"Os sintomas que venho sentido hj é dor de cabeca, nariz entupido e desde ontem venho sentindo dor de barriga, tudo que como vem me dando dor de barrigas","Os sintomas que venho sentido hj é dor de cabeca, nariz entupido e desde ontem venho sentindo [dor de](SINTOMA) barriga, tudo que como vem me dando dor de barrigas",30,0.1893210057072745,inform_symptoms
"A gripe vai fzr duas semanas, no início me deu febre e dores no corpo, hj não sinto mais febre e nem dor no corpo, mas dar um pouco de dor de cabeça e ontem comecei a ter dor de barriga.","A gripe vai fzr duas semanas, no início me deu [febre](SINTOMA) e dores no corpo, hj não sinto mais [febre](SINTOMA) e nem [dor](SINTOMA) no corpo, mas dar um pouco de [dor de cabeça](SINTOMA) e ontem comecei a ter [dor de barriga](SINTOMA).",30,0.17809827880315587,inform_symptoms
Detalhe eu to sem o olfato e paladar.,Detalhe eu to sem o olfato e paladar.,26,0.2469050518203889,inform_symptoms
Estou sentindo um pouco de falta de ar,Estou sentindo um pouco de [falta de ar](SINTOMA),27,0.1264411523350647,inform_symptoms
E moro sozinha,E moro sozinha,80,0.2668993417657737,inform_symptoms
Só falta de ar,Só [falta de ar](SINTOMA),27,0.17436935660618458,inform_symptoms
Como tô chorando o nariz fica ruim. Pq tenho renite,Como tô chorando o nariz fica ruim. Pq tenho renite,1,0.28736488023769335,inform_symptoms
E a falta de ar??,E a [falta de ar](SINTOMA)??,27,0.2257791410277723,inform_symptoms
Como faço?,Como faço?,41,0.1692299989672057,request_inform
Só o coração acelerado,Só o coração acelerado,31,0.4413538444566918,inform_symptoms
Tem algum exercício para a falta de ar?,Tem algum exercício para a [falta de ar](SINTOMA)?,27,0.26223321395315025,inform_symptoms
Tá bom,Tá bom,43,0.25082229031703274,greeting
Por favor,Por favor,43,0.3408412593465968,greeting
Ta bem,Ta bem,60,0.1371180273029463,greeting
É pelo whatsapp tbm?,É pelo whatsapp tbm?,6,0.2980481516903839,request_inform
Boa noite Dr. Estou com crise de ansiedade. Coração acelerado. Falta de ar,Boa noite Dr. Estou com crise de [ansiedade](SINTOMA). Coração acelerado. [Falta de ar](SINTOMA),14,0.2882045608467161,inform_symptoms
Nunca fiquei com falta de ar,Nunca fiquei com [falta de ar](SINTOMA),27,0.1695199269272588,inform_symptoms
E uma vez até minha pressao subiu,E uma vez até minha pressao subiu,80,0.3019804685200096,inform_symptoms
O coração acelerado desde ontem. Mas a falta de ar hj,O coração acelerado desde ontem. Mas a [falta de ar](SINTOMA) hj,47,0.3496745829732003,inform_symptoms
Sozinha,Sozinha,43,0.3231252786067974,greeting
Estou conseguindo treinar estudar ontem fiz tudo,Estou conseguindo treinar estudar ontem fiz tudo,8,0.2923961167300355,inform_medicine
Não posso tomar medicação alguma sou alérgica,Não posso tomar medicação alguma sou alérgica,24,0.2551965440099835,request_inform
Já q sou alérgica,Já q sou alérgica,34,0.2876946051520842,inform_symptoms
E essa falta de ar? Tem algum exercício,E essa [falta de ar](SINTOMA)? Tem algum exercício,27,0.23327586323754368,inform_symptoms
O coração acelerado,O coração acelerado,17,0.4743634718420119,inform_symptoms
Que médico??,Que médico??,41,0.24374140558980628,request_inform
Tá bem,Tá bem,60,0.137117929211948,greeting
E como eu faço agora p pelo menos dormir,E como eu faço agora p pelo menos dormir,80,0.2646273580717101,inform_symptoms
E p hj o q vc me indica?,E p hj o q vc me indica?,41,0.30250209550466667,request_inform
Tá bem. Vou tentar!!,Tá bem. Vou tentar!!,60,0.27055881207880916,greeting
Vai ser difícil é ter vaga né,Vai ser difícil é ter vaga né,80,0.32367184872210275,inform_symptoms
Obrigada. Não não!! Vou tentar fazer o q vc falou,Obrigada. Não não!! Vou tentar fazer o q vc falou,7,0.28304274762952775,greeting
Ainda sinto um pouco de falta de ar e taquicardia,Ainda sinto um pouco de [falta de ar](SINTOMA) e [taquicardia](SINTOMA),27,0.21195974427996667,inform_symptoms
Desde de ontem,Desde de ontem,8,0.23253250577186013,inform_medicine
Nenhuma febre,Nenhuma [febre](SINTOMA),39,0.14649436536778526,inform_symptoms
Não é grande só q sinto dificuldade o q não é normalmente,Não é grande só q sinto dificuldade o q não é normalmente,14,0.37281560004434033,inform_symptoms
Respiro com mais facilidade,Respiro com mais facilidade,28,0.25885166099202905,inform_symptoms
E tem a taquicardia,E tem a [taquicardia](SINTOMA),38,0.2704311991598344,inform_symptoms
Raramente fico doente,Raramente fico doente,48,0.22271323493352368,inform_symptoms
"Isso também influencia em eu ser ""imune"" aos sintomas do covid 19","Isso também influencia em eu ser ""imune"" aos sintomas do covid 19",49,0.2817705428079762,request_inform
