txt,annotated_txt,label,distance,intent
Tô  muito nervosa Marcela com tudo isso,Tô  muito nervosa Marcela com tudo isso,14,0.5378763165616702,inform_symptoms
O meu problema  é  psicológico    nem dormi estou  conseguindo,O meu problema  é  psicológico    nem dormi estou  conseguindo,14,0.397215874673568,inform_symptoms
Tem algum remédio  que a pessoa tome para se acalmar,Tem algum remédio  que a pessoa tome para se acalmar,71,0.3305996511138334,inform_medicine
Tá  certo,Tá  certo,25,0.22057821483137263,greeting
Tá  bom,Tá  bom,25,0.1563781310713791,greeting
"Obrigada , que Deus  te abençoe","Obrigada , que Deus  te abençoe",45,0.14405508949924806,greeting
Obrigada,Obrigada,45,0.10608911604274462,greeting
Estamos abalados emocionalmente,Estamos abalados emocionalmente,56,0.5304570230120709,inform_symptoms
Estou orientando quanto o vírus por que a viúva é diabética,Estou orientando quanto o vírus por que a viúva é diabética,53,0.40880832875840645,request_inform
"Se precisar financeiramente sim! Mas atitudes como levar a médico acompanhar, orienta pra procurar os serviços de saúde ""somos  nós""","Se precisar financeiramente sim! Mas atitudes como levar a médico acompanhar, orienta pra procurar os serviços de saúde ""somos  nós""",24,0.535900896252971,request_inform
Obrigada assim mesmo por a atenção e Jesus te lave com o sangue do cordeiro e te cubra de saúde,Obrigada assim mesmo por a atenção e Jesus te lave com o sangue do cordeiro e te cubra de saúde,50,0.6074756100121204,greeting
Fica com Deus! Thau!,Fica com Deus! Thau!,50,0.46742034354003037,greeting
Boa tarde!,Boa tarde!,52,0.1843335382820227,greeting
"Estou a 03 dias com febre e tosse seca, muitas dores nas costas","Estou a 03 dias com [febre](SINTOMA) e [tosse seca](SINTOMA), muitas dores nas costas",13,0.20488274814283236,inform_symptoms
"Durante esse período de febre tomei Dipirona monoidratada, porém a febre vai e volta.","Durante esse período de [febre](SINTOMA) tomei Dipirona monoidratada, porém a [febre](SINTOMA) vai e volta.",3,0.2862442145879781,inform_symptoms
"Um pouco, acho que por conta da tosse","Um pouco, acho que por conta da [tosse](SINTOMA)",17,0.18999090254869722,inform_symptoms
Febre controlada com Dipirona 1g,[Febre](SINTOMA) controlada com Dipirona 1g,5,0.40227208416930993,inform_medicine
"Tosse, coisa e espirros controlados com Alexofedrin D.","[Tosse](SINTOMA), coisa e espirros controlados com Alexofedrin D.",27,0.47812988441477244,inform_symptoms
