txt,annotated_txt,label,distance,intent
Tô  muito nervosa Marcela com tudo isso,Tô  muito nervosa Marcela com tudo isso,11,0.14594415270795214,inform_symptoms
Com muito medo,Com muito medo,64,0.2717748190597048,inform_symptoms
Não,Não,7,0.12957679191826788,greeting
Tem algum remédio  que a pessoa tome para se acalmar,Tem algum remédio  que a pessoa tome para se acalmar,6,0.1763216910458404,request_inform
Tá  certo,Tá  certo,84,0.11324969123202377,greeting
Tá  bom,Tá  bom,84,0.16863035110207214,greeting
"Obrigada , que Deus  te abençoe","Obrigada , que Deus  te abençoe",50,0.05832178981926428,greeting
Obrigada,Obrigada,32,0.09814897661231525,greeting
Eu preciso de um psicólogo pra eles O luto é patológico e o temor do Corona está acabando com eles,Eu preciso de um psicólogo pra eles O luto é patológico e o temor do Corona está acabando com eles,21,0.12315188407006783,inform_symptoms
Nossa família toda é assim!,Nossa família toda é assim!,25,0.19017823747608376,inform_symptoms
Boa tarde!,Boa tarde!,52,0.05978348935352884,greeting
"Estou a 03 dias com febre e tosse seca, muitas dores nas costas","Estou a 03 dias com [febre](SINTOMA) e [tosse seca](SINTOMA), muitas dores nas costas",47,0.08356884803418618,inform_symptoms
"Durante esse período de febre tomei Dipirona monoidratada, porém a febre vai e volta.","Durante esse período de [febre](SINTOMA) tomei Dipirona monoidratada, porém a [febre](SINTOMA) vai e volta.",16,0.11180353724203618,inform_medicine
"Um pouco, acho que por conta da tosse","Um pouco, acho que por conta da [tosse](SINTOMA)",59,0.1726894765495829,inform_symptoms
Febre controlada com Dipirona 1g,[Febre](SINTOMA) controlada com Dipirona 1g,40,0.2266783549535003,inform_medicine
"Não foi feito nenhum exame. O médico passou Dipirona 1g, se febre. Alexofedrin D, pra Corisa e espirros. Sekí xarope pra tosse. Pediu pra me manter em casa.","Não foi feito nenhum exame. O médico passou Dipirona 1g, se [febre](SINTOMA). Alexofedrin D, pra Corisa e [espirros](SINTOMA). Sekí xarope pra [tosse](SINTOMA). Pediu pra me manter em casa.",16,0.13457614136372975,inform_medicine
Minha preocupação é ter uma pneumonia silenciosa.,Minha preocupação é ter uma [pneumonia](SINTOMA) silenciosa.,34,0.16406511952650082,inform_symptoms
Tou tomando Alexofedrin pros espirros e Corisa. É pra eu suspender?,Tou tomando Alexofedrin pros [espirros](SINTOMA) e Corisa. É pra eu suspender?,71,0.18125259668018445,inform_symptoms
Obrigada!,Obrigada!,32,0.08279171626582338,greeting
Desde ontem que me sinto mais ruim.,Desde ontem que me sinto mais ruim.,48,0.18171469723674005,inform_symptoms
"Falta de ar, não. E à noite, fico febril. Tou conseguindo controlar a febre com a Dipirona. É durante o dia, a temperatura é normal.","[Falta de ar](SINTOMA), não. E à noite, fico febril. Tou conseguindo controlar a [febre](SINTOMA) com a Dipirona. É durante o dia, a temperatura é normal.",39,0.11028208264328032,inform_symptoms
Não.,Não.,7,0.131417979321798,greeting
Obrigado!,Obrigado!,32,0.07780969040262664,greeting
Boa noite!,Boa noite!,52,0.052432216936003195,greeting
Estou com alguns sintomas desde segunda e queria saber se são sintomas de covid,Estou com alguns sintomas desde segunda e queria saber se são sintomas de covid,21,0.1316433745723684,inform_symptoms
"Dor no corpo, dor nos olhos, sensação de febre, espirros bem esporádicos e sensação de cansaço","Dor no corpo, [dor nos olhos](SINTOMA), [sensação de febre](SINTOMA), [espirros](SINTOMA) bem esporádicos e sensação de [cansaço](SINTOMA)",36,0.10059903065863351,inform_symptoms
Hoje de manhã senti um pouco de falta de ar. Sinto uma das narinas entupidas,Hoje de manhã senti um pouco de [falta de ar](SINTOMA). Sinto uma das narinas entupidas,47,0.12209633548987087,inform_symptoms
Tenho rinite e sinusite,Tenho rinite e [sinusite](SINTOMA),53,0.19113754051118004,inform_symptoms
