txt,annotated_txt,label,distance,intent
Tô  muito nervosa Marcela com tudo isso,Tô  muito nervosa Marcela com tudo isso,14,0.30351425252906317,inform_symptoms
Tá  certo,Tá  certo,60,0.19795167855129636,greeting
Tá  bom,Tá  bom,43,0.25082220691585866,greeting
"Obrigada , que Deus  te abençoe","Obrigada , que Deus  te abençoe",50,0.1580739202842797,greeting
É minha única esperança,É minha única esperança,80,0.30151245915716607,inform_symptoms
Boa tarde!,Boa tarde!,52,0.13812249261824106,greeting
"Estou a 03 dias com febre e tosse seca, muitas dores nas costas","Estou a 03 dias com [febre](SINTOMA) e [tosse seca](SINTOMA), muitas dores nas costas",76,0.1996045652187881,inform_symptoms
Todos esses sintomas consigo controlar com os medicamentos.,Todos esses sintomas consigo controlar com os medicamentos.,75,0.25258482958553785,inform_symptoms
Ok. Entendí.,Ok. Entendí.,60,0.21015141358543177,greeting
Obrigada!,Obrigada!,45,0.15911796565460046,greeting
"Sintomas hoje:  * dor de cabeça, mal estar estomacal e falta de apetite. * Dia 24/04, sentí os primeiros sintomas. Espirros e corisa. Dia 20, tive contato com covid positivado. * Fui ao médico. Receitou: -Dipirona 1g, se febre ou dor. -Seki, se tosse. -Alegra D, se espirros. * Não fiz nenhum teste.","Sintomas hoje:  * [dor de cabeça](SINTOMA), [mal estar](SINTOMA) estomacal e falta de apetite. * Dia 24/04, sentí os primeiros sintomas. [Espirros](SINTOMA) e corisa. Dia 20, tive contato com covid positivado. * Fui ao médico. Receitou: -Dipirona 1g, se [febre](SINTOMA) ou dor. -Seki, se [tosse](SINTOMA). -Alegra D, se [espirros](SINTOMA). * Não fiz nenhum teste.",30,0.2462257347598631,inform_symptoms
"Já cheguei a 38⁰. Essas últimas noites, 37,8⁰ e 37,9⁰.","Já cheguei a 38⁰. Essas últimas noites, 37,8⁰ e 37,9⁰.",36,0.23861499086232263,inform_symptoms
Obrigado!,Obrigado!,45,0.15974803716557506,greeting
Boa noite!,Boa noite!,52,0.1497099482480987,greeting
Estou com alguns sintomas desde segunda e queria saber se são sintomas de covid,Estou com alguns sintomas desde segunda e queria saber se são sintomas de covid,75,0.23571415166861875,inform_symptoms
E como devo proceder,E como devo proceder,41,0.19454362312523799,request_inform
"Dor no corpo, dor nos olhos, sensação de febre, espirros bem esporádicos e sensação de cansaço","Dor no corpo, [dor nos olhos](SINTOMA), [sensação de febre](SINTOMA), [espirros](SINTOMA) bem esporádicos e sensação de [cansaço](SINTOMA)",15,0.17426485221033916,inform_symptoms
Hoje de manhã senti um pouco de falta de ar. Sinto uma das narinas entupidas,Hoje de manhã senti um pouco de [falta de ar](SINTOMA). Sinto uma das narinas entupidas,47,0.20761575062420534,inform_symptoms
Certo,Certo,60,0.2048395090798215,greeting
Tenho rinite e sinusite,Tenho rinite e [sinusite](SINTOMA),34,0.1277717919752719,inform_symptoms
Hoje só tomei o antialérgico Alektos  Já vinha tomado ele desde antes do isolamento,Hoje só tomei o antialérgico Alektos  Já vinha tomado ele desde antes do isolamento,53,0.31976792220618977,inform_medicine
Dor na nuca e nas costas bem acentuada. É um pouco de pigarro na garganta.. Eu tossi durante a aula,Dor na nuca e nas costas bem acentuada. É um pouco de pigarro na [garganta](SINTOMA).. Eu tossi durante a aula,63,0.25772235061651083,inform_symptoms
Um pouco só,Um pouco só,59,0.138695261152171,inform_symptoms
É,É,43,0.27646686851727476,greeting
Só fico preocupada em relação aos medicamentos,Só fico preocupada em relação aos medicamentos,14,0.290084833830654,inform_symptoms
Tylenol ou paracetamol,Tylenol ou paracetamol,40,0.23295709969136058,inform_medicine
Não costumo ter crise alérgica,Não costumo ter crise alérgica,34,0.25193678085928606,inform_symptoms
Ou soro mesmo?,Ou soro mesmo?,6,0.23930612486667013,request_inform
Ok,Ok,60,0.1427720444851711,greeting
Tá,Tá,43,0.24695255911397818,greeting
"Ola, boa noite!","Ola, boa noite!",52,0.09149109458235305,greeting
"Os sintomas que venho sentido hj é dor de cabeca, nariz entupido e desde ontem venho sentindo dor de barriga, tudo que como vem me dando dor de barrigas","Os sintomas que venho sentido hj é dor de cabeca, nariz entupido e desde ontem venho sentindo [dor de](SINTOMA) barriga, tudo que como vem me dando dor de barrigas",30,0.1893210057072745,inform_symptoms
"A gripe vai fzr duas semanas, no início me deu febre e dores no corpo, hj não sinto mais febre e nem dor no corpo, mas dar um pouco de dor de cabeça e ontem comecei a ter dor de barriga.","A gripe vai fzr duas semanas, no início me deu [febre](SINTOMA) e dores no corpo, hj não sinto mais [febre](SINTOMA) e nem [dor](SINTOMA) no corpo, mas dar um pouco de [dor de cabeça](SINTOMA) e ontem comecei a ter [dor de barriga](SINTOMA).",30,0.17809827880315587,inform_symptoms
Estou sentindo um pouco de falta de ar,Estou sentindo um pouco de [falta de ar](SINTOMA),27,0.1264411523350647,inform_symptoms
E moro sozinha,E moro sozinha,80,0.2668993417657737,inform_symptoms
Só falta de ar,Só [falta de ar](SINTOMA),27,0.17436935660618458,inform_symptoms
E a falta de ar??,E a [falta de ar](SINTOMA)??,27,0.2257791410277723,inform_symptoms
Como faço?,Como faço?,41,0.1692299989672057,request_inform
Tá bom,Tá bom,43,0.25082229031703274,greeting
Ta bem,Ta bem,60,0.1371180273029463,greeting
É pelo whatsapp tbm?,É pelo whatsapp tbm?,6,0.2980481516903839,request_inform
Boa noite Dr. Estou com crise de ansiedade. Coração acelerado. Falta de ar,Boa noite Dr. Estou com crise de [ansiedade](SINTOMA). Coração acelerado. [Falta de ar](SINTOMA),14,0.2882045608467161,inform_symptoms
