txt,annotated_txt,label,distance,intent
Tem algum remédio  que a pessoa tome para se acalmar,Tem algum remédio  que a pessoa tome para se acalmar,71,0.3305996511138334,inform_medicine
Tá  certo,Tá  certo,25,0.22057821483137263,greeting
Tá  bom,Tá  bom,25,0.1563781310713791,greeting
"Obrigada , que Deus  te abençoe","Obrigada , que Deus  te abençoe",45,0.14405508949924806,greeting
Obrigada,Obrigada,45,0.10608911604274462,greeting
Boa tarde!,Boa tarde!,52,0.1843335382820227,greeting
"Estou a 03 dias com febre e tosse seca, muitas dores nas costas","Estou a 03 dias com [febre](SINTOMA) e [tosse seca](SINTOMA), muitas dores nas costas",13,0.20488274814283236,inform_symptoms
"Um pouco, acho que por conta da tosse","Um pouco, acho que por conta da [tosse](SINTOMA)",17,0.18999090254869722,inform_symptoms
Ótimo.,Ótimo.,25,0.2780834150975876,greeting
Obrigada!,Obrigada!,45,0.13240625712692222,greeting
"Sintomas hoje:  * dor de cabeça, mal estar estomacal e falta de apetite. * Dia 24/04, sentí os primeiros sintomas. Espirros e corisa. Dia 20, tive contato com covid positivado. * Fui ao médico. Receitou: -Dipirona 1g, se febre ou dor. -Seki, se tosse. -Alegra D, se espirros. * Não fiz nenhum teste.","Sintomas hoje:  * [dor de cabeça](SINTOMA), [mal estar](SINTOMA) estomacal e falta de apetite. * Dia 24/04, sentí os primeiros sintomas. [Espirros](SINTOMA) e corisa. Dia 20, tive contato com covid positivado. * Fui ao médico. Receitou: -Dipirona 1g, se [febre](SINTOMA) ou dor. -Seki, se [tosse](SINTOMA). -Alegra D, se [espirros](SINTOMA). * Não fiz nenhum teste.",30,0.26789815400757155,inform_symptoms
"Consigo me manter bem com a Dipirona. Mas hoje, tive dor de cabeça e mal estar. Uma gastura no estômago. Sem vontade de comer.","Consigo me manter bem com a Dipirona. Mas hoje, tive [dor de cabeça](SINTOMA) e [mal estar](SINTOMA). Uma gastura no estômago. Sem vontade de comer.",70,0.39580235056284263,inform_symptoms
Obrigado!,Obrigado!,45,0.1658490559198762,greeting
Boa noite!,Boa noite!,52,0.11059964668522082,greeting
E como devo proceder,E como devo proceder,61,0.26366015993332126,request_inform
"Dor no corpo, dor nos olhos, sensação de febre, espirros bem esporádicos e sensação de cansaço","Dor no corpo, [dor nos olhos](SINTOMA), [sensação de febre](SINTOMA), [espirros](SINTOMA) bem esporádicos e sensação de [cansaço](SINTOMA)",39,0.2095903778456213,inform_symptoms
Tenho rinite e sinusite,Tenho rinite e [sinusite](SINTOMA),33,0.27292253309661485,inform_symptoms
"Eu to com sensação de febre. Mas, não tenho termômetro em casa","Eu to com [sensação de febre](SINTOMA). Mas, não tenho termômetro em casa",13,0.25325268997562433,inform_symptoms
"Sim. Como eu tenho alergia a muitas coisas, penso que pode ser uma crise alérgica","Sim. Como eu tenho [alergia](SINTOMA) a muitas coisas, penso que pode ser uma crise alérgica",33,0.2308945423565798,inform_symptoms
Só fico preocupada em relação aos medicamentos,Só fico preocupada em relação aos medicamentos,71,0.3363787783384704,inform_medicine
Quais posso tomar para melhorar a dor e a obstrução nasal,Quais posso tomar para melhorar a dor e a obstrução nasal,6,0.41621476749995046,request_inform
Tylenol ou paracetamol,Tylenol ou paracetamol,40,0.22431322646880913,inform_medicine
Não costumo ter crise alérgica,Não costumo ter crise alérgica,33,0.25213866846414745,inform_symptoms
Ou soro mesmo?,Ou soro mesmo?,12,0.3653427288348,request_inform
Dor não sei se é nas costas a pressa que dá é na costela   Dificuldade na respiração    Falta de apetite  Tosse  Náuseas  Congestão nasal nariz entupido,Dor não sei se é nas costas a pressa que dá é na costela   Dificuldade na respiração    Falta de apetite  Tosse  Náuseas  [Congestão nasal](SINTOMA) [nariz](SINTOMA) entupido,30,0.2965565345183755,inform_symptoms
Entalo na garganta e dor no estomago,Entalo na [garganta](SINTOMA) e dor no estomago,59,0.2178240837265285,inform_symptoms
Respiração pra dentro profunda e solta o pouco não sei explicar as vezes tenho muito ar outra vezes pouca,Respiração pra dentro profunda e solta o pouco não sei explicar as vezes tenho muito ar outra vezes pouca,15,0.3044365453973853,inform_symptoms
Da vontade de tosse e eu respiro pela boca pra voltar a respirar normal,Da vontade de [tosse](SINTOMA) e eu respiro pela boca pra voltar a respirar normal,15,0.2344743376832097,inform_symptoms
"Ola, boa noite!","Ola, boa noite!",52,0.1354689190993894,greeting
"Os sintomas que venho sentido hj é dor de cabeca, nariz entupido e desde ontem venho sentindo dor de barriga, tudo que como vem me dando dor de barrigas","Os sintomas que venho sentido hj é dor de cabeca, nariz entupido e desde ontem venho sentindo [dor de](SINTOMA) barriga, tudo que como vem me dando dor de barrigas",30,0.23363020249703847,inform_symptoms
