txt,label,correct_label,used_intents,intents
Sobre a febre quero entender,request_inform,,inform,inform
Mais isso já faz um mês e meio,inform,,inform_symptoms,inform_symptoms
E pra tosse?,request_inform,,inform_medicine,inform_medicine
Quando eu viro para o outro lado da cama acelera,request_inform,,greeting,greeting
Quero saber o que devemos tomar,request_inform,,request_inform,request_inform
São quantos dias,request_inform,,,unknown
Tendo todos os ciodados,inform,,,
Não . Tomei logo um remedio,inform,,,
Na terça,inform,,,
Nessa doença,inform,,,
2 dias no máximo ..ainda tenho o antibiótico pra tomar,inform,,,
Estou preocupada com meu esposo . Hoje ele passou o dia todo deitado sem força pra levantar,inform_symptoms,,,
Tenho medo,inform_symptoms,,,
Sim tenho tomado de 66,inform,,,
Estes problemas de fígado,inform_symptoms,,,
MuitA,inform,,,
Ontem estava febril,inform_symptoms,,,
Ele acha q está assintomáticos. Mas está com uma tosse seca,inform_symptoms,,,
Agora estou sentindo só pelo final do dia,inform,,,
2 anos atrás,inform,,,
"Boa noite. Faz alguns dias que eu sinto uma dificuldade para respirar. Melhorou quando fiz o uso de ipratrópio com soro fisiológico no aerosol, mas depois minhas amigdalas começaram a inflamar, de forma que dificulta a respiração. Hoje comecei a sentir algumas dores atrás do esterno e na axila esquerda.",inform_symptoms,,,
Cansada em movimentar  nao,inform,,,
15 por 8,inform,,,
"Desconforto na respiração com dores na costa altura do peito, meio tonto e garganta inflamada",inform_symptoms,,,
pois ta certo obrigado  mais um vez,greeting,,,
Aí ele se rolou que molhou o lençol todinho,inform,,,
"Estou com 7 dias hj ainda posso transmitir, pois moro com meus avós",inform,,,
Tenho q ficar em isolamento quantos dias?,request_inform,,,
E o mais prox,inform,,,
Deus abençoe vocês e cuide de vcs por estarem na linha de frente,greeting,unknown,,
Ate aqui o Senhor nos tem ajudado. Obrigada Deus proteja nós  e sia familia em especial vc e td esse exercito de anjos guerreiros da saude.,greeting,,,
"Oi bom dia enfermeiro, desde ja meus parabéns pelo o serviço prestado pela as vidas das pessoas",greeting,,,
"Boa tarde Pela manhã sintie,dor de garganta,o meu nariz amanheceu  escorrendo, dor de cabeça",inform_symptoms,,,
"Sim, irei na segunda lá",inform,,,
Sentindo fraco quando levanto da cama,inform_symptoms,,,
Aqui perto,inform,,,
"Variando entre 37,4 e 37,6",inform,,,
Mas prefiro ir a Fortaleza,inform,,,
Na segunda surgiu uma dor no corpo e moleza,inform_symptoms,,,
Não só isso mesmo muito obrigado,greeting,,,
Mas mesmo sendo sintomas leves como vc falou?,request_inform,,,
Ou vai variar de organismo pra organismo?,request_inform,,,
"O hospital que trabalho, notificou o caso ao sesmit e após sete dias irá me ligar alguém pra marcar ainda a data do exame",inform,,,
Pq minha neta mora comigo,inform,,,
"Não, obrigado pela atenção",greeting,,,
Mas isso está me angustiando muito,inform_symptoms,,,
Ele está domando só quando está com a temperatura do corpo quente sem ainda ter dado a febre mesmo,inform_symptoms,,,
Um pouco cansada ainda,inform_symptoms,,,
"Eu tenho problemas de pressão baixa, então hoje tentei fazer o almoço mas senti minha vista escurecer e quase caia perto do fogão.",inform_symptoms,,,
So o Neosoro msm,inform_medicine,,,
