txt,label,distance,intent,annotated_txt
Há dois tias estou com dor na garganta,45,0.1572830316793743,inform_symptoms,Há dois tias estou com [dor](SINTOMA) na [garganta](SINTOMA)
Estou preocupado pois tenho asma,45,0.1272363283914787,inform_symptoms,Estou preocupado pois tenho [asma](SINTOMA)
Só ontem,22,0.2898684560294955,inform_symptoms,Só ontem
Sim,12,0.1882465312802215,inform,Sim
Chenil e aerodin spray,34,0.2939111263670789,inform_medicine,Chenil e aerodin spray
As duas da tarde,10,0.280694475121603,inform,As duas da tarde
Estou um pouco ofegante,7,0.1661810801652431,inform_symptoms,Estou um pouco ofegante
Não,74,0.1292788612691232,inform,Não
Usei as duas semanas atrás,31,0.2910974889675426,inform,Usei as duas semanas atrás
Não tenho transporte,83,0.1741343968933121,inform,Não tenho transporte
Minha filha está comigo mais está no quarto separado pois ela tem asma também,32,0.1007720482084001,inform,Minha filha está comigo mais está no quarto separado pois ela tem [asma](SINTOMA) também
Não temos carro,83,0.2073086063240342,inform,Não temos carro
Ok,47,0.192948045815443,greeting,Ok
Parada mesmo,82,0.351597776077303,inform,Parada mesmo
Tá certo,58,0.1491288042841129,greeting,Tá certo
Vou deita um pouco,7,0.2065698876955076,inform_symptoms,Vou deita um pouco
Posso toma um maracugina  pra mi acalmar?,79,0.1708033093619522,request_inform,Posso toma um maracugina  pra mi acalmar?
Obrigada,62,0.1413089662313813,greeting,Obrigada
Bem,51,0.2690252493068604,inform,Bem
O Artolin fez efeito,89,0.3078980860056431,inform,O Artolin fez efeito
To respirando melhor  Só a garganta continua doendo,52,0.1768702777867082,inform_symptoms,To respirando melhor  Só a [garganta](SINTOMA) continua doendo
Tem posto de saúde aberto amanhã?,87,0.1178157665709882,request_inform,Tem posto de saúde aberto amanhã?
Sandra Moreira e Flávio Marcílio,21,0.2627491050322098,inform,Sandra Moreira e Flávio Marcílio
Lã é onde está funcionando o Odorico  de Morais,77,0.2321422357855735,inform,Lã é onde está funcionando o Odorico  de Morais
Obrigada  Que Jesus nos abençoe e nos proteja,20,0.1231090210795616,greeting,Obrigada  Que Jesus nos abençoe e nos proteja
"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",90,0.1109815486068814,inform_symptoms,"Sinto um pouco de [dor de cabeça](SINTOMA),um desconforto na [garganta](SINTOMA) e assim um calafrios"
Assim como se tivesse com um bolo na garganta,39,0.1580832724085192,inform_symptoms,Assim como se tivesse com um bolo na [garganta](SINTOMA)
Não tenho falta de ar,37,0.1009135045428668,inform_symptoms,Não tenho [falta de ar](SINTOMA)
uma tosse assim meio leve,64,0.1975286572927357,inform_symptoms,uma [tosse](SINTOMA) assim meio leve
senti dor no corpo mais passou,65,0.1568278174565869,inform_symptoms,senti [dor](SINTOMA) no corpo mais passou
sim,12,0.1958445424105831,inform,sim
Mais tomo paracetamol e passa,42,0.1893674465962032,inform_medicine,Mais tomo paracetamol e passa
Todos os dias a tarde,10,0.2437182824834208,inform,Todos os dias a tarde
fico quente e com calafrios,45,0.2019532642489369,inform_symptoms,fico quente e com calafrios
passou a dor no corpo,65,0.2022831520576162,inform_symptoms,passou a [dor](SINTOMA) no corpo
Só aquele negocio na garganta,28,0.269516899819942,inform_symptoms,Só aquele negocio na [garganta](SINTOMA)
as vezes acho que pode até ser (desculpe )catarro,46,0.181004716259112,inform,as vezes acho que pode até ser (desculpe )[catarro](SINTOMA)
Mais não consigo escarrar,83,0.1666121271034145,inform,Mais não consigo escarrar
"Hoje fiz vinagre, com limão e água morna",15,0.1374345638985183,inform_medicine,"Hoje fiz vinagre, com limão e água morna"
aliviou um pouco,7,0.1706789430827069,inform_symptoms,aliviou um pouco
obg.,51,0.3825062220809353,inform,obg.
uso paracetamol e chá,91,0.2037424754790708,inform_medicine,uso paracetamol e chá
e loratadina,29,0.3399996730916492,inform_symptoms,e loratadina
Tá certo obg.,58,0.1108945262926096,greeting,Tá certo obg.
certo,51,0.3131124609268769,inform,certo
Pra mim fazer uma avaliação assim para minha mãe e meu pai só com os dados deles,32,0.1677360614066262,inform,Pra mim fazer uma avaliação assim para minha mãe e meu pai só com os dados deles
Estão os dois com febre a mais de cinco dias,56,0.1322749208423399,inform_symptoms,Estão os dois com [febre](SINTOMA) a mais de cinco dias
são hipertensos e tem cálculos renais,38,0.2519785710962789,inform_symptoms,são hipertensos e tem cálculos renais
"estão tendo febre toda tarde ,moleza no corpo",65,0.1489167707183778,inform_symptoms,"estão tendo [febre](SINTOMA) toda tarde ,moleza no corpo"
Tem q ter o CPF?,25,0.2601144172604556,request_inform,Tem q ter o CPF?
Pode ser só o nome e CEP Da rua,76,0.2568162383886535,request_inform,Pode ser só o nome e CEP Da rua
Vou abrir o da minha mãe,80,0.1992509510782214,inform,Vou abrir o da minha mãe
Tá,51,0.2905952866289978,inform,Tá
Boa noite como faço pra abrir pra minha mãe?,11,0.1872111000714037,request_inform,Boa noite como faço pra abrir pra minha mãe?
Meu pai,30,0.2456856727067197,inform,Meu pai
Boa noite é porque  meu pai está com,32,0.2094462434196,inform,Boa noite é porque  meu pai está com
"muita febre ,toma paracetamol passa e volta",82,0.2440075050949675,inform,"muita [febre](SINTOMA) ,toma paracetamol passa e volta"
"Ele tem 84 anos ,é hipertenso e tem cálculo renal",17,0.1964842943613465,inform,"Ele tem 84 anos ,é [hipertenso](SINTOMA) e tem cálculo renal"
faz tratamento no cenec,93,0.3043340814294542,request_inform,faz tratamento no cenec
Pois é quero fazer pra ele agora,85,0.2284845611046625,inform_symptoms,Pois é quero fazer pra ele agora
"Tenho que usar outro celular, como faço?",11,0.1538421346453782,request_inform,"Tenho que usar outro celular, como faço?"
Me ajude por favor,72,0.2016412481828985,inform,Me ajude por favor
Tenho que pedir outra pessoa pra fazer isso?,80,0.2262369701384065,inform,Tenho que pedir outra pessoa pra fazer isso?
Tou com o CPF dele,72,0.2672967005325644,inform,Tou com o CPF dele
"Desde o dia 25/04 que comecei a sentir moleza no corpo, febre e a garganta doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou rinossinusite. Passou 10 dias de amoxicilina + clavulanato e antialérgico.",92,0.1015445181651995,inform_symptoms,"Desde o dia 25/04 que comecei a sentir moleza no corpo, [febre](SINTOMA) e a [garganta](SINTOMA) doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou [rinossinusite](SINTOMA). Passou 10 dias de amoxicilina + clavulanato e antialérgico."
"Só que não sinto melhora, perdi o olfato e o paladar",70,0.1247513321950531,inform_symptoms,"Só que não sinto melhora, perdi o olfato e o paladar"
"minha cabeça dói, sinto um peso",65,0.1929397996502245,inform_symptoms,"minha cabeça dói, sinto um peso"
ela me entregou um atestado de 3 dias voltei ao trabalho,92,0.2432634255511787,inform_symptoms,ela me entregou um atestado de 3 dias voltei ao trabalho
então?,76,0.3064965370288937,request_inform,então?
posso procurar fazer o teste particular? se der positivo?,25,0.1318632996663917,request_inform,posso procurar fazer o teste particular? se der positivo?
"dor de cabeça, dor no corpo, ausência de paladar e olfato, febre tenho mas poucas vezes",90,0.1185171065635782,inform_symptoms,"[dor de cabeça](SINTOMA), dor no corpo, ausência de paladar e olfato, [febre](SINTOMA) tenho mas poucas vezes"
"dipirona, sim",12,0.2640744390032296,inform,"dipirona, sim"
não tem como ficar em repouso por conta do trabalho,49,0.171056533379338,inform_symptoms,não tem como ficar em repouso por conta do trabalho
obrigada,62,0.2643808577886419,greeting,obrigada
obrigada pelas dicas,63,0.2024742066985543,greeting,obrigada pelas dicas
boa noite!,67,0.0848637658003059,greeting,boa noite!
Boa noite,67,0.0894865414001792,greeting,Boa noite
Estou com meu pai adoentado,30,0.1994612816127846,inform,Estou com meu pai adoentado
Uns 3 dias de febre ou mais,56,0.2259517676437101,inform_symptoms,Uns 3 dias de [febre](SINTOMA) ou mais
Talvez 4,51,0.2925182638383722,inform,Talvez 4
Todo dia tem febre,44,0.2009465583595516,inform_symptoms,Todo dia tem [febre](SINTOMA)
So que ele nao apresenta falta de ar,37,0.1363114031307394,inform_symptoms,So que ele nao apresenta [falta de ar](SINTOMA)
E depois que passa a febre fica normal... porem ele fica deitado em repouso,92,0.1486417870255961,inform_symptoms,E depois que passa a [febre](SINTOMA) fica normal... porem ele fica deitado em repouso
Ele tosse de vez enquando,27,0.1996565955831155,inform_symptoms,Ele [tosse](SINTOMA) de vez enquando
Ele chegou a passar mal,19,0.2634796339751726,inform_symptoms,Ele chegou a passar mal
Mais foi 1 vez,27,0.2681069970997544,inform_symptoms,Mais foi 1 vez
E n aconteceu mais,43,0.294439252447187,inform,E n aconteceu mais
Ele reclamava de um mal estar no estomago e na cabeça,90,0.1515970702309909,inform_symptoms,Ele reclamava de um [mal estar](SINTOMA) no estomago e na cabeça
E achava o corpo meio quebrado,85,0.2708366512542277,inform_symptoms,E achava o corpo meio quebrado
Ele sempre foi doente da barriga,38,0.2572601925591973,inform_symptoms,Ele sempre foi doente da barriga
Dor de cabeça nao,59,0.1182744324830229,inform_symptoms,[Dor de cabeça](SINTOMA) nao
Na barriga se apertar e um pouco dolorido,65,0.1834168386403439,inform_symptoms,Na barriga se apertar e um pouco [dolorido](SINTOMA)
Sente dor nas pernas,69,0.1152249513834033,inform_symptoms,Sente [dor](SINTOMA) nas pernas
Vomitou 1 vez so,27,0.2371008944915477,inform_symptoms,Vomitou 1 vez so
Foi devido a um remedio,23,0.2975987754090688,request_inform,Foi devido a um remedio
2 dias atras,31,0.2187259137817802,inform,2 dias atras
Ele tem sonolencia,38,0.200693874440245,inform_symptoms,Ele tem sonolencia
Ele nao tem falta de ar,37,0.0981945064737809,inform_symptoms,Ele nao tem [falta de ar](SINTOMA)
Entao como devo proceder?,11,0.1859011439300367,request_inform,Entao como devo proceder?
