txt,label,distance,intent,annotated_txt
Há dois tias estou com dor na garganta,45,0.132921520958644,inform_symptoms,Há dois tias estou com [dor](SINTOMA) na [garganta](SINTOMA)
Estou preocupado pois tenho asma,19,0.1622850951015849,inform_symptoms,Estou preocupado pois tenho [asma](SINTOMA)
Só ontem,27,0.2139999726437661,inform,Só ontem
Sim,58,0.161684065036529,inform,Sim
Chenil e aerodin spray,42,0.1728946826924587,inform_medicine,Chenil e aerodin spray
As duas da tarde,10,0.3110039434187704,inform,As duas da tarde
Estou um pouco ofegante,19,0.1413804189625758,inform_symptoms,Estou um pouco ofegante
Não,74,0.1372631716354758,inform,Não
Usei as duas semanas atrás,31,0.2903920048393644,inform_symptoms,Usei as duas semanas atrás
Não tenho transporte,33,0.1470912471009557,inform,Não tenho transporte
Minha filha está comigo mais está no quarto separado pois ela tem asma também,32,0.1264527550706523,inform_symptoms,Minha filha está comigo mais está no quarto separado pois ela tem [asma](SINTOMA) também
Não temos carro,33,0.175393084086047,inform,Não temos carro
Ok,12,0.1965904350782829,greeting,Ok
Parada mesmo,57,0.3309318898938574,inform,Parada mesmo
Tá certo,50,0.1210823768271061,greeting,Tá certo
Vou deita um pouco,3,0.1910679150418732,inform_symptoms,Vou deita um pouco
Posso toma um maracugina  pra mi acalmar?,25,0.1176275752684954,request_inform,Posso toma um maracugina  pra mi acalmar?
Obrigada,62,0.1593631852233534,greeting,Obrigada
O Artolin fez efeito,28,0.235723387543602,inform_symptoms,O Artolin fez efeito
To respirando melhor  Só a garganta continua doendo,6,0.1413226455421314,inform_symptoms,To respirando melhor  Só a [garganta](SINTOMA) continua doendo
Tem posto de saúde aberto amanhã?,79,0.1754897741252864,request_inform,Tem posto de saúde aberto amanhã?
Sandra Moreira e Flávio Marcílio,29,0.2567187531729914,inform,Sandra Moreira e Flávio Marcílio
Lã é onde está funcionando o Odorico  de Morais,77,0.2030275441907786,inform,Lã é onde está funcionando o Odorico  de Morais
Obrigada  Que Jesus nos abençoe e nos proteja,20,0.1129578759392333,greeting,Obrigada  Que Jesus nos abençoe e nos proteja
"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",52,0.0924464827074819,inform_symptoms,"Sinto um pouco de [dor de cabeça](SINTOMA),um desconforto na [garganta](SINTOMA) e assim um calafrios"
Assim como se tivesse com um bolo na garganta,84,0.1268090120055165,inform_symptoms,Assim como se tivesse com um bolo na [garganta](SINTOMA)
Não tenho falta de ar,37,0.1076834226749445,inform_symptoms,Não tenho [falta de ar](SINTOMA)
uma tosse assim meio leve,64,0.2130944903364041,inform_symptoms,uma [tosse](SINTOMA) assim meio leve
sim,58,0.1492898819141367,inform,sim
Mais tomo paracetamol e passa,43,0.185398835422502,inform,Mais tomo paracetamol e passa
Todos os dias a tarde,31,0.2588586456451084,inform_symptoms,Todos os dias a tarde
Tenho termômetro,8,0.1185083865348953,inform_symptoms,Tenho termômetro
fico quente e com calafrios,45,0.1637678203920249,inform_symptoms,fico quente e com calafrios
passou a dor no corpo,64,0.1696599876713712,inform_symptoms,passou a [dor](SINTOMA) no corpo
