txt,label,distance,intent,annotated_txt
Há dois tias estou com dor na garganta,37,0.2356204933406606,inform_symptoms,Há dois tias estou com [dor](SINTOMA) na [garganta](SINTOMA)
Estou preocupado pois tenho asma,28,0.5484552623524084,inform_symptoms,Estou preocupado pois tenho [asma](SINTOMA)
Só ontem,63,0.0436833177191386,inform,Só ontem
Sim,22,0.0350468025822792,inform,Sim
Chenil e aerodin spray,4,0.2509282801108329,inform_medicine,Chenil e aerodin spray
As duas da tarde,38,0.282976834102999,inform,As duas da tarde
Estou um pouco ofegante,11,0.040175017788776,inform_symptoms,Estou um pouco ofegante
Não,30,0.0297429515727141,inform_symptoms,Não
Usei as duas semanas atrás,42,0.4070201019443564,inform_symptoms,Usei as duas semanas atrás
Não tenho transporte,30,0.1753904952822589,inform_symptoms,Não tenho transporte
Minha filha está comigo mais está no quarto separado pois ela tem asma também,68,0.1384652903710415,inform_symptoms,Minha filha está comigo mais está no quarto separado pois ela tem [asma](SINTOMA) também
Não temos carro,30,0.138307733710951,inform_symptoms,Não temos carro
Ok,88,0.0671084134238165,greeting,Ok
Parada mesmo,8,0.5401212636180306,inform,Parada mesmo
Tá certo,51,0.039435294467111,greeting,Tá certo
Vou deita um pouco,11,0.1842882181541268,inform_symptoms,Vou deita um pouco
Posso toma um maracugina  pra mi acalmar?,11,0.286926871218832,inform_symptoms,Posso toma um maracugina  pra mi acalmar?
Bem,18,0.0662580191039835,inform,Bem
O Artolin fez efeito,60,0.2558756199312527,request_inform,O Artolin fez efeito
To respirando melhor  Só a garganta continua doendo,63,0.3600207127485523,inform,To respirando melhor  Só a [garganta](SINTOMA) continua doendo
Tem posto de saúde aberto amanhã?,43,0.2313431161383883,inform_symptoms,Tem posto de saúde aberto amanhã?
Sandra Moreira e Flávio Marcílio,4,0.4179149794171708,inform_medicine,Sandra Moreira e Flávio Marcílio
Lã é onde está funcionando o Odorico  de Morais,56,0.1664171579529753,inform_symptoms,Lã é onde está funcionando o Odorico  de Morais
Obrigada  Que Jesus nos abençoe e nos proteja,89,0.2118655009758568,inform_symptoms,Obrigada  Que Jesus nos abençoe e nos proteja
"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",86,0.1327672640440551,inform_symptoms,"Sinto um pouco de [dor de cabeça](SINTOMA),um desconforto na [garganta](SINTOMA) e assim um calafrios"
Assim como se tivesse com um bolo na garganta,81,0.1773678884114052,inform_symptoms,Assim como se tivesse com um bolo na [garganta](SINTOMA)
Não tenho falta de ar,41,0.0530615947038168,inform_symptoms,Não tenho [falta de ar](SINTOMA)
uma tosse assim meio leve,53,0.3445466854305361,inform_symptoms,uma [tosse](SINTOMA) assim meio leve
senti dor no corpo mais passou,26,0.2071925311718475,inform_symptoms,senti [dor](SINTOMA) no corpo mais passou
sim,22,0.0350468025822792,inform,sim
Mais tomo paracetamol e passa,20,0.2340528098361085,inform_medicine,Mais tomo paracetamol e passa
Todos os dias a tarde,7,0.180105729446284,inform,Todos os dias a tarde
fico quente e com calafrios,66,0.2947542752627324,request_inform,fico quente e com calafrios
passou a dor no corpo,26,0.2384249892030233,inform_symptoms,passou a [dor](SINTOMA) no corpo
Só aquele negocio na garganta,37,0.2523582404160071,inform_symptoms,Só aquele negocio na [garganta](SINTOMA)
as vezes acho que pode até ser (desculpe )catarro,89,0.2201280041360842,inform_symptoms,as vezes acho que pode até ser (desculpe )[catarro](SINTOMA)
Mais não consigo escarrar,30,0.0874079427024904,inform_symptoms,Mais não consigo escarrar
"Hoje fiz vinagre, com limão e água morna",15,0.2527627646493274,inform_symptoms,"Hoje fiz vinagre, com limão e água morna"
aliviou um pouco,11,0.0401750174938571,inform_symptoms,aliviou um pouco
uso paracetamol e chá,20,0.2085035612332115,inform_medicine,uso paracetamol e chá
e loratadina,4,0.0177138236731921,inform_medicine,e loratadina
Tá certo obg.,51,0.1258406157917647,greeting,Tá certo obg.
certo,51,0.3098084731124736,greeting,certo
Pra mim fazer uma avaliação assim para minha mãe e meu pai só com os dados deles,62,0.1841753039702831,inform_symptoms,Pra mim fazer uma avaliação assim para minha mãe e meu pai só com os dados deles
Estão os dois com febre a mais de cinco dias,7,0.1970128540357403,inform,Estão os dois com [febre](SINTOMA) a mais de cinco dias
são idosos 84 e 74 ela,4,0.4032299317621477,inform_medicine,são idosos 84 e 74 ela
são hipertensos e tem cálculos renais,4,0.3022909752621755,inform_medicine,são hipertensos e tem cálculos renais
"estão tendo febre toda tarde ,moleza no corpo",75,0.2916001384661898,inform_symptoms,"estão tendo [febre](SINTOMA) toda tarde ,moleza no corpo"
Tem q ter o CPF?,25,0.3176018415276188,inform,Tem q ter o CPF?
Pode ser só o nome e CEP Da rua,9,0.2130951018126043,inform_symptoms,Pode ser só o nome e CEP Da rua
Vou abrir o da minha mãe,62,0.1292526513825964,inform_symptoms,Vou abrir o da minha mãe
Tá,51,0.1412853278265223,greeting,Tá
Boa noite como faço pra abrir pra minha mãe?,62,0.1818267898868633,inform_symptoms,Boa noite como faço pra abrir pra minha mãe?
Meu pai,82,0.2284811841250076,inform_symptoms,Meu pai
Boa noite é porque  meu pai está com,82,0.1547605240552069,inform_symptoms,Boa noite é porque  meu pai está com
"muita febre ,toma paracetamol passa e volta",23,0.2389538123181481,inform_symptoms,"muita [febre](SINTOMA) ,toma paracetamol passa e volta"
"Ele tem 84 anos ,é hipertenso e tem cálculo renal",25,0.1172161345611261,inform,"Ele tem 84 anos ,é [hipertenso](SINTOMA) e tem cálculo renal"
faz tratamento no cenec,65,0.3119120337075624,request_inform,faz tratamento no cenec
Pois é quero fazer pra ele agora,19,0.2169740866733195,request_inform,Pois é quero fazer pra ele agora
"Tenho que usar outro celular, como faço?",81,0.1668983579837546,inform_symptoms,"Tenho que usar outro celular, como faço?"
Me ajude por favor,31,0.2438214248469923,request_inform,Me ajude por favor
Tenho que pedir outra pessoa pra fazer isso?,75,0.1688688938257411,inform_symptoms,Tenho que pedir outra pessoa pra fazer isso?
Tou com o CPF dele,74,0.3313875109476408,inform_symptoms,Tou com o CPF dele
"Desde o dia 25/04 que comecei a sentir moleza no corpo, febre e a garganta doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou rinossinusite. Passou 10 dias de amoxicilina + clavulanato e antialérgico.",59,0.0916040088454954,inform_symptoms,"Desde o dia 25/04 que comecei a sentir moleza no corpo, [febre](SINTOMA) e a [garganta](SINTOMA) doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou [rinossinusite](SINTOMA). Passou 10 dias de amoxicilina + clavulanato e antialérgico."
"Só que não sinto melhora, perdi o olfato e o paladar",60,0.0863822534151251,request_inform,"Só que não sinto melhora, perdi o olfato e o paladar"
"minha cabeça dói, sinto um peso",62,0.301952252425902,inform_symptoms,"minha cabeça dói, sinto um peso"
ela me entregou um atestado de 3 dias voltei ao trabalho,77,0.1942896487823663,inform_symptoms,ela me entregou um atestado de 3 dias voltei ao trabalho
então?,47,0.0988675925025678,request_inform,então?
posso procurar fazer o teste particular? se der positivo?,60,0.240990742934969,request_inform,posso procurar fazer o teste particular? se der positivo?
"dor de cabeça, dor no corpo, ausência de paladar e olfato, febre tenho mas poucas vezes",86,0.0997201815976639,inform_symptoms,"[dor de cabeça](SINTOMA), dor no corpo, ausência de paladar e olfato, [febre](SINTOMA) tenho mas poucas vezes"
"dipirona, sim",61,0.0345924930183599,inform,"dipirona, sim"
a médica prescreveu,84,0.1192181390547468,inform_symptoms,a médica prescreveu
não tem como ficar em repouso por conta do trabalho,75,0.1565853993706171,inform_symptoms,não tem como ficar em repouso por conta do trabalho
boa noite!,80,0.1246442562717122,greeting,boa noite!
Boa noite,80,0.0896391738710161,greeting,Boa noite
Estou com meu pai adoentado,82,0.2541899235802477,inform_symptoms,Estou com meu pai adoentado
Uns 3 dias de febre ou mais,43,0.2134435597372409,inform_symptoms,Uns 3 dias de [febre](SINTOMA) ou mais
Talvez 4,39,0.2027305342481329,inform_medicine,Talvez 4
Todo dia tem febre,35,0.2152577059881776,inform_symptoms,Todo dia tem [febre](SINTOMA)
So que ele nao apresenta falta de ar,41,0.1013842533473911,inform_symptoms,So que ele nao apresenta [falta de ar](SINTOMA)
