txt,label,distance,intent
Há dois tias estou com dor na garganta,37,0.2356204933406606,inform_symptoms
Estou preocupado pois tenho asma,28,0.5484552623524084,inform_symptoms
Só ontem,63,0.04368331771913869,inform
Sim,22,0.03504680258227921,inform
Chenil e aerodin spray,4,0.2509282801108329,inform_medicine
As duas da tarde,38,0.282976834102999,inform
Estou um pouco ofegante,11,0.04017501778877608,inform_symptoms
Não,30,0.029742951572714116,inform_symptoms
Usei as duas semanas atrás,42,0.40702010194435645,inform_symptoms
Não tenho transporte,30,0.17539049528225892,inform_symptoms
Minha filha está comigo mais está no quarto separado pois ela tem asma também,68,0.1384652903710415,inform_symptoms
Não temos carro,30,0.13830773371095106,inform_symptoms
Ok,88,0.06710841342381657,greeting
Parada mesmo,8,0.5401212636180306,inform
Tá certo,51,0.039435294467111026,greeting
Vou deita um pouco,11,0.18428821815412688,inform_symptoms
Posso toma um maracugina  pra mi acalmar?,11,0.286926871218832,inform_symptoms
Bem,18,0.06625801910398355,inform
O Artolin fez efeito,60,0.25587561993125274,request_inform
To respirando melhor  Só a garganta continua doendo,63,0.3600207127485523,inform
Tem posto de saúde aberto amanhã?,43,0.23134311613838832,inform_symptoms
Sandra Moreira e Flávio Marcílio,4,0.4179149794171708,inform_medicine
Lã é onde está funcionando o Odorico  de Morais,56,0.1664171579529753,inform_symptoms
Obrigada  Que Jesus nos abençoe e nos proteja,89,0.21186550097585688,inform_symptoms
"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",86,0.13276726404405514,inform_symptoms
Assim como se tivesse com um bolo na garganta,81,0.17736788841140527,inform_symptoms
Não tenho falta de ar,41,0.05306159470381688,inform_symptoms
uma tosse assim meio leve,53,0.3445466854305361,inform_symptoms
senti dor no corpo mais passou,26,0.20719253117184755,inform_symptoms
sim,22,0.03504680258227921,inform
Mais tomo paracetamol e passa,20,0.23405280983610854,inform_medicine
Todos os dias a tarde,7,0.180105729446284,inform
fico quente e com calafrios,66,0.29475427526273246,request_inform
passou a dor no corpo,26,0.23842498920302335,inform_symptoms
Só aquele negocio na garganta,37,0.2523582404160071,inform_symptoms
as vezes acho que pode até ser (desculpe )catarro,89,0.22012800413608424,inform_symptoms
Mais não consigo escarrar,30,0.08740794270249042,inform_symptoms
"Hoje fiz vinagre, com limão e água morna",15,0.25276276464932745,inform_symptoms
aliviou um pouco,11,0.0401750174938571,inform_symptoms
uso paracetamol e chá,20,0.20850356123321157,inform_medicine
e loratadina,4,0.017713823673192186,inform_medicine
Tá certo obg.,51,0.12584061579176475,greeting
certo,51,0.3098084731124736,greeting
Pra mim fazer uma avaliação assim para minha mãe e meu pai só com os dados deles,62,0.18417530397028314,inform_symptoms
Estão os dois com febre a mais de cinco dias,7,0.19701285403574031,inform
são idosos 84 e 74 ela,4,0.4032299317621477,inform_medicine
são hipertensos e tem cálculos renais,4,0.3022909752621755,inform_medicine
"estão tendo febre toda tarde ,moleza no corpo",75,0.2916001384661898,inform_symptoms
Tem q ter o CPF?,25,0.31760184152761883,inform
Pode ser só o nome e CEP Da rua,9,0.21309510181260438,inform_symptoms
Vou abrir o da minha mãe,62,0.12925265138259645,inform_symptoms
Tá,51,0.14128532782652237,greeting
Boa noite como faço pra abrir pra minha mãe?,62,0.1818267898868633,inform_symptoms
Meu pai,82,0.22848118412500762,inform_symptoms
Boa noite é porque  meu pai está com,82,0.1547605240552069,inform_symptoms
"muita febre ,toma paracetamol passa e volta",23,0.23895381231814816,inform_symptoms
"Ele tem 84 anos ,é hipertenso e tem cálculo renal",25,0.11721613456112612,inform
faz tratamento no cenec,65,0.3119120337075624,request_inform
Pois é quero fazer pra ele agora,19,0.21697408667331952,request_inform
"Tenho que usar outro celular, como faço?",81,0.16689835798375463,inform_symptoms
Me ajude por favor,31,0.24382142484699232,request_inform
Tenho que pedir outra pessoa pra fazer isso?,75,0.1688688938257411,inform_symptoms
Tou com o CPF dele,74,0.33138751094764085,inform_symptoms
"Desde o dia 25/04 que comecei a sentir moleza no corpo, febre e a garganta doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou rinossinusite. Passou 10 dias de amoxicilina + clavulanato e antialérgico.",59,0.09160400884549547,inform_symptoms
"Só que não sinto melhora, perdi o olfato e o paladar",60,0.08638225341512518,request_inform
"minha cabeça dói, sinto um peso",62,0.30195225242590207,inform_symptoms
ela me entregou um atestado de 3 dias voltei ao trabalho,77,0.19428964878236632,inform_symptoms
então?,47,0.09886759250256782,request_inform
posso procurar fazer o teste particular? se der positivo?,60,0.24099074293496903,request_inform
"dor de cabeça, dor no corpo, ausência de paladar e olfato, febre tenho mas poucas vezes",86,0.09972018159766394,inform_symptoms
"dipirona, sim",61,0.03459249301835998,inform
a médica prescreveu,84,0.11921813905474687,inform_symptoms
não tem como ficar em repouso por conta do trabalho,75,0.1565853993706171,inform_symptoms
boa noite!,80,0.12464425627171227,greeting
Boa noite,80,0.08963917387101616,greeting
Estou com meu pai adoentado,82,0.2541899235802477,inform_symptoms
Uns 3 dias de febre ou mais,43,0.21344355973724094,inform_symptoms
Talvez 4,39,0.20273053424813292,inform_medicine
Todo dia tem febre,35,0.21525770598817762,inform_symptoms
So que ele nao apresenta falta de ar,41,0.1013842533473911,inform_symptoms
E depois que passa a febre fica normal... porem ele fica deitado em repouso,5,0.2544921901484062,inform_symptoms
Ele tosse de vez enquando,43,0.2004432506751468,inform_symptoms
Ele chegou a passar mal,84,0.4993888426570531,inform_symptoms
Mais foi 1 vez,9,0.30087742354776315,inform_symptoms
E n aconteceu mais,72,0.17826174952378837,inform_symptoms
Ele reclamava de um mal estar no estomago e na cabeça,77,0.14909284036010706,inform_symptoms
E achava o corpo meio quebrado,15,0.2065428652229111,inform_symptoms
Ele sempre foi doente da barriga,73,0.28717296646929846,inform
Dor de cabeça nao,86,0.12380230181919671,inform_symptoms
Na barriga se apertar e um pouco dolorido,37,0.18137615222034098,inform_symptoms
Sente dor nas pernas,83,0.2753831333926624,inform_symptoms
Vomitou 1 vez so,39,0.3486617420183349,inform_medicine
Foi devido a um remedio,11,0.3057007450152628,inform_symptoms
2 dias atras,55,0.1990855601715783,inform_medicine
Ele tem sonolencia,35,0.18117798902375448,inform_symptoms
Ele nao tem falta de ar,41,0.1808074850862238,inform_symptoms
Entao como devo proceder?,81,0.25189988494534177,inform_symptoms
Fica em casa ainda?,46,0.21646036874985242,inform
Ele tem 4 dias de febre,25,0.22994766638310715,inform
Nao tem como algum medico fazer uma visita e fazer o teste?,60,0.16448290433156065,request_inform
Ele hipertence,0,0.49429634059520433,inform_symptoms
Ele foi ao posto de saude... e mediram a oxigenaçao no sangue e informaram que estava em 96,5,0.09101014850652689,inform_symptoms
E disseram que estava normal,5,0.15049882607019216,inform_symptoms
Isso a 2 dias atras,55,0.2683871974648494,inform_medicine
Vc acha que tem fortes indicios de covid?,25,0.21942235068278082,inform
Com oque lhe falei esta grave?,66,0.28778702149657676,request_inform
Ou da pra ir se recuperando em casa?,46,0.1609459444611071,inform
Voce recomenda algum remedio que possa melhorar a recuperaçao?,89,0.17943764092470826,inform_symptoms
Resumindo... so procuro um hospital se estiver com falta de ar correto?,59,0.09660390673887664,inform_symptoms
Certo,51,0.3098084731124736,greeting
E em caso se ele faltar o ar... para que nao ocorra o pior tem algum procedimento que eu possa fazer para amenizar?,89,0.0758019720343095,inform_symptoms
Gostaria de saber para eu ficar precavido,87,0.21160465522007454,inform_symptoms
Tem algum remedio para reforçar a fraqueza dele?,25,0.29925021813357855,inform
Muito obrigado,69,0.0813349602911203,greeting
Era so isso mesmo,47,0.4908811487656649,request_inform
Qualquer coisa volto a falar aqui,42,0.4486362369612277,inform_symptoms
Tem outra coisa,35,0.15756259973988418,inform_symptoms
Ele esta sem sentir cheiro e sabor de comida,56,0.17809180301994265,inform_symptoms
Obrigado,69,0.1190748691570308,greeting
Obg,33,0.46056416354136887,inform_symptoms
"19 dias atrás comecei a sentir uma quentura na cabeça, nariz escorrendo, dores de cabeça, sentia uma ardência horrível ao respirar, congestão nasal, e garanta inflamada, tomei alguns comprimidos anti gripais, mais nada resolvia, fiz o uso de nimesulida pra garganta não adiantava, comecei a fazer gargarejo de água morna com sal tive uma melhora. Agora atualmente estou com a quentura horrível por dentro, principalmente nas costas, tosse e dores nos braços. Medi minha saturação deu 90",77,0.07704837397605035,inform_symptoms
Dias são 18 não 19,55,0.2699199675780459,inform_medicine
38 no começo,76,0.32743490992546465,inform_medicine
Tenho calafrios ao anoitecer,2,0.2428549615657858,inform
Sinto como de minha respiração fosse quente,43,0.24686451355623573,inform_symptoms
Me sino cansada se falo muito,89,0.31833182281192607,inform_symptoms
*sinto,21,0.01699307224358615,inform
"Não, ah momentos em q fica congestionado nariz",46,0.26418701493759367,inform
Sem febre,13,0.16937148170440885,inform_symptoms
Só uma quentura por dentro,75,0.16799563849874233,inform_symptoms
Tive melhoras,33,0.21735868188271434,inform_symptoms
"Só essa tosse que persiste a noite, dores nos braços, e essa quentura no corpo",9,0.182194546850319,inform_symptoms
"Uma amiga tem, ontem ela estava em casa pedi p medir",46,0.3126922413279538,inform
Deu 90 sim,64,0.36685037922645736,inform
Assim,45,0.5437837526127476,inform
Quentura por dentro,75,0.1817656697939053,inform_symptoms
Como se minha respiração tivesse quente,81,0.1508269322441843,inform_symptoms
Quando falo muito me sinto um pouco cansada. Quando olhei estava assim,53,0.2595990073268519,inform_symptoms
Cansaço sim,22,0.03504680258227921,inform
Saturação 90 isso é bom?,48,0.22126897499294695,request_inform
O Sr conseguiu ouvir o audio,60,0.3416127883722665,request_inform
