txt,label,distance,intent,annotated_txt
Há dois tias estou com dor na garganta,36,0.2779169484326655,inform_symptoms,Há dois tias estou com [dor](SINTOMA) na [garganta](SINTOMA)
Estou preocupado pois tenho asma,55,0.1801228919742289,inform_symptoms,Estou preocupado pois tenho [asma](SINTOMA)
Só ontem,10,0.1380919922997737,inform,Só ontem
Sim,58,0.2285588211659258,inform,Sim
As duas da tarde,16,0.3149660463514067,inform,As duas da tarde
Estou um pouco ofegante,3,0.1613142336658255,inform_symptoms,Estou um pouco ofegante
Não,18,0.2190729476252484,inform,Não
Usei as duas semanas atrás,31,0.276493432962947,inform,Usei as duas semanas atrás
Não tenho transporte,78,0.1980735438947733,inform,Não tenho transporte
Minha filha está comigo mais está no quarto separado pois ela tem asma também,32,0.3169890421621337,inform,Minha filha está comigo mais está no quarto separado pois ela tem [asma](SINTOMA) também
Não temos carro,78,0.2307948501080167,inform,Não temos carro
Ok,67,0.1499086241738816,inform,Ok
Tá certo,58,0.1845382714904559,inform,Tá certo
Vou deita um pouco,75,0.2552201981257854,inform,Vou deita um pouco
Posso toma um maracugina  pra mi acalmar?,72,0.2550248062098312,request_inform,Posso toma um maracugina  pra mi acalmar?
Obrigada,63,0.1850628406057142,greeting,Obrigada
Bem,67,0.2021013677104667,inform,Bem
O Artolin fez efeito,42,0.4984291540648397,inform_medicine,O Artolin fez efeito
To respirando melhor  Só a garganta continua doendo,60,0.2530545559217777,inform_symptoms,To respirando melhor  Só a [garganta](SINTOMA) continua doendo
Tem posto de saúde aberto amanhã?,41,0.3265178628765011,request_inform,Tem posto de saúde aberto amanhã?
Sandra Moreira e Flávio Marcílio,34,0.4735657344907957,inform,Sandra Moreira e Flávio Marcílio
Obrigada  Que Jesus nos abençoe e nos proteja,51,0.2786363045688599,greeting,Obrigada  Que Jesus nos abençoe e nos proteja
"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",52,0.1555509361582376,inform_symptoms,"Sinto um pouco de [dor de cabeça](SINTOMA),um desconforto na [garganta](SINTOMA) e assim um calafrios"
Assim como se tivesse com um bolo na garganta,36,0.2666481137969636,inform_symptoms,Assim como se tivesse com um bolo na [garganta](SINTOMA)
Não tenho falta de ar,37,0.149821691140137,inform_symptoms,Não tenho [falta de ar](SINTOMA)
