txt,label,distance,intent,annotated_txt
Há dois tias estou com dor na garganta,15,0.2328814820298157,inform_symptoms,Há dois tias estou com [dor](SINTOMA) na [garganta](SINTOMA)
Estou preocupado pois tenho asma,55,0.33947529136021,inform_symptoms,Estou preocupado pois tenho [asma](SINTOMA)
Só ontem,10,0.2593247463244569,inform,Só ontem
Sim,12,0.0999599671464366,inform,Sim
Chenil e aerodin spray,54,0.7008033967442837,inform_medicine,Chenil e aerodin spray
As duas da tarde,10,0.3473143569467455,inform,As duas da tarde
Estou um pouco ofegante,7,0.2851498263878563,inform,Estou um pouco ofegante
Não,18,0.191975613443159,inform,Não
Usei as duas semanas atrás,16,0.3690959893619752,inform,Usei as duas semanas atrás
Não tenho transporte,45,0.4332737269926229,inform_symptoms,Não tenho transporte
Minha filha está comigo mais está no quarto separado pois ela tem asma também,32,0.3508932567338019,inform,Minha filha está comigo mais está no quarto separado pois ela tem [asma](SINTOMA) também
Não temos carro,18,0.4480387618241337,inform,Não temos carro
Ok,4,0.1510402078924346,inform,Ok
Parada mesmo,57,0.3900730398883169,greeting,Parada mesmo
Tá certo,4,0.1597671933958611,inform,Tá certo
Vou deita um pouco,46,0.2586046283403054,inform,Vou deita um pouco
Posso toma um maracugina  pra mi acalmar?,44,0.3055937042458753,request_inform,Posso toma um maracugina  pra mi acalmar?
Obrigada,50,0.1075176278857178,greeting,Obrigada
Bem,4,0.2274981065952032,inform,Bem
O Artolin fez efeito,58,0.6301373801222419,inform,O Artolin fez efeito
To respirando melhor  Só a garganta continua doendo,15,0.3033901391100406,inform_symptoms,To respirando melhor  Só a [garganta](SINTOMA) continua doendo
Tem posto de saúde aberto amanhã?,41,0.4027630432460941,request_inform,Tem posto de saúde aberto amanhã?
Obrigada  Que Jesus nos abençoe e nos proteja,20,0.3286016239250127,greeting,Obrigada  Que Jesus nos abençoe e nos proteja
"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",15,0.2433109261251954,inform_symptoms,"Sinto um pouco de [dor de cabeça](SINTOMA),um desconforto na [garganta](SINTOMA) e assim um calafrios"
Assim como se tivesse com um bolo na garganta,15,0.3811099817585992,inform_symptoms,Assim como se tivesse com um bolo na [garganta](SINTOMA)
Não tenho falta de ar,37,0.1625700006886163,inform_symptoms,Não tenho [falta de ar](SINTOMA)
uma tosse assim meio leve,40,0.2003241150412663,inform_symptoms,uma [tosse](SINTOMA) assim meio leve
senti dor no corpo mais passou,59,0.1818746733422463,inform_symptoms,senti [dor](SINTOMA) no corpo mais passou
sim,12,0.119121005662686,inform,sim
Mais tomo paracetamol e passa,0,0.1627046574404143,inform_medicine,Mais tomo paracetamol e passa
Todos os dias a tarde,10,0.3408525795313039,inform,Todos os dias a tarde
Tenho termômetro,34,0.2705533408402785,inform,Tenho termômetro
fico quente e com calafrios,19,0.5641161641171051,inform_symptoms,fico quente e com calafrios
passou a dor no corpo,59,0.2566666545681386,inform_symptoms,passou a [dor](SINTOMA) no corpo
Só aquele negocio na garganta,15,0.3414549211476602,inform_symptoms,Só aquele negocio na [garganta](SINTOMA)
as vezes acho que pode até ser (desculpe )catarro,2,0.5659346666126289,inform,as vezes acho que pode até ser (desculpe )[catarro](SINTOMA)
Mais não consigo escarrar,45,0.3492975442518701,inform_symptoms,Mais não consigo escarrar
"Hoje fiz vinagre, com limão e água morna",9,0.5619016941767745,inform_medicine,"Hoje fiz vinagre, com limão e água morna"
aliviou um pouco,35,0.3757265835957238,inform,aliviou um pouco
obg.,57,0.4290561056902799,greeting,obg.
uso paracetamol e chá,0,0.2538718166327747,inform_medicine,uso paracetamol e chá
e loratadina,54,0.3620689846858164,inform_medicine,e loratadina
Tá certo obg.,4,0.3520816338669796,inform,Tá certo obg.
certo,12,0.2230824459858754,inform,certo
Pra mim fazer uma avaliação assim para minha mãe e meu pai só com os dados deles,30,0.5379177574275797,inform,Pra mim fazer uma avaliação assim para minha mãe e meu pai só com os dados deles
Estão os dois com febre a mais de cinco dias,13,0.2860914455820837,inform_symptoms,Estão os dois com [febre](SINTOMA) a mais de cinco dias
são idosos 84 e 74 ela,17,0.5570767642222061,inform,são idosos 84 e 74 ela
são hipertensos e tem cálculos renais,54,0.5797730609476679,inform_medicine,são hipertensos e tem cálculos renais
"estão tendo febre toda tarde ,moleza no corpo",13,0.266863924801154,inform_symptoms,"estão tendo [febre](SINTOMA) toda tarde ,moleza no corpo"
Tem q ter o CPF?,41,0.5840026700433278,request_inform,Tem q ter o CPF?
Pode ser só o nome e CEP Da rua,31,0.675804253827455,inform,Pode ser só o nome e CEP Da rua
Vou abrir o da minha mãe,30,0.4622008824138545,inform,Vou abrir o da minha mãe
Tá,4,0.2342091943997024,inform,Tá
Boa noite como faço pra abrir pra minha mãe?,26,0.582671592428033,request_inform,Boa noite como faço pra abrir pra minha mãe?
Meu pai,30,0.3468228877764077,inform,Meu pai
Boa noite é porque  meu pai está com,24,0.5080070843746982,greeting,Boa noite é porque  meu pai está com
"muita febre ,toma paracetamol passa e volta",0,0.2279693590548036,inform_medicine,"muita [febre](SINTOMA) ,toma paracetamol passa e volta"
"Ele tem 84 anos ,é hipertenso e tem cálculo renal",17,0.6050162821608195,inform,"Ele tem 84 anos ,é [hipertenso](SINTOMA) e tem cálculo renal"
faz tratamento no cenec,54,0.5064918769458091,inform_medicine,faz tratamento no cenec
Pois é quero fazer pra ele agora,46,0.4867789327264707,inform,Pois é quero fazer pra ele agora
"Tenho que usar outro celular, como faço?",26,0.560869221819807,request_inform,"Tenho que usar outro celular, como faço?"
Me ajude por favor,51,0.1820264249401555,request_inform,Me ajude por favor
Tenho que pedir outra pessoa pra fazer isso?,41,0.5316380691428824,request_inform,Tenho que pedir outra pessoa pra fazer isso?
Tou com o CPF dele,58,0.605046861653038,inform,Tou com o CPF dele
"Desde o dia 25/04 que comecei a sentir moleza no corpo, febre e a garganta doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou rinossinusite. Passou 10 dias de amoxicilina + clavulanato e antialérgico.",56,0.276396820158696,inform_symptoms,"Desde o dia 25/04 que comecei a sentir moleza no corpo, [febre](SINTOMA) e a [garganta](SINTOMA) doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou [rinossinusite](SINTOMA). Passou 10 dias de amoxicilina + clavulanato e antialérgico."
"Só que não sinto melhora, perdi o olfato e o paladar",52,0.1790594754420018,inform_symptoms,"Só que não sinto melhora, perdi o olfato e o paladar"
"minha cabeça dói, sinto um peso",8,0.2621960831899778,inform_symptoms,"minha cabeça dói, sinto um peso"
então?,4,0.476427076971245,inform,então?
posso procurar fazer o teste particular? se der positivo?,25,0.2654327630768063,request_inform,posso procurar fazer o teste particular? se der positivo?
"dor de cabeça, dor no corpo, ausência de paladar e olfato, febre tenho mas poucas vezes",33,0.1994507597288555,inform_symptoms,"[dor de cabeça](SINTOMA), dor no corpo, ausência de paladar e olfato, [febre](SINTOMA) tenho mas poucas vezes"
"dipirona, sim",54,0.3631116624824378,inform_medicine,"dipirona, sim"
a médica prescreveu,53,0.4750908027336065,inform,a médica prescreveu
obrigada,50,0.140439806390587,greeting,obrigada
obrigada pelas dicas,50,0.2636538489579135,greeting,obrigada pelas dicas
boa noite!,24,0.1698954936135743,greeting,boa noite!
Boa noite,24,0.1489326115170711,greeting,Boa noite
Estou com meu pai adoentado,30,0.3078829195355791,inform,Estou com meu pai adoentado
Uns 3 dias de febre ou mais,13,0.251146955887362,inform_symptoms,Uns 3 dias de [febre](SINTOMA) ou mais
Talvez 4,17,0.6035893440261823,inform,Talvez 4
Todo dia tem febre,13,0.1641522704515816,inform_symptoms,Todo dia tem [febre](SINTOMA)
So que ele nao apresenta falta de ar,37,0.3114982771437666,inform_symptoms,So que ele nao apresenta [falta de ar](SINTOMA)
E depois que passa a febre fica normal... porem ele fica deitado em repouso,13,0.360681912688339,inform_symptoms,E depois que passa a [febre](SINTOMA) fica normal... porem ele fica deitado em repouso
Ele tosse de vez enquando,40,0.251401507016634,inform_symptoms,Ele [tosse](SINTOMA) de vez enquando
Ele chegou a passar mal,58,0.3817367717723018,inform,Ele chegou a passar mal
Mais foi 1 vez,27,0.4586872670623997,inform,Mais foi 1 vez
E n aconteceu mais,27,0.4215024339164069,inform,E n aconteceu mais
Ele reclamava de um mal estar no estomago e na cabeça,8,0.509024429335978,inform_symptoms,Ele reclamava de um [mal estar](SINTOMA) no estomago e na cabeça
E achava o corpo meio quebrado,58,0.616872678545535,inform,E achava o corpo meio quebrado
Ele sempre foi doente da barriga,42,0.5545505722005677,inform_symptoms,Ele sempre foi doente da barriga
Dor de cabeça nao,8,0.1462488615002737,inform_symptoms,[Dor de cabeça](SINTOMA) nao
Na barriga se apertar e um pouco dolorido,59,0.3491390208709712,inform_symptoms,Na barriga se apertar e um pouco [dolorido](SINTOMA)
Sente dor nas pernas,59,0.2598532463218364,inform_symptoms,Sente [dor](SINTOMA) nas pernas
Vomitou 1 vez so,42,0.4362364499397745,inform_symptoms,Vomitou 1 vez so
Foi devido a um remedio,58,0.4403210018116291,inform,Foi devido a um remedio
2 dias atras,16,0.274886459158123,inform,2 dias atras
Ele tem sonolencia,58,0.4113041498419093,inform,Ele tem sonolencia
Ele nao tem falta de ar,37,0.218988754916474,inform_symptoms,Ele nao tem [falta de ar](SINTOMA)
Entao como devo proceder?,26,0.2369731982722528,request_inform,Entao como devo proceder?
Fica em casa ainda?,1,0.4175655126794616,inform,Fica em casa ainda?
Ele tem 4 dias de febre,13,0.292191185179696,inform_symptoms,Ele tem 4 dias de [febre](SINTOMA)
Nao tem como algum medico fazer uma visita e fazer o teste?,25,0.267492595082654,request_inform,Nao tem como algum medico fazer uma visita e fazer o teste?
Ele hipertence,58,0.3736556988947207,inform,Ele hipertence
Ele foi ao posto de saude... e mediram a oxigenaçao no sangue e informaram que estava em 96,53,0.6841919407706206,inform,Ele foi ao posto de saude... e mediram a oxigenaçao no sangue e informaram que estava em 96
E disseram que estava normal,58,0.5330373653111202,inform,E disseram que estava normal
Isso a 2 dias atras,16,0.2765918450233415,inform,Isso a 2 dias atras
Vc acha que tem fortes indicios de covid?,29,0.4020968510874918,request_inform,Vc acha que tem fortes indicios de covid?
Com oque lhe falei esta grave?,47,0.5863577939356965,inform,Com oque lhe falei esta grave?
Ou da pra ir se recuperando em casa?,41,0.3912846356285046,request_inform,Ou da pra ir se recuperando em casa?
Voce recomenda algum remedio que possa melhorar a recuperaçao?,44,0.4625393544909392,request_inform,Voce recomenda algum remedio que possa melhorar a recuperaçao?
