txt,label,distance,intent
Há dois tias estou com dor na garganta,15,0.23288148202981573,inform_symptoms
Estou preocupado pois tenho asma,55,0.33947529136021004,inform_symptoms
Só ontem,10,0.2593247463244569,inform
Sim,12,0.09995996714643662,inform
Chenil e aerodin spray,54,0.7008033967442837,inform_medicine
As duas da tarde,10,0.3473143569467455,inform
Estou um pouco ofegante,7,0.28514982638785635,inform
Não,18,0.19197561344315905,inform
Usei as duas semanas atrás,16,0.3690959893619752,inform
Não tenho transporte,45,0.4332737269926229,inform_symptoms
Minha filha está comigo mais está no quarto separado pois ela tem asma também,32,0.3508932567338019,inform
Não temos carro,18,0.4480387618241337,inform
Ok,4,0.15104020789243466,inform
Parada mesmo,57,0.3900730398883169,greeting
Tá certo,4,0.1597671933958611,inform
Vou deita um pouco,46,0.2586046283403054,inform
Posso toma um maracugina  pra mi acalmar?,44,0.3055937042458753,request_inform
Obrigada,50,0.10751762788571784,greeting
Bem,4,0.2274981065952032,inform
O Artolin fez efeito,58,0.6301373801222419,inform
To respirando melhor  Só a garganta continua doendo,15,0.30339013911004065,inform_symptoms
Tem posto de saúde aberto amanhã?,41,0.40276304324609413,request_inform
Obrigada  Que Jesus nos abençoe e nos proteja,20,0.3286016239250127,greeting
"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",15,0.24331092612519545,inform_symptoms
Assim como se tivesse com um bolo na garganta,15,0.3811099817585992,inform_symptoms
Não tenho falta de ar,37,0.16257000068861638,inform_symptoms
uma tosse assim meio leve,40,0.20032411504126635,inform_symptoms
senti dor no corpo mais passou,59,0.18187467334224638,inform_symptoms
sim,12,0.11912100566268602,inform
Mais tomo paracetamol e passa,0,0.1627046574404143,inform_medicine
Todos os dias a tarde,10,0.3408525795313039,inform
Tenho termômetro,34,0.2705533408402785,inform
fico quente e com calafrios,19,0.5641161641171051,inform_symptoms
passou a dor no corpo,59,0.25666665456813864,inform_symptoms
Só aquele negocio na garganta,15,0.3414549211476602,inform_symptoms
as vezes acho que pode até ser (desculpe )catarro,2,0.5659346666126289,inform
Mais não consigo escarrar,45,0.3492975442518701,inform_symptoms
"Hoje fiz vinagre, com limão e água morna",9,0.5619016941767745,inform_medicine
aliviou um pouco,35,0.37572658359572386,inform
obg.,57,0.42905610569027997,greeting
uso paracetamol e chá,0,0.2538718166327747,inform_medicine
e loratadina,54,0.3620689846858164,inform_medicine
Tá certo obg.,4,0.35208163386697966,inform
certo,12,0.22308244598587545,inform
Pra mim fazer uma avaliação assim para minha mãe e meu pai só com os dados deles,30,0.5379177574275797,inform
Estão os dois com febre a mais de cinco dias,13,0.28609144558208377,inform_symptoms
são idosos 84 e 74 ela,17,0.5570767642222061,inform
são hipertensos e tem cálculos renais,54,0.5797730609476679,inform_medicine
"estão tendo febre toda tarde ,moleza no corpo",13,0.26686392480115406,inform_symptoms
Tem q ter o CPF?,41,0.5840026700433278,request_inform
Pode ser só o nome e CEP Da rua,31,0.675804253827455,inform
Vou abrir o da minha mãe,30,0.4622008824138545,inform
Tá,4,0.23420919439970245,inform
Boa noite como faço pra abrir pra minha mãe?,26,0.582671592428033,request_inform
Meu pai,30,0.3468228877764077,inform
Boa noite é porque  meu pai está com,24,0.5080070843746982,greeting
"muita febre ,toma paracetamol passa e volta",0,0.22796935905480364,inform_medicine
"Ele tem 84 anos ,é hipertenso e tem cálculo renal",17,0.6050162821608195,inform
faz tratamento no cenec,54,0.5064918769458091,inform_medicine
Pois é quero fazer pra ele agora,46,0.48677893272647077,inform
"Tenho que usar outro celular, como faço?",26,0.560869221819807,request_inform
Me ajude por favor,51,0.18202642494015553,request_inform
Tenho que pedir outra pessoa pra fazer isso?,41,0.5316380691428824,request_inform
Tou com o CPF dele,58,0.605046861653038,inform
"Desde o dia 25/04 que comecei a sentir moleza no corpo, febre e a garganta doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou rinossinusite. Passou 10 dias de amoxicilina + clavulanato e antialérgico.",56,0.27639682015869604,inform_symptoms
"Só que não sinto melhora, perdi o olfato e o paladar",52,0.17905947544200185,inform_symptoms
"minha cabeça dói, sinto um peso",8,0.2621960831899778,inform_symptoms
então?,4,0.476427076971245,inform
posso procurar fazer o teste particular? se der positivo?,25,0.2654327630768063,request_inform
"dor de cabeça, dor no corpo, ausência de paladar e olfato, febre tenho mas poucas vezes",33,0.1994507597288555,inform_symptoms
"dipirona, sim",54,0.36311166248243787,inform_medicine
a médica prescreveu,53,0.4750908027336065,inform
obrigada,50,0.14043980639058706,greeting
obrigada pelas dicas,50,0.26365384895791355,greeting
boa noite!,24,0.16989549361357437,greeting
Boa noite,24,0.14893261151707116,greeting
Estou com meu pai adoentado,30,0.3078829195355791,inform
Uns 3 dias de febre ou mais,13,0.251146955887362,inform_symptoms
Talvez 4,17,0.6035893440261823,inform
Todo dia tem febre,13,0.16415227045158165,inform_symptoms
So que ele nao apresenta falta de ar,37,0.31149827714376666,inform_symptoms
E depois que passa a febre fica normal... porem ele fica deitado em repouso,13,0.36068191268833905,inform_symptoms
Ele tosse de vez enquando,40,0.251401507016634,inform_symptoms
Ele chegou a passar mal,58,0.3817367717723018,inform
Mais foi 1 vez,27,0.4586872670623997,inform
E n aconteceu mais,27,0.42150243391640696,inform
Ele reclamava de um mal estar no estomago e na cabeça,8,0.509024429335978,inform_symptoms
E achava o corpo meio quebrado,58,0.616872678545535,inform
Ele sempre foi doente da barriga,42,0.5545505722005677,inform_symptoms
Dor de cabeça nao,8,0.14624886150027372,inform_symptoms
Na barriga se apertar e um pouco dolorido,59,0.34913902087097126,inform_symptoms
Sente dor nas pernas,59,0.2598532463218364,inform_symptoms
Vomitou 1 vez so,42,0.4362364499397745,inform_symptoms
Foi devido a um remedio,58,0.44032100181162914,inform
2 dias atras,16,0.27488645915812304,inform
Ele tem sonolencia,58,0.41130414984190933,inform
Ele nao tem falta de ar,37,0.21898875491647407,inform_symptoms
Entao como devo proceder?,26,0.23697319827225283,request_inform
Fica em casa ainda?,1,0.4175655126794616,inform
Ele tem 4 dias de febre,13,0.292191185179696,inform_symptoms
Nao tem como algum medico fazer uma visita e fazer o teste?,25,0.267492595082654,request_inform
Ele hipertence,58,0.3736556988947207,inform
Ele foi ao posto de saude... e mediram a oxigenaçao no sangue e informaram que estava em 96,53,0.6841919407706206,inform
E disseram que estava normal,58,0.5330373653111202,inform
Isso a 2 dias atras,16,0.27659184502334155,inform
Vc acha que tem fortes indicios de covid?,29,0.4020968510874918,request_inform
Com oque lhe falei esta grave?,47,0.5863577939356965,inform
Ou da pra ir se recuperando em casa?,41,0.3912846356285046,request_inform
Voce recomenda algum remedio que possa melhorar a recuperaçao?,44,0.4625393544909392,request_inform
Resumindo... so procuro um hospital se estiver com falta de ar correto?,53,0.34400378288476574,inform
Certo,12,0.16269645068886895,inform
E em caso se ele faltar o ar... para que nao ocorra o pior tem algum procedimento que eu possa fazer para amenizar?,41,0.4453664801910977,request_inform
Gostaria de saber para eu ficar precavido,46,0.4544470499321609,inform
Tem algum remedio para reforçar a fraqueza dele?,44,0.4452078944758462,request_inform
Muito obrigado,50,0.10303312904407336,greeting
Era so isso mesmo,4,0.47058092690832576,inform
Qualquer coisa volto a falar aqui,3,0.44107596373602564,inform
Tem outra coisa,3,0.5081788248603253,inform
Ele esta sem sentir cheiro e sabor de comida,52,0.35748610343380216,inform_symptoms
Obrigado,50,0.1250632753442915,greeting
Obg,57,0.256984530141085,greeting
"19 dias atrás comecei a sentir uma quentura na cabeça, nariz escorrendo, dores de cabeça, sentia uma ardência horrível ao respirar, congestão nasal, e garanta inflamada, tomei alguns comprimidos anti gripais, mais nada resolvia, fiz o uso de nimesulida pra garganta não adiantava, comecei a fazer gargarejo de água morna com sal tive uma melhora. Agora atualmente estou com a quentura horrível por dentro, principalmente nas costas, tosse e dores nos braços. Medi minha saturação deu 90",56,0.22200756842273217,inform_symptoms
Dias são 18 não 19,16,0.5190952312023969,inform
38 no começo,17,0.3239629770401883,inform
Tenho calafrios ao anoitecer,7,0.4700397447858179,inform
Sinto como de minha respiração fosse quente,39,0.3146629989357669,inform_symptoms
Me sino cansada se falo muito,22,0.4131931931285686,inform_symptoms
"Não, ah momentos em q fica congestionado nariz",28,0.2748605581675204,inform_symptoms
Tipo Tampa,57,0.7422276094151841,greeting
Sem febre,13,0.1846548931165538,inform_symptoms
Só uma quentura por dentro,31,0.30154210554708716,inform
Tive melhoras,54,0.5454258673043192,inform_medicine
"Só essa tosse que persiste a noite, dores nos braços, e essa quentura no corpo",56,0.3149150009649432,inform_symptoms
"Uma amiga tem, ontem ela estava em casa pedi p medir",34,0.5857446830233958,inform
Deu 90 sim,12,0.5502157462444156,inform
Assim,4,0.35407455237789687,inform
Quentura por dentro,58,0.5833227242844143,inform
Como se minha respiração tivesse quente,39,0.2765489214281689,inform_symptoms
Quando falo muito me sinto um pouco cansada. Quando olhei estava assim,2,0.3530345907512811,inform
Cansaço sim,12,0.5230061030279599,inform
Saturação 90 isso é bom?,11,0.5535856630574123,request_inform
O Sr conseguiu ouvir o audio,58,0.6922167325360316,inform
Atualmente nas costas,43,0.47270419132524466,inform
Só de um lado,31,0.2276813562457095,inform
Direito,57,0.4736009733419243,greeting
Incômoda um pouco,35,0.3059217522310599,inform
Oq posso tomar em relação essa quentura,44,0.30134268238745177,request_inform
E a tosse,40,0.26341040075702726,inform_symptoms
Em devo ir ao posto de saúde,53,0.3224633171880734,inform
O pai da minha filha estava com sintomas parecidos aos meus porém mais leves e um companheiro de trabalho dele esta com covid,32,0.41920254452452643,inform
OK,4,0.17755917782868724,inform
"Ao Sr também, que Deus te proteja e te guarde de todo mal.",20,0.5893051436131359,greeting
"Assim. A uns dias estou com uma quebradeira no corpo, desde segunda.",21,0.5071866886339755,inform_symptoms
