txt,label,distance,intent,annotated_txt
Há dois tias estou com dor na garganta,45,0.1572830316793743,inform_symptoms,Há dois tias estou com [dor](SINTOMA) na [garganta](SINTOMA)
Estou preocupado pois tenho asma,45,0.1272363283914787,inform_symptoms,Estou preocupado pois tenho [asma](SINTOMA)
Sim,12,0.1882465312802215,inform,Sim
Estou um pouco ofegante,7,0.1661810801652431,inform_symptoms,Estou um pouco ofegante
Não,74,0.1292788612691232,inform,Não
Não tenho transporte,83,0.1741343968933121,inform,Não tenho transporte
Minha filha está comigo mais está no quarto separado pois ela tem asma também,32,0.1007720482084001,inform,Minha filha está comigo mais está no quarto separado pois ela tem [asma](SINTOMA) também
Ok,47,0.192948045815443,greeting,Ok
Tá certo,58,0.1491288042841129,greeting,Tá certo
Obrigada,62,0.1413089662313813,greeting,Obrigada
Bem,51,0.2690252493068604,inform,Bem
O Artolin fez efeito,89,0.3078980860056431,inform,O Artolin fez efeito
Tem posto de saúde aberto amanhã?,87,0.1178157665709882,request_inform,Tem posto de saúde aberto amanhã?
Sandra Moreira e Flávio Marcílio,21,0.2627491050322098,inform,Sandra Moreira e Flávio Marcílio
Obrigada  Que Jesus nos abençoe e nos proteja,20,0.1231090210795616,greeting,Obrigada  Que Jesus nos abençoe e nos proteja
"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",90,0.1109815486068814,inform_symptoms,"Sinto um pouco de [dor de cabeça](SINTOMA),um desconforto na [garganta](SINTOMA) e assim um calafrios"
Não tenho falta de ar,37,0.1009135045428668,inform_symptoms,Não tenho [falta de ar](SINTOMA)
uma tosse assim meio leve,64,0.1975286572927357,inform_symptoms,uma [tosse](SINTOMA) assim meio leve
sim,12,0.1958445424105831,inform,sim
Mais tomo paracetamol e passa,42,0.1893674465962032,inform_medicine,Mais tomo paracetamol e passa
Todos os dias a tarde,10,0.2437182824834208,inform,Todos os dias a tarde
Mais não consigo escarrar,83,0.1666121271034145,inform,Mais não consigo escarrar
"Hoje fiz vinagre, com limão e água morna",15,0.1374345638985183,inform_medicine,"Hoje fiz vinagre, com limão e água morna"
aliviou um pouco,7,0.1706789430827069,inform_symptoms,aliviou um pouco
uso paracetamol e chá,91,0.2037424754790708,inform_medicine,uso paracetamol e chá
Tá certo obg.,58,0.1108945262926096,greeting,Tá certo obg.
Estão os dois com febre a mais de cinco dias,56,0.1322749208423399,inform_symptoms,Estão os dois com [febre](SINTOMA) a mais de cinco dias
"estão tendo febre toda tarde ,moleza no corpo",65,0.1489167707183778,inform_symptoms,"estão tendo [febre](SINTOMA) toda tarde ,moleza no corpo"
Vou abrir o da minha mãe,80,0.1992509510782214,inform,Vou abrir o da minha mãe
Tá,51,0.2905952866289978,inform,Tá
"muita febre ,toma paracetamol passa e volta",82,0.2440075050949675,inform,"muita [febre](SINTOMA) ,toma paracetamol passa e volta"
Pois é quero fazer pra ele agora,85,0.2284845611046625,inform_symptoms,Pois é quero fazer pra ele agora
"Tenho que usar outro celular, como faço?",11,0.1538421346453782,request_inform,"Tenho que usar outro celular, como faço?"
Me ajude por favor,72,0.2016412481828985,inform,Me ajude por favor
"Desde o dia 25/04 que comecei a sentir moleza no corpo, febre e a garganta doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou rinossinusite. Passou 10 dias de amoxicilina + clavulanato e antialérgico.",92,0.1015445181651995,inform_symptoms,"Desde o dia 25/04 que comecei a sentir moleza no corpo, [febre](SINTOMA) e a [garganta](SINTOMA) doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou [rinossinusite](SINTOMA). Passou 10 dias de amoxicilina + clavulanato e antialérgico."
"Só que não sinto melhora, perdi o olfato e o paladar",70,0.1247513321950531,inform_symptoms,"Só que não sinto melhora, perdi o olfato e o paladar"
posso procurar fazer o teste particular? se der positivo?,25,0.1318632996663917,request_inform,posso procurar fazer o teste particular? se der positivo?
"dor de cabeça, dor no corpo, ausência de paladar e olfato, febre tenho mas poucas vezes",90,0.1185171065635782,inform_symptoms,"[dor de cabeça](SINTOMA), dor no corpo, ausência de paladar e olfato, [febre](SINTOMA) tenho mas poucas vezes"
não tem como ficar em repouso por conta do trabalho,49,0.171056533379338,inform_symptoms,não tem como ficar em repouso por conta do trabalho
boa noite!,67,0.0848637658003059,greeting,boa noite!
Boa noite,67,0.0894865414001792,greeting,Boa noite
Estou com meu pai adoentado,30,0.1994612816127846,inform,Estou com meu pai adoentado
Talvez 4,51,0.2925182638383722,inform,Talvez 4
Todo dia tem febre,44,0.2009465583595516,inform_symptoms,Todo dia tem [febre](SINTOMA)
So que ele nao apresenta falta de ar,37,0.1363114031307394,inform_symptoms,So que ele nao apresenta [falta de ar](SINTOMA)
E depois que passa a febre fica normal... porem ele fica deitado em repouso,92,0.1486417870255961,inform_symptoms,E depois que passa a [febre](SINTOMA) fica normal... porem ele fica deitado em repouso
Ele tosse de vez enquando,27,0.1996565955831155,inform_symptoms,Ele [tosse](SINTOMA) de vez enquando
Dor de cabeça nao,59,0.1182744324830229,inform_symptoms,[Dor de cabeça](SINTOMA) nao
Sente dor nas pernas,69,0.1152249513834033,inform_symptoms,Sente [dor](SINTOMA) nas pernas
Ele tem sonolencia,38,0.200693874440245,inform_symptoms,Ele tem sonolencia
Ele nao tem falta de ar,37,0.0981945064737809,inform_symptoms,Ele nao tem [falta de ar](SINTOMA)
Fica em casa ainda?,1,0.1907390861289633,inform,Fica em casa ainda?
Nao tem como algum medico fazer uma visita e fazer o teste?,41,0.1171005086270607,request_inform,Nao tem como algum medico fazer uma visita e fazer o teste?
Ele hipertence,29,0.3048410346483425,inform,Ele hipertence
Ele foi ao posto de saude... e mediram a oxigenaçao no sangue e informaram que estava em 96,87,0.1393861645074701,request_inform,Ele foi ao posto de saude... e mediram a oxigenaçao no sangue e informaram que estava em 96
E disseram que estava normal,24,0.2477694362769728,inform,E disseram que estava normal
Isso a 2 dias atras,31,0.1304855939230099,inform,Isso a 2 dias atras
Vc acha que tem fortes indicios de covid?,76,0.1811895214168735,request_inform,Vc acha que tem fortes indicios de covid?
Ou da pra ir se recuperando em casa?,80,0.1944783363379518,inform,Ou da pra ir se recuperando em casa?
Voce recomenda algum remedio que possa melhorar a recuperaçao?,11,0.1266137665251783,request_inform,Voce recomenda algum remedio que possa melhorar a recuperaçao?
Resumindo... so procuro um hospital se estiver com falta de ar correto?,41,0.1266820058726812,request_inform,Resumindo... so procuro um hospital se estiver com [falta de ar](SINTOMA) correto?
E em caso se ele faltar o ar... para que nao ocorra o pior tem algum procedimento que eu possa fazer para amenizar?,41,0.1131089815667052,request_inform,E em caso se ele faltar o ar... para que nao ocorra o pior tem algum procedimento que eu possa fazer para amenizar?
Tem algum remedio para reforçar a fraqueza dele?,54,0.163395515544474,inform_symptoms,Tem algum remedio para reforçar a [fraqueza](SINTOMA) dele?
Muito obrigado,62,0.1624493134674111,greeting,Muito obrigado
Era so isso mesmo,18,0.0926269204808376,greeting,Era so isso mesmo
Qualquer coisa volto a falar aqui,72,0.2285780619158406,inform,Qualquer coisa volto a falar aqui
Ele esta sem sentir cheiro e sabor de comida,33,0.1097741911556169,inform_symptoms,Ele esta sem sentir cheiro e sabor de comida
Obrigado,62,0.1472858010058796,greeting,Obrigado
"19 dias atrás comecei a sentir uma quentura na cabeça, nariz escorrendo, dores de cabeça, sentia uma ardência horrível ao respirar, congestão nasal, e garanta inflamada, tomei alguns comprimidos anti gripais, mais nada resolvia, fiz o uso de nimesulida pra garganta não adiantava, comecei a fazer gargarejo de água morna com sal tive uma melhora. Agora atualmente estou com a quentura horrível por dentro, principalmente nas costas, tosse e dores nos braços. Medi minha saturação deu 90",68,0.0869150481270361,inform_symptoms,"19 dias atrás comecei a sentir uma quentura na cabeça, [nariz escorrendo](SINTOMA), [dores de cabeça](SINTOMA), sentia uma ardência horrível ao respirar, [congestão nasal](SINTOMA), e garanta inflamada, tomei alguns comprimidos anti gripais, mais nada resolvia, fiz o uso de nimesulida pra garganta não adiantava, comecei a fazer gargarejo de água morna com sal tive uma melhora. Agora atualmente estou com a quentura horrível por dentro, principalmente nas costas, [tosse](SINTOMA) e dores nos braços. Medi minha saturação deu 90"
Me sino cansada se falo muito,85,0.2299102394508134,inform_symptoms,Me sino cansada se falo muito
*sinto,13,0.0932866975798857,inform_symptoms,*sinto
Tipo Tampa,57,0.3011568066613217,inform,Tipo Tampa
Sem febre,44,0.1976352328153279,inform_symptoms,Sem [febre](SINTOMA)
Só uma quentura por dentro,85,0.2273865607958859,inform_symptoms,Só uma quentura por dentro
"Só essa tosse que persiste a noite, dores nos braços, e essa quentura no corpo",71,0.1114088464125163,inform_symptoms,"Só essa [tosse](SINTOMA) que persiste a noite, dores nos braços, e essa quentura no corpo"
"Uma amiga tem, ontem ela estava em casa pedi p medir",80,0.1855560379391232,inform,"Uma amiga tem, ontem ela estava em casa pedi p medir"
Como se minha respiração tivesse quente,39,0.1095597955464547,inform_symptoms,Como se minha respiração tivesse quente
Saturação 90 isso é bom?,76,0.1957530689245107,request_inform,Saturação 90 isso é bom?
O Sr conseguiu ouvir o audio,93,0.270642771166113,request_inform,O Sr conseguiu ouvir o audio
Incômoda um pouco,7,0.1879113216060028,inform_symptoms,Incômoda um pouco
E a tosse,64,0.1271728075231986,inform_symptoms,E a [tosse](SINTOMA)
O pai da minha filha estava com sintomas parecidos aos meus porém mais leves e um companheiro de trabalho dele esta com covid,32,0.1242411558834184,inform,O pai da minha filha estava com sintomas parecidos aos meus porém mais leves e um companheiro de trabalho dele esta com covid
"Ao Sr também, que Deus te proteja e te guarde de todo mal.",20,0.1282336640026879,greeting,"Ao Sr também, que Deus te proteja e te guarde de todo mal."
