txt,label,distance,intent
Há dois tias estou com dor na garganta,45,0.1572830316793743,inform_symptoms
Estou preocupado pois tenho asma,45,0.1272363283914787,inform_symptoms
Sim,12,0.1882465312802215,inform
Estou um pouco ofegante,7,0.16618108016524313,inform_symptoms
Não,74,0.12927886126912325,inform
Não tenho transporte,83,0.17413439689331212,inform
Minha filha está comigo mais está no quarto separado pois ela tem asma também,32,0.10077204820840013,inform
Ok,47,0.192948045815443,greeting
Tá certo,58,0.1491288042841129,greeting
Obrigada,62,0.14130896623138134,greeting
Bem,51,0.26902524930686045,inform
O Artolin fez efeito,89,0.30789808600564317,inform
Tem posto de saúde aberto amanhã?,87,0.11781576657098825,request_inform
Sandra Moreira e Flávio Marcílio,21,0.26274910503220983,inform
Obrigada  Que Jesus nos abençoe e nos proteja,20,0.12310902107956168,greeting
"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",90,0.11098154860688147,inform_symptoms
Não tenho falta de ar,37,0.10091350454286685,inform_symptoms
uma tosse assim meio leve,64,0.19752865729273572,inform_symptoms
sim,12,0.19584454241058313,inform
Mais tomo paracetamol e passa,42,0.1893674465962032,inform_medicine
Todos os dias a tarde,10,0.24371828248342087,inform
Mais não consigo escarrar,83,0.16661212710341455,inform
"Hoje fiz vinagre, com limão e água morna",15,0.13743456389851838,inform_medicine
aliviou um pouco,7,0.17067894308270692,inform_symptoms
uso paracetamol e chá,91,0.20374247547907087,inform_medicine
Tá certo obg.,58,0.11089452629260965,greeting
Estão os dois com febre a mais de cinco dias,56,0.13227492084233994,inform_symptoms
"estão tendo febre toda tarde ,moleza no corpo",65,0.14891677071837783,inform_symptoms
Vou abrir o da minha mãe,80,0.19925095107822144,inform
Tá,51,0.2905952866289978,inform
"muita febre ,toma paracetamol passa e volta",82,0.2440075050949675,inform
Pois é quero fazer pra ele agora,85,0.22848456110466253,inform_symptoms
"Tenho que usar outro celular, como faço?",11,0.15384213464537821,request_inform
Me ajude por favor,72,0.20164124818289852,inform
"Desde o dia 25/04 que comecei a sentir moleza no corpo, febre e a garganta doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou rinossinusite. Passou 10 dias de amoxicilina + clavulanato e antialérgico.",92,0.1015445181651995,inform_symptoms
"Só que não sinto melhora, perdi o olfato e o paladar",70,0.12475133219505319,inform_symptoms
posso procurar fazer o teste particular? se der positivo?,25,0.13186329966639176,request_inform
"dor de cabeça, dor no corpo, ausência de paladar e olfato, febre tenho mas poucas vezes",90,0.11851710656357828,inform_symptoms
não tem como ficar em repouso por conta do trabalho,49,0.17105653337933802,inform_symptoms
boa noite!,67,0.08486376580030597,greeting
Boa noite,67,0.0894865414001792,greeting
Estou com meu pai adoentado,30,0.19946128161278465,inform
Talvez 4,51,0.2925182638383722,inform
Todo dia tem febre,44,0.20094655835955166,inform_symptoms
So que ele nao apresenta falta de ar,37,0.13631140313073942,inform_symptoms
E depois que passa a febre fica normal... porem ele fica deitado em repouso,92,0.14864178702559616,inform_symptoms
Ele tosse de vez enquando,27,0.19965659558311555,inform_symptoms
Dor de cabeça nao,59,0.11827443248302294,inform_symptoms
Sente dor nas pernas,69,0.11522495138340338,inform_symptoms
Ele tem sonolencia,38,0.200693874440245,inform_symptoms
Ele nao tem falta de ar,37,0.09819450647378092,inform_symptoms
Fica em casa ainda?,1,0.1907390861289633,inform
Nao tem como algum medico fazer uma visita e fazer o teste?,41,0.11710050862706078,request_inform
Ele hipertence,29,0.30484103464834256,inform
Ele foi ao posto de saude... e mediram a oxigenaçao no sangue e informaram que estava em 96,87,0.1393861645074701,request_inform
E disseram que estava normal,24,0.2477694362769728,inform
Isso a 2 dias atras,31,0.13048559392300996,inform
Vc acha que tem fortes indicios de covid?,76,0.1811895214168735,request_inform
Ou da pra ir se recuperando em casa?,80,0.19447833633795186,inform
Voce recomenda algum remedio que possa melhorar a recuperaçao?,11,0.1266137665251783,request_inform
Resumindo... so procuro um hospital se estiver com falta de ar correto?,41,0.1266820058726812,request_inform
E em caso se ele faltar o ar... para que nao ocorra o pior tem algum procedimento que eu possa fazer para amenizar?,41,0.11310898156670524,request_inform
Tem algum remedio para reforçar a fraqueza dele?,54,0.16339551554447407,inform_symptoms
Muito obrigado,62,0.1624493134674111,greeting
Era so isso mesmo,18,0.09262692048083765,greeting
Qualquer coisa volto a falar aqui,72,0.22857806191584062,inform
Ele esta sem sentir cheiro e sabor de comida,33,0.10977419115561693,inform_symptoms
Obrigado,62,0.14728580100587962,greeting
"19 dias atrás comecei a sentir uma quentura na cabeça, nariz escorrendo, dores de cabeça, sentia uma ardência horrível ao respirar, congestão nasal, e garanta inflamada, tomei alguns comprimidos anti gripais, mais nada resolvia, fiz o uso de nimesulida pra garganta não adiantava, comecei a fazer gargarejo de água morna com sal tive uma melhora. Agora atualmente estou com a quentura horrível por dentro, principalmente nas costas, tosse e dores nos braços. Medi minha saturação deu 90",68,0.0869150481270361,inform_symptoms
Me sino cansada se falo muito,85,0.22991023945081346,inform_symptoms
*sinto,13,0.09328669757988572,inform_symptoms
Tipo Tampa,57,0.3011568066613217,inform
Sem febre,44,0.1976352328153279,inform_symptoms
Só uma quentura por dentro,85,0.22738656079588593,inform_symptoms
"Só essa tosse que persiste a noite, dores nos braços, e essa quentura no corpo",71,0.11140884641251636,inform_symptoms
"Uma amiga tem, ontem ela estava em casa pedi p medir",80,0.18555603793912323,inform
Como se minha respiração tivesse quente,39,0.10955979554645479,inform_symptoms
Saturação 90 isso é bom?,76,0.19575306892451072,request_inform
O Sr conseguiu ouvir o audio,93,0.270642771166113,request_inform
