txt,label,distance,intent,annotated_txt
Há dois tias estou com dor na garganta,45,0.132921520958644,inform_symptoms,Há dois tias estou com [dor](SINTOMA) na [garganta](SINTOMA)
Só ontem,27,0.2139999726437661,inform,Só ontem
Sim,58,0.161684065036529,inform,Sim
Chenil e aerodin spray,42,0.1728946826924587,inform_medicine,Chenil e aerodin spray
Estou um pouco ofegante,19,0.1413804189625758,inform_symptoms,Estou um pouco ofegante
Não,74,0.1372631716354758,inform,Não
Não tenho transporte,33,0.1470912471009557,inform,Não tenho transporte
Minha filha está comigo mais está no quarto separado pois ela tem asma também,32,0.1264527550706523,inform_symptoms,Minha filha está comigo mais está no quarto separado pois ela tem [asma](SINTOMA) também
Ok,12,0.1965904350782829,greeting,Ok
Tá certo,50,0.1210823768271061,greeting,Tá certo
Posso toma um maracugina  pra mi acalmar?,25,0.1176275752684954,request_inform,Posso toma um maracugina  pra mi acalmar?
To respirando melhor  Só a garganta continua doendo,6,0.1413226455421314,inform_symptoms,To respirando melhor  Só a [garganta](SINTOMA) continua doendo
Sandra Moreira e Flávio Marcílio,29,0.2567187531729914,inform,Sandra Moreira e Flávio Marcílio
Lã é onde está funcionando o Odorico  de Morais,77,0.2030275441907786,inform,Lã é onde está funcionando o Odorico  de Morais
Obrigada  Que Jesus nos abençoe e nos proteja,20,0.1129578759392333,greeting,Obrigada  Que Jesus nos abençoe e nos proteja
"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",52,0.0924464827074819,inform_symptoms,"Sinto um pouco de [dor de cabeça](SINTOMA),um desconforto na [garganta](SINTOMA) e assim um calafrios"
Assim como se tivesse com um bolo na garganta,84,0.1268090120055165,inform_symptoms,Assim como se tivesse com um bolo na [garganta](SINTOMA)
Não tenho falta de ar,37,0.1076834226749445,inform_symptoms,Não tenho [falta de ar](SINTOMA)
sim,58,0.1492898819141367,inform,sim
Mais tomo paracetamol e passa,43,0.185398835422502,inform,Mais tomo paracetamol e passa
Tenho termômetro,8,0.1185083865348953,inform_symptoms,Tenho termômetro
Mais não consigo escarrar,4,0.1598538732727334,inform,Mais não consigo escarrar
"Hoje fiz vinagre, com limão e água morna",15,0.1609438895329606,inform_medicine,"Hoje fiz vinagre, com limão e água morna"
obg.,12,0.1408306903333863,greeting,obg.
Tá certo obg.,50,0.1207657758342056,greeting,Tá certo obg.
Pra mim fazer uma avaliação assim para minha mãe e meu pai só com os dados deles,49,0.1366313981272631,inform_symptoms,Pra mim fazer uma avaliação assim para minha mãe e meu pai só com os dados deles
Estão os dois com febre a mais de cinco dias,31,0.1389806747816692,inform_symptoms,Estão os dois com [febre](SINTOMA) a mais de cinco dias
Meu pai,30,0.1519791504367259,inform,Meu pai
Boa noite é porque  meu pai está com,30,0.1804188427428981,inform,Boa noite é porque  meu pai está com
Tenho que pedir outra pessoa pra fazer isso?,25,0.1153430692133489,request_inform,Tenho que pedir outra pessoa pra fazer isso?
"Só que não sinto melhora, perdi o olfato e o paladar",68,0.1123951626718394,inform_symptoms,"Só que não sinto melhora, perdi o olfato e o paladar"
então?,44,0.1470986403781466,request_inform,então?
posso procurar fazer o teste particular? se der positivo?,25,0.0862395728031371,request_inform,posso procurar fazer o teste particular? se der positivo?
"dor de cabeça, dor no corpo, ausência de paladar e olfato, febre tenho mas poucas vezes",52,0.1058984901875,inform_symptoms,"[dor de cabeça](SINTOMA), dor no corpo, ausência de paladar e olfato, [febre](SINTOMA) tenho mas poucas vezes"
"dipirona, sim",58,0.187710183304403,inform,"dipirona, sim"
não tem como ficar em repouso por conta do trabalho,55,0.1630428064571614,inform_symptoms,não tem como ficar em repouso por conta do trabalho
obrigada pelas dicas,63,0.1615975511765364,greeting,obrigada pelas dicas
Estou com meu pai adoentado,30,0.1713293033447226,inform,Estou com meu pai adoentado
Todo dia tem febre,70,0.2116155515677718,inform_symptoms,Todo dia tem [febre](SINTOMA)
E depois que passa a febre fica normal... porem ele fica deitado em repouso,24,0.1134329862024055,inform_symptoms,E depois que passa a [febre](SINTOMA) fica normal... porem ele fica deitado em repouso
E n aconteceu mais,43,0.2004534455319984,inform,E n aconteceu mais
Ele reclamava de um mal estar no estomago e na cabeça,64,0.1094330342392205,inform_symptoms,Ele reclamava de um [mal estar](SINTOMA) no estomago e na cabeça
Ele sempre foi doente da barriga,82,0.1752756092460929,inform_symptoms,Ele sempre foi doente da barriga
Dor de cabeça nao,59,0.116582635244351,inform_symptoms,[Dor de cabeça](SINTOMA) nao
Na barriga se apertar e um pouco dolorido,64,0.147594349757195,inform_symptoms,Na barriga se apertar e um pouco [dolorido](SINTOMA)
