txt,label,distance,intent
Só ontem,63,0.04368331771913869,inform
Sim,22,0.03504680258227921,inform
As duas da tarde,38,0.282976834102999,inform
Estou um pouco ofegante,11,0.04017501778877608,inform_symptoms
Não,30,0.029742951572714116,inform_symptoms
Minha filha está comigo mais está no quarto separado pois ela tem asma também,68,0.1384652903710415,inform_symptoms
Não temos carro,30,0.13830773371095106,inform_symptoms
Ok,88,0.06710841342381657,greeting
Tá certo,51,0.039435294467111026,greeting
Vou deita um pouco,11,0.18428821815412688,inform_symptoms
Bem,18,0.06625801910398355,inform
"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",86,0.13276726404405514,inform_symptoms
Não tenho falta de ar,41,0.05306159470381688,inform_symptoms
sim,22,0.03504680258227921,inform
Todos os dias a tarde,7,0.180105729446284,inform
Mais não consigo escarrar,30,0.08740794270249042,inform_symptoms
aliviou um pouco,11,0.0401750174938571,inform_symptoms
e loratadina,4,0.017713823673192186,inform_medicine
Tá certo obg.,51,0.12584061579176475,greeting
Pra mim fazer uma avaliação assim para minha mãe e meu pai só com os dados deles,62,0.18417530397028314,inform_symptoms
Estão os dois com febre a mais de cinco dias,7,0.19701285403574031,inform
Vou abrir o da minha mãe,62,0.12925265138259645,inform_symptoms
Tá,51,0.14128532782652237,greeting
Boa noite como faço pra abrir pra minha mãe?,62,0.1818267898868633,inform_symptoms
Boa noite é porque  meu pai está com,82,0.1547605240552069,inform_symptoms
"Ele tem 84 anos ,é hipertenso e tem cálculo renal",25,0.11721613456112612,inform
"Tenho que usar outro celular, como faço?",81,0.16689835798375463,inform_symptoms
Me ajude por favor,31,0.24382142484699232,request_inform
Tenho que pedir outra pessoa pra fazer isso?,75,0.1688688938257411,inform
"Desde o dia 25/04 que comecei a sentir moleza no corpo, febre e a garganta doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou rinossinusite. Passou 10 dias de amoxicilina + clavulanato e antialérgico.",59,0.09160400884549547,inform_symptoms
"Só que não sinto melhora, perdi o olfato e o paladar",60,0.08638225341512518,request_inform
então?,47,0.09886759250256782,request_inform
"dor de cabeça, dor no corpo, ausência de paladar e olfato, febre tenho mas poucas vezes",86,0.09972018159766394,inform_symptoms
"dipirona, sim",61,0.03459249301835998,inform
a médica prescreveu,84,0.11921813905474687,inform_symptoms
não tem como ficar em repouso por conta do trabalho,75,0.1565853993706171,inform
boa noite!,80,0.12464425627171227,greeting
Boa noite,80,0.08963917387101616,greeting
Talvez 4,39,0.20273053424813292,inform_medicine
Todo dia tem febre,35,0.21525770598817762,inform_symptoms
So que ele nao apresenta falta de ar,41,0.1013842533473911,inform_symptoms
E n aconteceu mais,72,0.17826174952378837,inform_symptoms
E achava o corpo meio quebrado,15,0.2065428652229111,inform_symptoms
Dor de cabeça nao,86,0.12380230181919671,inform_symptoms
Na barriga se apertar e um pouco dolorido,37,0.18137615222034098,inform_symptoms
2 dias atras,55,0.1990855601715783,inform_medicine
Ele tem sonolencia,35,0.18117798902375448,inform_symptoms
Fica em casa ainda?,46,0.21646036874985242,request_inform
Ele tem 4 dias de febre,25,0.22994766638310715,inform
Nao tem como algum medico fazer uma visita e fazer o teste?,60,0.16448290433156065,request_inform
Ele foi ao posto de saude... e mediram a oxigenaçao no sangue e informaram que estava em 96,5,0.09101014850652689,inform_symptoms
E disseram que estava normal,5,0.15049882607019216,inform_symptoms
Vc acha que tem fortes indicios de covid?,25,0.21942235068278082,inform
Ou da pra ir se recuperando em casa?,46,0.1609459444611071,request_inform
Resumindo... so procuro um hospital se estiver com falta de ar correto?,59,0.09660390673887664,inform_symptoms
E em caso se ele faltar o ar... para que nao ocorra o pior tem algum procedimento que eu possa fazer para amenizar?,89,0.0758019720343095,inform_symptoms
Muito obrigado,69,0.0813349602911203,greeting
Tem outra coisa,35,0.15756259973988418,inform_symptoms
Obrigado,69,0.1190748691570308,greeting
"19 dias atrás comecei a sentir uma quentura na cabeça, nariz escorrendo, dores de cabeça, sentia uma ardência horrível ao respirar, congestão nasal, e garanta inflamada, tomei alguns comprimidos anti gripais, mais nada resolvia, fiz o uso de nimesulida pra garganta não adiantava, comecei a fazer gargarejo de água morna com sal tive uma melhora. Agora atualmente estou com a quentura horrível por dentro, principalmente nas costas, tosse e dores nos braços. Medi minha saturação deu 90",77,0.07704837397605035,inform_symptoms
Tenho calafrios ao anoitecer,2,0.2428549615657858,inform
*sinto,21,0.01699307224358615,inform
Sem febre,13,0.16937148170440885,inform_symptoms
Só uma quentura por dentro,75,0.16799563849874233,inform
Tive melhoras,33,0.21735868188271434,inform_symptoms
Como se minha respiração tivesse quente,81,0.1508269322441843,inform_symptoms
Cansaço sim,22,0.03504680258227921,inform
Saturação 90 isso é bom?,48,0.22126897499294695,request_inform
Atualmente nas costas,83,0.18856710021757994,inform_symptoms
Incômoda um pouco,11,0.0401750174938571,inform_symptoms
E a tosse,4,0.19507101538358806,inform_medicine
O pai da minha filha estava com sintomas parecidos aos meus porém mais leves e um companheiro de trabalho dele esta com covid,9,0.11271541394150086,inform_symptoms
OK,88,0.06710841342381657,greeting
"Assim. A uns dias estou com uma quebradeira no corpo, desde segunda.",59,0.17981456594811418,inform_symptoms
De ontem para hoje me deu febre,43,0.17854499688621084,inform_symptoms
E agora estou com um pouco de falta de ar,50,0.07611188022287518,inform_symptoms
Usei 3,39,0.21496830581600346,inform_medicine
Dorona e paracetamol gotas.,20,0.1125037301551931,inform_medicine
Inicialmente sim,22,0.03504680258227921,inform
Pois tive,33,0.2416709274954768,inform_symptoms
Meus olhos estão quentes,28,0.3699908623647805,inform_symptoms
Uma aticoade leve.,54,0.32672376497788513,inform_medicine
Tanto que eu não queria informar. Pois pensei ter sido uma gripe,75,0.15478766076474626,inform
Está bem fraca,18,0.18273242917501908,inform
Agora está pouco,36,0.1829649786558759,inform
Está tudo claro pra mim. Muito obrigado e bom trabalho.,15,0.21024063857608077,inform_symptoms
"Boa noite, estou bem melhor",80,0.15918917997059212,greeting
A minha mulher que ainda ta com alguns sintomas,62,0.19938083486995395,inform_symptoms
Só farmácia,63,0.04368331771913869,inform
Pedi pelo celular,28,0.41200643329384945,inform_symptoms
Tô isolada com minha mulher e minha filha de 3anos,62,0.1554378878936995,inform_symptoms
Febre diarreia sentindo cansada e como se tivesse inchada,81,0.11504010838604073,inform_symptoms
Muito obrigada,40,0.03526944551519784,greeting
"Olá!  Me chamo Maria Bianca, moro com esposo e um filho de um ano e meio. Há uma semana meu esposo e eu começamos a sentir febre (que vai e volta), dor de garganta e de cabeça. Há 2 dias começamos a sentir um mau estar no peito! Nosso bebê tbm sentiu febre, mas passou. O que devemos fazer?",77,0.05979255821592655,inform_symptoms
