txt,label,distance,intent,annotated_txt
Há dois tias estou com dor na garganta,15,0.2328814820298157,inform_symptoms,Há dois tias estou com [dor](SINTOMA) na [garganta](SINTOMA)
Estou preocupado pois tenho asma,55,0.33947529136021,inform_symptoms,Estou preocupado pois tenho [asma](SINTOMA)
Só ontem,10,0.2593247463244569,inform,Só ontem
Sim,12,0.0999599671464366,inform,Sim
As duas da tarde,10,0.3473143569467455,inform,As duas da tarde
Estou um pouco ofegante,7,0.2851498263878563,inform,Estou um pouco ofegante
Não,18,0.191975613443159,inform,Não
Não tenho transporte,45,0.4332737269926229,inform_symptoms,Não tenho transporte
Minha filha está comigo mais está no quarto separado pois ela tem asma também,32,0.3508932567338019,inform,Minha filha está comigo mais está no quarto separado pois ela tem [asma](SINTOMA) também
Ok,4,0.1510402078924346,inform,Ok
Parada mesmo,57,0.3900730398883169,greeting,Parada mesmo
Tá certo,4,0.1597671933958611,inform,Tá certo
Vou deita um pouco,46,0.2586046283403054,inform,Vou deita um pouco
Posso toma um maracugina  pra mi acalmar?,44,0.3055937042458753,request_inform,Posso toma um maracugina  pra mi acalmar?
Obrigada,50,0.1075176278857178,greeting,Obrigada
Bem,4,0.2274981065952032,inform,Bem
Tem posto de saúde aberto amanhã?,41,0.4027630432460941,request_inform,Tem posto de saúde aberto amanhã?
Obrigada  Que Jesus nos abençoe e nos proteja,20,0.3286016239250127,greeting,Obrigada  Que Jesus nos abençoe e nos proteja
"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",15,0.2433109261251954,inform_symptoms,"Sinto um pouco de [dor de cabeça](SINTOMA),um desconforto na [garganta](SINTOMA) e assim um calafrios"
Não tenho falta de ar,37,0.1625700006886163,inform_symptoms,Não tenho [falta de ar](SINTOMA)
uma tosse assim meio leve,40,0.2003241150412663,inform_symptoms,uma [tosse](SINTOMA) assim meio leve
senti dor no corpo mais passou,59,0.1818746733422463,inform_symptoms,senti [dor](SINTOMA) no corpo mais passou
sim,12,0.119121005662686,inform,sim
Mais tomo paracetamol e passa,0,0.1627046574404143,inform_medicine,Mais tomo paracetamol e passa
Todos os dias a tarde,10,0.3408525795313039,inform,Todos os dias a tarde
Tenho termômetro,34,0.2705533408402785,inform,Tenho termômetro
passou a dor no corpo,59,0.2566666545681386,inform_symptoms,passou a [dor](SINTOMA) no corpo
Mais não consigo escarrar,45,0.3492975442518701,inform_symptoms,Mais não consigo escarrar
aliviou um pouco,35,0.3757265835957238,inform,aliviou um pouco
obg.,57,0.4290561056902799,greeting,obg.
e loratadina,54,0.3620689846858164,inform_medicine,e loratadina
Tá certo obg.,4,0.3520816338669796,inform,Tá certo obg.
certo,12,0.2230824459858754,inform,certo
Tá,4,0.2342091943997024,inform,Tá
Meu pai,30,0.3468228877764077,inform,Meu pai
"muita febre ,toma paracetamol passa e volta",0,0.2279693590548036,inform_medicine,"muita [febre](SINTOMA) ,toma paracetamol passa e volta"
Me ajude por favor,51,0.1820264249401555,request_inform,Me ajude por favor
"Desde o dia 25/04 que comecei a sentir moleza no corpo, febre e a garganta doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou rinossinusite. Passou 10 dias de amoxicilina + clavulanato e antialérgico.",56,0.276396820158696,inform_symptoms,"Desde o dia 25/04 que comecei a sentir moleza no corpo, [febre](SINTOMA) e a [garganta](SINTOMA) doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou [rinossinusite](SINTOMA). Passou 10 dias de amoxicilina + clavulanato e antialérgico."
"Só que não sinto melhora, perdi o olfato e o paladar",52,0.1790594754420018,inform_symptoms,"Só que não sinto melhora, perdi o olfato e o paladar"
posso procurar fazer o teste particular? se der positivo?,25,0.2654327630768063,request_inform,posso procurar fazer o teste particular? se der positivo?
"dor de cabeça, dor no corpo, ausência de paladar e olfato, febre tenho mas poucas vezes",33,0.1994507597288555,inform_symptoms,"[dor de cabeça](SINTOMA), dor no corpo, ausência de paladar e olfato, [febre](SINTOMA) tenho mas poucas vezes"
"dipirona, sim",54,0.3631116624824378,inform_medicine,"dipirona, sim"
obrigada,50,0.140439806390587,greeting,obrigada
boa noite!,24,0.1698954936135743,greeting,boa noite!
Boa noite,24,0.1489326115170711,greeting,Boa noite
Estou com meu pai adoentado,30,0.3078829195355791,inform,Estou com meu pai adoentado
Todo dia tem febre,13,0.1641522704515816,inform_symptoms,Todo dia tem [febre](SINTOMA)
So que ele nao apresenta falta de ar,37,0.3114982771437666,inform_symptoms,So que ele nao apresenta [falta de ar](SINTOMA)
Ele tosse de vez enquando,40,0.251401507016634,inform_symptoms,Ele [tosse](SINTOMA) de vez enquando
Ele chegou a passar mal,58,0.3817367717723018,inform,Ele chegou a passar mal
E n aconteceu mais,27,0.4215024339164069,inform,E n aconteceu mais
Dor de cabeça nao,8,0.1462488615002737,inform_symptoms,[Dor de cabeça](SINTOMA) nao
Sente dor nas pernas,59,0.2598532463218364,inform_symptoms,Sente [dor](SINTOMA) nas pernas
Foi devido a um remedio,58,0.4403210018116291,inform,Foi devido a um remedio
2 dias atras,16,0.274886459158123,inform,2 dias atras
Ele tem sonolencia,58,0.4113041498419093,inform,Ele tem sonolencia
Ele nao tem falta de ar,37,0.218988754916474,inform_symptoms,Ele nao tem [falta de ar](SINTOMA)
Entao como devo proceder?,26,0.2369731982722528,request_inform,Entao como devo proceder?
Fica em casa ainda?,1,0.4175655126794616,inform,Fica em casa ainda?
Nao tem como algum medico fazer uma visita e fazer o teste?,25,0.267492595082654,request_inform,Nao tem como algum medico fazer uma visita e fazer o teste?
Ele hipertence,58,0.3736556988947207,inform,Ele hipertence
E disseram que estava normal,58,0.5330373653111202,inform,E disseram que estava normal
Isso a 2 dias atras,16,0.2765918450233415,inform,Isso a 2 dias atras
Vc acha que tem fortes indicios de covid?,29,0.4020968510874918,request_inform,Vc acha que tem fortes indicios de covid?
Ou da pra ir se recuperando em casa?,41,0.3912846356285046,request_inform,Ou da pra ir se recuperando em casa?
Resumindo... so procuro um hospital se estiver com falta de ar correto?,53,0.3440037828847657,inform,Resumindo... so procuro um hospital se estiver com [falta de ar](SINTOMA) correto?
Certo,12,0.1626964506888689,inform,Certo
E em caso se ele faltar o ar... para que nao ocorra o pior tem algum procedimento que eu possa fazer para amenizar?,41,0.4453664801910977,request_inform,E em caso se ele faltar o ar... para que nao ocorra o pior tem algum procedimento que eu possa fazer para amenizar?
Muito obrigado,50,0.1030331290440733,greeting,Muito obrigado
Qualquer coisa volto a falar aqui,3,0.4410759637360256,inform,Qualquer coisa volto a falar aqui
Obrigado,50,0.1250632753442915,greeting,Obrigado
Obg,57,0.256984530141085,greeting,Obg
"19 dias atrás comecei a sentir uma quentura na cabeça, nariz escorrendo, dores de cabeça, sentia uma ardência horrível ao respirar, congestão nasal, e garanta inflamada, tomei alguns comprimidos anti gripais, mais nada resolvia, fiz o uso de nimesulida pra garganta não adiantava, comecei a fazer gargarejo de água morna com sal tive uma melhora. Agora atualmente estou com a quentura horrível por dentro, principalmente nas costas, tosse e dores nos braços. Medi minha saturação deu 90",56,0.2220075684227321,inform_symptoms,"19 dias atrás comecei a sentir uma quentura na cabeça, [nariz escorrendo](SINTOMA), [dores de cabeça](SINTOMA), sentia uma ardência horrível ao respirar, [congestão nasal](SINTOMA), e garanta inflamada, tomei alguns comprimidos anti gripais, mais nada resolvia, fiz o uso de nimesulida pra garganta não adiantava, comecei a fazer gargarejo de água morna com sal tive uma melhora. Agora atualmente estou com a quentura horrível por dentro, principalmente nas costas, [tosse](SINTOMA) e dores nos braços. Medi minha saturação deu 90"
38 no começo,17,0.3239629770401883,inform,38 no começo
Sinto como de minha respiração fosse quente,39,0.3146629989357669,inform_symptoms,Sinto como de minha respiração fosse quente
"Não, ah momentos em q fica congestionado nariz",28,0.2748605581675204,inform_symptoms,"Não, ah momentos em q fica congestionado nariz"
Sem febre,13,0.1846548931165538,inform_symptoms,Sem [febre](SINTOMA)
Só uma quentura por dentro,31,0.3015421055470871,inform,Só uma quentura por dentro
"Só essa tosse que persiste a noite, dores nos braços, e essa quentura no corpo",56,0.3149150009649432,inform_symptoms,"Só essa [tosse](SINTOMA) que persiste a noite, dores nos braços, e essa quentura no corpo"
Assim,4,0.3540745523778968,inform,Assim
Como se minha respiração tivesse quente,39,0.2765489214281689,inform_symptoms,Como se minha respiração tivesse quente
Quando falo muito me sinto um pouco cansada. Quando olhei estava assim,2,0.3530345907512811,inform,Quando falo muito me sinto um pouco cansada. Quando olhei estava assim
Só de um lado,31,0.2276813562457095,inform,Só de um lado
Incômoda um pouco,35,0.3059217522310599,inform,Incômoda um pouco
Oq posso tomar em relação essa quentura,44,0.3013426823874517,request_inform,Oq posso tomar em relação essa quentura
E a tosse,40,0.2634104007570272,inform_symptoms,E a [tosse](SINTOMA)
Em devo ir ao posto de saúde,53,0.3224633171880734,inform,Em devo ir ao posto de saúde
O pai da minha filha estava com sintomas parecidos aos meus porém mais leves e um companheiro de trabalho dele esta com covid,32,0.4192025445245264,inform,O pai da minha filha estava com sintomas parecidos aos meus porém mais leves e um companheiro de trabalho dele esta com covid
OK,4,0.1775591778286872,inform,OK
De ontem para hoje me deu febre,13,0.2066085478451146,inform_symptoms,De ontem para hoje me deu [febre](SINTOMA)
E agora estou com um pouco de falta de ar,37,0.273141526498843,inform_symptoms,E agora estou com um pouco de [falta de ar](SINTOMA)
Não.,12,0.2340755165152308,inform,Não.
Me diga uma coisa. Ter um pouco de tontura pode ser sintoma também?,23,0.3207290564813323,request_inform,Me diga uma coisa. Ter um pouco de [tontura](SINTOMA) pode ser sintoma também?
Pois tive,7,0.3464653092061454,inform,Pois tive
Foi pontual. Senti agora a noite. Eu estava normal dentro de casa,21,0.4539671575081503,inform_symptoms,Foi pontual. Senti agora a noite. Eu estava normal dentro de casa
Quase,57,0.339021713138148,greeting,Quase
Tanto que eu não queria informar. Pois pensei ter sido uma gripe,38,0.3679675509438844,request_inform,Tanto que eu não queria informar. Pois pensei ter sido uma gripe
Está bem fraca,35,0.342012150458809,inform,Está bem fraca
Agora está pouco,43,0.2226352469853009,inform,Agora está pouco
Diga,57,0.3191054981047215,greeting,Diga
"Boa noite, estou bem melhor",24,0.1691918381692968,greeting,"Boa noite, estou bem melhor"
A minha mulher que ainda ta com alguns sintomas,23,0.2621936601007809,request_inform,A minha mulher que ainda ta com alguns sintomas
O meu domingo,10,0.3172994548346654,inform,O meu domingo
Tô isolada com minha mulher e minha filha de 3anos,32,0.391949011047186,inform,Tô isolada com minha mulher e minha filha de 3anos
