txt,label,distance,intent
Há dois tias estou com dor na garganta,15,0.23288148202981573,inform_symptoms
Estou preocupado pois tenho asma,55,0.33947529136021004,inform_symptoms
Só ontem,10,0.2593247463244569,inform
Sim,12,0.09995996714643662,inform
As duas da tarde,10,0.3473143569467455,inform
Estou um pouco ofegante,7,0.28514982638785635,inform
Não,18,0.19197561344315905,inform
Não tenho transporte,45,0.4332737269926229,inform_symptoms
Minha filha está comigo mais está no quarto separado pois ela tem asma também,32,0.3508932567338019,inform
Ok,4,0.15104020789243466,inform
Parada mesmo,57,0.3900730398883169,greeting
Tá certo,4,0.1597671933958611,inform
Vou deita um pouco,46,0.2586046283403054,inform
Posso toma um maracugina  pra mi acalmar?,44,0.3055937042458753,request_inform
Obrigada,50,0.10751762788571784,greeting
Bem,4,0.2274981065952032,inform
Tem posto de saúde aberto amanhã?,41,0.40276304324609413,request_inform
Obrigada  Que Jesus nos abençoe e nos proteja,20,0.3286016239250127,greeting
"Sinto um pouco de dor de cabeça,um desconforto na garganta e assim um calafrios",15,0.24331092612519545,inform_symptoms
Não tenho falta de ar,37,0.16257000068861638,inform_symptoms
uma tosse assim meio leve,40,0.20032411504126635,inform_symptoms
senti dor no corpo mais passou,59,0.18187467334224638,inform_symptoms
sim,12,0.11912100566268602,inform
Mais tomo paracetamol e passa,0,0.1627046574404143,inform_medicine
Todos os dias a tarde,10,0.3408525795313039,inform
Tenho termômetro,34,0.2705533408402785,inform
passou a dor no corpo,59,0.25666665456813864,inform_symptoms
Mais não consigo escarrar,45,0.3492975442518701,inform_symptoms
aliviou um pouco,35,0.37572658359572386,inform
obg.,57,0.42905610569027997,greeting
e loratadina,54,0.3620689846858164,inform_medicine
Tá certo obg.,4,0.35208163386697966,inform
certo,12,0.22308244598587545,inform
Tá,4,0.23420919439970245,inform
Meu pai,30,0.3468228877764077,inform
"muita febre ,toma paracetamol passa e volta",0,0.22796935905480364,inform_medicine
Me ajude por favor,51,0.18202642494015553,request_inform
"Desde o dia 25/04 que comecei a sentir moleza no corpo, febre e a garganta doendo.  No dia 27/04 fui a upa e me atenderam, a médica disse que pode ser uma virose ou rinossinusite. Passou 10 dias de amoxicilina + clavulanato e antialérgico.",56,0.27639682015869604,inform_symptoms
"Só que não sinto melhora, perdi o olfato e o paladar",52,0.17905947544200185,inform_symptoms
posso procurar fazer o teste particular? se der positivo?,25,0.2654327630768063,request_inform
"dor de cabeça, dor no corpo, ausência de paladar e olfato, febre tenho mas poucas vezes",33,0.1994507597288555,inform_symptoms
"dipirona, sim",54,0.36311166248243787,inform_medicine
obrigada,50,0.14043980639058706,greeting
boa noite!,24,0.16989549361357437,greeting
Boa noite,24,0.14893261151707116,greeting
Estou com meu pai adoentado,30,0.3078829195355791,inform
Todo dia tem febre,13,0.16415227045158165,inform_symptoms
So que ele nao apresenta falta de ar,37,0.31149827714376666,inform_symptoms
Ele tosse de vez enquando,40,0.251401507016634,inform_symptoms
Ele chegou a passar mal,58,0.3817367717723018,inform
E n aconteceu mais,27,0.42150243391640696,inform
Dor de cabeça nao,8,0.14624886150027372,inform_symptoms
Sente dor nas pernas,59,0.2598532463218364,inform_symptoms
Foi devido a um remedio,58,0.44032100181162914,inform
2 dias atras,16,0.27488645915812304,inform
Ele tem sonolencia,58,0.41130414984190933,inform
Ele nao tem falta de ar,37,0.21898875491647407,inform_symptoms
Entao como devo proceder?,26,0.23697319827225283,request_inform
Fica em casa ainda?,1,0.4175655126794616,inform
Nao tem como algum medico fazer uma visita e fazer o teste?,25,0.267492595082654,request_inform
Ele hipertence,58,0.3736556988947207,inform
E disseram que estava normal,58,0.5330373653111202,inform
Isso a 2 dias atras,16,0.27659184502334155,inform
Vc acha que tem fortes indicios de covid?,29,0.4020968510874918,request_inform
Ou da pra ir se recuperando em casa?,41,0.3912846356285046,request_inform
Resumindo... so procuro um hospital se estiver com falta de ar correto?,53,0.34400378288476574,inform
Certo,12,0.16269645068886895,inform
E em caso se ele faltar o ar... para que nao ocorra o pior tem algum procedimento que eu possa fazer para amenizar?,41,0.4453664801910977,request_inform
Muito obrigado,50,0.10303312904407336,greeting
Qualquer coisa volto a falar aqui,3,0.44107596373602564,inform
Obrigado,50,0.1250632753442915,greeting
Obg,57,0.256984530141085,greeting
"19 dias atrás comecei a sentir uma quentura na cabeça, nariz escorrendo, dores de cabeça, sentia uma ardência horrível ao respirar, congestão nasal, e garanta inflamada, tomei alguns comprimidos anti gripais, mais nada resolvia, fiz o uso de nimesulida pra garganta não adiantava, comecei a fazer gargarejo de água morna com sal tive uma melhora. Agora atualmente estou com a quentura horrível por dentro, principalmente nas costas, tosse e dores nos braços. Medi minha saturação deu 90",56,0.22200756842273217,inform_symptoms
38 no começo,17,0.3239629770401883,inform
Sinto como de minha respiração fosse quente,39,0.3146629989357669,inform_symptoms
"Não, ah momentos em q fica congestionado nariz",28,0.2748605581675204,inform_symptoms
Sem febre,13,0.1846548931165538,inform_symptoms
Só uma quentura por dentro,31,0.30154210554708716,inform
"Só essa tosse que persiste a noite, dores nos braços, e essa quentura no corpo",56,0.3149150009649432,inform_symptoms
Assim,4,0.35407455237789687,inform
Como se minha respiração tivesse quente,39,0.2765489214281689,inform_symptoms
Quando falo muito me sinto um pouco cansada. Quando olhei estava assim,2,0.3530345907512811,inform
Só de um lado,31,0.2276813562457095,inform
Incômoda um pouco,35,0.3059217522310599,inform
Oq posso tomar em relação essa quentura,44,0.30134268238745177,request_inform
E a tosse,40,0.26341040075702726,inform_symptoms
Em devo ir ao posto de saúde,53,0.3224633171880734,inform
O pai da minha filha estava com sintomas parecidos aos meus porém mais leves e um companheiro de trabalho dele esta com covid,32,0.41920254452452643,inform
OK,4,0.17755917782868724,inform
De ontem para hoje me deu febre,13,0.20660854784511462,inform_symptoms
E agora estou com um pouco de falta de ar,37,0.27314152649884305,inform_symptoms
Não.,12,0.23407551651523084,inform
Me diga uma coisa. Ter um pouco de tontura pode ser sintoma também?,23,0.3207290564813323,request_inform
Pois tive,7,0.3464653092061454,inform
Foi pontual. Senti agora a noite. Eu estava normal dentro de casa,21,0.4539671575081503,inform_symptoms
Quase,57,0.339021713138148,greeting
Tanto que eu não queria informar. Pois pensei ter sido uma gripe,38,0.36796755094388445,request_inform
Está bem fraca,35,0.34201215045880906,inform
Agora está pouco,43,0.2226352469853009,inform
Diga,57,0.31910549810472155,greeting
"Boa noite, estou bem melhor",24,0.16919183816929684,greeting
A minha mulher que ainda ta com alguns sintomas,23,0.26219366010078093,request_inform
O meu domingo,10,0.3172994548346654,inform
Tô isolada com minha mulher e minha filha de 3anos,32,0.39194901104718605,inform
Minha casa e pequena não tem como quartos não tem como fica distante das outras pessoas,1,0.39372425524128785,inform
Febre diarreia sentindo cansada e como se tivesse inchada,42,0.28553023973736646,inform_symptoms
Sei,4,0.2845039060548067,inform
Muito obrigada,50,0.09052310601308589,greeting
Que deus abençoe vc e sua família,20,0.3720548439206808,greeting
Amém,20,0.33545822520790247,greeting
Esposo,57,0.33230874058512916,greeting
"Não, não",12,0.18428118467340937,inform
O bebê,57,0.4416161032281748,greeting
Eu,4,0.30379322162969413,inform
"Febre ( que já passou) Tosse Espirro Dor de cabeça E cansaso intenso, mesmo em pequenas coisas q faço rotineiramente, exemplo o mingual do bebê.  Comecei a senti desde quinta passada. E o cansaso há 4 dias",56,0.2485454636096498,inform_symptoms
A minha garganta meio grossa pra passar o ar.,15,0.2343883243458298,inform_symptoms
Sim.,12,0.1076481654995437,inform
É o meu nariz entupido.,28,0.2113862624233811,inform_symptoms
Fico no quintal porque eu tenho uma filha de 2 anos e fica me chamando.,32,0.4105207295512262,inform
"Sim ,está entupido mas não estou gripada.",48,0.3634132229862974,inform_symptoms
Dipirona e azitromicina.,54,0.4416284098932659,inform_medicine
Onde posso fazer um exame?,25,0.2985584638328983,request_inform
Qual posto de saúde?,41,0.4179897378068681,request_inform
"Desde dia 28/04 comecei a sentir uma dor intensa no corpo, e dia 29/04 junto com a dor no corpo estava sentindo uma moleza, hoje ao acordar comecei a sentir dor de garganta apresentando algumas bolhas amareladas e febre de 38.7.",56,0.27810440994598284,inform_symptoms
"Não, é bem visível, perto das amígdalas",48,0.42576960459851476,inform_symptoms
"Sim, paracetamol",0,0.16319883156350823,inform_medicine
"Eu tenho rinite e sinusite, tomo remédio apenas quando tenho crise",56,0.3091603097081511,inform_symptoms
Posso tomar azitromicina? Por conta da garganta,44,0.25014901611252904,request_inform
"Não, obrigada",50,0.21564768801665435,greeting
Obrigada.,50,0.12358323842536312,greeting
E eu tbm to um pouco cansada,22,0.32845266784198635,inform_symptoms
Tem hs que parece que tem algo na minha garganta,15,0.26309117784588354,inform_symptoms
Olha ao todo faz 10 dias,16,0.26635079682620255,inform
Mas no comeco era mais leve,27,0.3382309891266442,inform
Ta com uns 4 dias,16,0.18653377845541141,inform
To sem termômetro,34,0.3505173848313352,inform
Consigo tomar banho,7,0.4205369057936418,inform
Mas nao chego a vomitar,27,0.4265402947936242,inform
So nao consigo varrer passar pano,45,0.45887930856687653,inform_symptoms
Fico muito cansada,22,0.2428930655638355,inform_symptoms
Hj mesmo eu tava bastante sem ter feito nenhum esforco,45,0.38838697921131715,inform_symptoms
Dai tomei ixine,54,0.3961222309395386,inform_medicine
So assim consegui dormir,22,0.3670788014101737,inform_symptoms
Agora to,43,0.22449053269696606,inform
Mas ta mais fraco,27,0.337435849348955,inform
Nao ta muito forte,35,0.36716845886892235,inform
Faz uns 4 a 5 dias,16,0.2130678319907221,inform
Mas tem aumentado a frequência,27,0.42494546266992017,inform
Antes era realmente so quando eu fazia esforco,2,0.4116431147299081,inform
Agora é a qualquer momento,43,0.2427205219450973,inform
No primeiro dia dos sintomas,23,0.2846642690789821,request_inform
Passei o dia enteiro espirrando tomei remedio e passou,9,0.3447489009692337,inform_medicine
