txt,label,correct_label,,,,,used_intents,intents
Sobre a febre quero entender,request_inform,,,,,,inform,inform
Mais isso já faz um mês e meio,inform,,,,,,inform_symptoms,inform_symptoms
E pra tosse?,request_inform,,,,,,inform_medicine,inform_medicine
Quando eu viro para o outro lado da cama acelera,request_inform,,,,,,greeting,greeting
Quero saber o que devemos tomar,request_inform,,,,,,request_inform,request_inform
São quantos dias,request_inform,,,,,,,unknown
Tendo todos os ciodados,inform,,,,,,,
Não . Tomei logo um remedio,inform,,,,,,,
Na terça,,,,,,,,
Nessa doença,,,,,,,,
2 dias no máximo ..ainda tenho o antibiótico pra tomar,,,,,,,,
Estou preocupada com meu esposo . Hoje ele passou o dia todo deitado sem força pra levantar,,,,,,,,
Tenho medo,,,,,,,,
Sim tenho tomado de 66,,,,,,,,
Estes problemas de fígado,,,,,,,,
MuitA,,,,,,,,
Ontem estava febril,,,,,,,,
Ele acha q está assintomáticos. Mas está com uma tosse seca,,,,,,,,
Agora estou sentindo só pelo final do dia,,,,,,,,
2 anos atrás,,,,,,,,
"Boa noite. Faz alguns dias que eu sinto uma dificuldade para respirar. Melhorou quando fiz o uso de ipratrópio com soro fisiológico no aerosol, mas depois minhas amigdalas começaram a inflamar, de forma que dificulta a respiração. Hoje comecei a sentir algumas dores atrás do esterno e na axila esquerda.",,,,,,,,
Cansada em movimentar  nao,,,,,,,,
15 por 8,,,,,,,,
"Desconforto na respiração com dores na costa altura do peito, meio tonto e garganta inflamada",,,,,,,,
pois ta certo obrigado  mais um vez,,,,,,,,
Aí ele se rolou que molhou o lençol todinho,,,,,,,,
"Estou com 7 dias hj ainda posso transmitir, pois moro com meus avós",,,,,,,,
Tenho q ficar em isolamento quantos dias?,,,,,,,,
E o mais prox,,,,,,,,
Deus abençoe vocês e cuide de vcs por estarem na linha de frente,,,,,,,,
Ate aqui o Senhor nos tem ajudado. Obrigada Deus proteja nós  e sia familia em especial vc e td esse exercito de anjos guerreiros da saude.,,,,,,,,
"Oi bom dia enfermeiro, desde ja meus parabéns pelo o serviço prestado pela as vidas das pessoas",,,,,,,,
"Boa tarde Pela manhã sintie,dor de garganta,o meu nariz amanheceu  escorrendo, dor de cabeça",,,,,,,,
"Sim, irei na segunda lá",,,,,,,,
Sentindo fraco quando levanto da cama,,,,,,,,
Aqui perto,,,,,,,,
"Variando entre 37,4 e 37,6",,,,,,,,
Mas prefiro ir a Fortaleza,,,,,,,,
Na segunda surgiu uma dor no corpo e moleza,,,,,,,,
Não só isso mesmo muito obrigado,,,,,,,,
Mas mesmo sendo sintomas leves como vc falou?,,,,,,,,
Ou vai variar de organismo pra organismo?,,,,,,,,
"O hospital que trabalho, notificou o caso ao sesmit e após sete dias irá me ligar alguém pra marcar ainda a data do exame",,,,,,,,
Pq minha neta mora comigo,,,,,,,,
"Não, obrigado pela atenção",,,,,,,,
Mas isso está me angustiando muito,,,,,,,,
Ele está domando só quando está com a temperatura do corpo quente sem ainda ter dado a febre mesmo,,,,,,,,
Um pouco cansada ainda,,,,,,,,
